;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;-%;1,52%;1,64%;1,51%;0,87%;1,26%;1,07%;1,98%;1,66%
Div;;5.35;5.76;4.03;3.61;3.29;2.25;2.79;2.54
P/L;21.63;30.29;32.02;24.43;44.35;32.43;27.98;22.14;27.4
PEG Ratio;-;-;-;-;-;-;-;-;-
P/VP;5,32;7,78;8,56;7,60;13,42;9,74;9,02;8,38;9,72
EV/EBITDA;12,34;18,12;18,41;14,14;26,14;18,32;17,73;12,43;15,07
EV/EBIT;15,21;22,14;22,98;17,33;32,46;23,10;20,24;14,38;17,39
P/EBITDA;12,83;18,45;19,19;14,83;26,98;19,31;18,58;13,17;15,75
P/EBIT;15,82;22,55;23,95;18,18;33,50;24,34;21,21;15,24;18,19
VPA;50,69;45,23;40,98;35,10;30,90;26,80;23,35;16,82;15,75
P/Ativo;2,54;3,93;4,29;3,56;6,07;4,47;4,49;3,68;4,16
LPA;12.48;11.61;10.96;10.92;9.35;8.05;7.53;6.37;5.59
P/SR;2,38;3,39;3,43;2,73;5,18;3,74;3,09;2,19;2,61
P/Cap. Giro;19,43;116,94;40,95;41,11;66,20;32,57;30,47;26,18;41,53
P/Ativo Circ. Liq.;-4,55;-6,27;-7,90;-6,55;-11,14;-8,57;-9,32;-8,27;-8,91
Dív. líquida/PL;-0,20;-0,14;-0,35;-0,35;-0,42;-0,50;-0,41;-0,47;-0,42
Dív. líquida/EBITDA;-0,49;-0,33;-0,78;-0,69;-0,83;-0,98;-0,85;-0,74;-0,69
Dív. líquida/EBIT;-0,60;-0,41;-0,97;-0,85;-1,04;-1,24;-0,97;-0,86;-0,79
PL/Ativos;0,48;0,51;0,50;0,47;0,45;0,46;0,50;0,44;0,43
Passivos/Ativos;0,51;0,48;0,48;0,52;0,53;0,53;0,50;0,56;0,57
Liq. corrente;1,42;1,10;1,30;1,23;1,25;1,40;1,40;1,34;1,23
M. Bruta;31,91%;32,61%;32,34%;31,99%;32,38%;31,53%;30,81%;30,48%;30,60%
M. EBITDA;18,57%;18,38%;17,89%;18,40%;19,22%;19,36%;16,66%;16,65%;16,57%
M. EBIT;15,07%;15,04%;14,33%;15,01%;15,48%;15,36%;14,59%;14,39%;14,35%
M. Líquida;11,02%;11,19%;10,72%;11,17%;11,69%;11,52%;11,06%;9,90%;9,52%
ROE;24,61%;25,68%;26,75%;31,11%;30,25%;30,05%;32,23%;37,86%;35,48%
ROA;11,74%;12,99%;13,41%;14,55%;13,68%;13,78%;16,04%;16,61%;15,18%
ROIC;22,18%;25,51%;27,29%;31,75%;30,88%;30,58%;33,01%;40,07%;43,26%
Giro ativos;1,07;1,16;1,25;1,30;1,17;1,20;1,45;1,68;1,59
CAGR Receitas 5 anos;8,47%;9,36%;11,23%;7,75%;6,13%;6,28%;6,17%;3,97%;4,93%
CAGR Lucros 5 anos;8,74%;11,10%;14,83%;7,51%;10,84%;10,19%;4,35%;6,17%;12,54%
