;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;0,88%;3,96%;2,49%;1,72%;2,19%;2,86%;3,02%;3,27%;3,19%
Div;0.51;2.0;1.8;1.6;1.48;1.44;1.4;1.34;1.28
P/L;23.32;13.42;10.64;11.7;13.97;15.83;18.71;12.69;14.05
PEG Ratio;-0,69;-;-;-;-;-;-;-;-
P/VP;1,23;1,09;1,54;2,09;1,68;1,40;1,34;1,21;1,22
EV/EBITDA;12,91;6,40;6,14;7,50;8,40;9,83;9,85;7,39;8,48
EV/EBIT;30,64;8,86;7,45;8,87;10,74;14,14;14,76;10,25;12,52
P/EBITDA;13,81;5,89;6,17;7,63;8,28;8,77;8,65;6,83;7,83
P/EBIT;32,77;8,16;7,50;9,02;10,58;12,62;12,97;9,48;11,56
VPA;46,81;46,38;47,04;44,39;40,14;35,95;34,50;33,86;32,75
P/Ativo;0,53;0,45;0,68;0,85;0,67;0,56;0,59;0,56;0,56
LPA;2.47;3.77;6.79;7.93;4.84;3.18;2.48;3.23;2.85
P/SR;0,33;0,28;0,39;0,50;0,44;0,44;0,40;0,36;0,37
P/Cap. Giro;3,87;3,10;3,34;4,53;3,80;3,08;3,39;2,61;3,05
P/Ativo Circ. Liq.;-1,09;-0,95;-1,49;-2,08;-1,56;-1,25;-1,14;-1,13;-1,12
Dív. líquida/PL;-0,08;0,09;-0,01;-0,04;0,03;0,17;0,19;0,10;0,10
Dív. líquida/EBITDA;-0,90;0,51;-0,04;-0,13;0,13;1,05;1,20;0,56;0,65
Dív. líquida/EBIT;-2,13;0,71;-0,05;-0,15;0,16;1,52;1,79;0,78;0,96
PL/Ativos;0,43;0,42;0,44;0,41;0,40;0,40;0,44;0,46;0,46
Passivos/Ativos;0,56;0,58;0,55;0,59;0,59;0,60;0,56;0,53;0,54
Liq. corrente;1,37;1,39;1,60;1,46;1,45;1,50;1,55;1,75;1,59
M. Bruta;6,22%;6,76%;8,00%;7,45%;7,02%;6,92%;6,41%;6,50%;5,78%
M. EBITDA;2,41%;4,80%;6,39%;6,56%;5,37%;4,97%;4,61%;5,23%;4,71%
M. EBIT;1,02%;3,46%;5,26%;5,54%;4,20%;3,45%;3,08%;3,77%;3,19%
M. Líquida;1,43%;2,10%;3,71%;4,27%;3,18%;2,75%;2,13%;2,81%;2,62%
ROE;5,29%;8,12%;14,43%;17,87%;12,05%;8,86%;7,18%;9,54%;8,71%
ROA;2,29%;3,38%;6,38%;7,26%;4,83%;3,56%;3,13%;4,43%;3,99%
ROIC;1,91%;7,69%;12,66%;14,23%;9,37%;7,09%;6,34%;7,96%;7,49%
Giro ativos;1,60;1,61;1,72;1,70;1,52;1,29;1,47;1,58;1,52
CAGR Receitas 5 anos;5,76%;7,86%;10,80%;6,46%;-1,01%;-4,45%;-6,45%;-7,34%;-5,02%
CAGR Lucros 5 anos;5,47%;13,99%;22,16%;16,20%;-0,85%;-9,31%;6,17%;5,45%;-8,88%
