;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;-%;-%;-%;-%;-%;-%;-%;-%;-%
Div;;;;;;;;;
P/L;56.73;70.31;63.29;81.13;51.2;313.01;-499.59;-49.69;-39.67
PEG Ratio;-;-;-;-;-;-;-;-;-
P/VP;24,07;34,34;45,49;47,49;64,06;-482,68;-191,40;-110,03;31,48
EV/EBITDA;35,75;45,04;42,38;53,79;81,86;143,27;591,19;-70,95;-62,93
EV/EBIT;45,87;56,11;55,28;66,68;97,97;196,45;-1.660,05;-55,84;-45,40
P/EBITDA;35,52;45,02;42,21;52,66;82,15;142,76;575,03;-70,29;-64,07
P/EBIT;45,58;56,07;55,06;65,29;98,32;195,75;-1.614,69;-55,33;-46,22
VPA;12,36;8,61;5,35;3,94;4,39;-0,63;-0,96;-1,17;3,33
P/Ativo;5,82;6,43;5,52;4,68;8,50;10,87;8,54;6,85;4,81
LPA;5.25;4.2;3.85;2.3;5.49;0.98;-0.37;-2.59;-2.64
P/SR;10,29;11,59;10,41;9,19;16,32;20,51;15,71;13,70;11,37
P/Cap. Giro;-37,80;-82,51;-79,04;-32,37;-111,35;-119,92;-59,26;-114,83;83,90
P/Ativo Circ. Liq.;-8,58;-10,06;-8,54;-6,90;-13,50;-19,07;-12,98;-12,60;-9,88
Dív. líquida/PL;0,15;0,02;0,18;1,02;-0,23;-;-;-;-0,56
Dív. líquida/EBITDA;0,23;0,03;0,17;1,13;-0,29;0,51;16,16;-0,66;1,14
Dív. líquida/EBIT;0,29;0,03;0,22;1,40;-0,35;0,70;-45,36;-0,52;0,82
PL/Ativos;0,24;0,19;0,12;0,10;0,13;-0,02;-0,04;-0,06;0,15
Passivos/Ativos;0,76;0,81;0,88;0,90;0,87;1,02;1,04;1,06;0,85
Liq. corrente;0,68;0,82;0,84;0,69;0,83;0,83;0,70;0,88;1,13
M. Bruta;90,57%;90,70%;90,41%;90,46%;91,11%;90,08%;88,87%;85,25%;83,17%
M. EBITDA;28,97%;25,74%;24,66%;17,46%;19,86%;14,36%;2,73%;-19,48%;-17,74%
M. EBIT;22,57%;20,67%;18,90%;14,08%;16,60%;10,48%;-0,97%;-24,75%;-24,60%
M. Líquida;18,14%;16,48%;16,44%;11,33%;31,88%;6,55%;-3,14%;-27,56%;-28,66%
ROE;42,43%;48,84%;71,88%;58,53%;125,14%;-154,21%;-38,31%;-221,45%;-79,35%
ROA;10,26%;9,14%;8,72%;5,77%;16,60%;3,47%;-1,71%;-13,78%;-12,13%
ROIC;22,66%;21,89%;24,02%;15,82%;-1,24%;13,50%;-3,36%;-39,00%;-25,08%
Giro ativos;0,57;0,55;0,53;0,51;0,52;0,53;0,54;0,50;0,42
CAGR Receitas 5 anos;16,42%;19,47%;16,65%;8,64%;5,44%;2,48%;-2,32%;-1,72%;5,11%
CAGR Lucros 5 anos;-%;-%;-%;-%;21,26%;-%;-%;-%;-%
