;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;0,71%;3,01%;3,48%;2,65%;2,47%;2,56%;2,50%;2,83%;3,01%
Div;0.71;2.68;2.52;2.36;2.2;2.0;1.92;1.85;1.78
P/L;19.21;20.35;16.72;21.69;23.17;22.16;22.82;19.55;27.37
PEG Ratio;0,78;-;-;-;-;-;-;-;-
P/VP;2,12;1,99;1,70;2,22;2,36;2,16;2,34;2,09;1,99
EV/EBITDA;23,80;12,03;10,45;11,92;12,89;11,70;11,48;9,93;9,20
EV/EBIT;146,59;22,13;18,75;21,91;23,81;21,18;20,53;17,10;15,19
P/EBITDA;13,67;6,76;5,63;7,28;8,09;7,35;7,57;6,34;5,79
P/EBIT;84,18;12,45;10,11;13,38;14,94;13,30;13,53;10,92;9,57
VPA;47,25;44,88;42,62;40,11;37,64;36,16;32,76;31,24;29,61
P/Ativo;0,57;0,54;0,47;0,61;0,64;0,60;0,65;0,59;0,55
LPA;5.22;4.38;4.33;4.1;3.84;3.52;3.37;3.34;2.16
P/SR;3,03;3,16;2,57;2,93;3,59;3,33;3,20;2,53;2,32
P/Cap. Giro;-139,01;-20,94;-16,55;-33,38;-26,73;-36,62;-17,59;-13,81;-10,78
P/Ativo Circ. Liq.;-0,61;-0,57;-0,50;-0,66;-0,68;-0,64;-0,69;-0,62;-0,59
Dív. líquida/PL;1,57;1,54;1,45;1,41;1,40;1,28;1,21;1,18;1,17
Dív. líquida/EBITDA;10,13;5,26;4,82;4,64;4,80;4,36;3,92;3,59;3,40
Dív. líquida/EBIT;62,41;9,68;8,65;8,53;8,86;7,88;7,00;6,18;5,62
PL/Ativos;0,27;0,27;0,28;0,28;0,27;0,28;0,28;0,28;0,28
Passivos/Ativos;0,73;0,73;0,72;0,72;0,73;0,72;0,72;0,72;0,72
Liq. corrente;0,93;0,66;0,65;0,79;0,70;0,76;0,57;0,57;0,55
M. Bruta;8,86%;47,92%;46,23%;42,01%;46,78%;49,33%;46,41%;44,43%;45,08%
M. EBITDA;22,14%;46,66%;45,63%;40,22%;44,34%;45,32%;42,25%;39,93%;40,01%
M. EBIT;3,59%;25,36%;25,41%;21,88%;24,01%;25,04%;23,64%;23,19%;24,23%
M. Líquida;15,75%;15,51%;15,36%;13,50%;15,48%;15,03%;14,01%;12,96%;8,47%
ROE;11,04%;9,76%;10,15%;10,22%;10,21%;9,74%;10,27%;10,68%;7,28%
ROA;2,98%;2,65%;2,82%;2,83%;2,77%;2,72%;2,86%;2,99%;2,02%
ROIC;0,71%;6,00%;6,19%;6,11%;5,91%;6,32%;6,80%;7,33%;5,90%
Giro ativos;0,19;0,17;0,18;0,21;0,18;0,18;0,20;0,23;0,24
CAGR Receitas 5 anos;5,22%;3,58%;5,21%;1,03%;-1,02%;-0,48%;1,51%;1,32%;-0,24%
CAGR Lucros 5 anos;7,38%;7,17%;15,48%;8,68%;6,69%;7,16%;23,04%;-%;4,70%
