;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;3,23%;3,87%;5,23%;3,34%;3,37%;3,41%;2,87%;3,39%;3,25%
Div;3.73;3.57;4.25;3.17;3.0;2.84;2.71;2.53;2.39
P/L;16.9;16.57;19.35;21.15;18.03;18.79;24.3;19.16;18.92
PEG Ratio;-0,48;-;-;-;-;-;-;-;-
P/VP;2,04;1,82;1,69;2,04;2,00;2,01;2,38;1,94;1,98
EV/EBITDA;23,18;11,60;11,85;12,55;12,10;12,21;13,73;11,46;9,63
EV/EBIT;93,04;19,97;21,25;23,35;21,59;22,42;26,03;20,77;14,83
P/EBITDA;13,29;6,07;5,93;6,87;6,77;6,80;8,47;6,88;5,97
P/EBIT;53,33;10,44;10,64;12,78;12,09;12,48;16,06;12,46;9,19
VPA;56,77;50,56;47,98;46,50;44,49;41,40;39,75;38,59;37,18
P/Ativo;0,56;0,48;0,44;0,52;0,51;0,51;0,62;0,54;0,56
LPA;6.84;5.57;4.2;4.49;4.93;4.43;3.89;3.9;3.89
P/SR;2,90;2,49;2,25;2,48;2,67;2,77;3,00;2,28;2,35
P/Cap. Giro;-19,73;-6,81;-7,77;-7,52;-9,72;-7,41;-7,50;-8,13;-9,01
P/Ativo Circ. Liq.;-0,60;-0,51;-0,47;-0,56;-0,56;-0,54;-0,65;-0,57;-0,60
Dív. líquida/PL;1,52;1,66;1,69;1,69;1,57;1,60;1,48;1,29;1,21
Dív. líquida/EBITDA;9,89;5,53;5,92;5,68;5,33;5,41;5,26;4,58;3,66
Dív. líquida/EBIT;39,71;9,52;10,61;10,56;9,51;9,94;9,97;8,31;5,64
PL/Ativos;0,28;0,26;0,26;0,26;0,26;0,25;0,26;0,28;0,28
Passivos/Ativos;0,72;0,74;0,74;0,74;0,74;0,74;0,74;0,72;0,72
Liq. corrente;0,69;0,44;0,53;0,51;0,63;0,44;0,40;0,48;0,51
M. Bruta;14,29%;63,18%;58,62%;57,50%;60,77%;63,94%;59,39%;56,57%;58,14%
M. EBITDA;21,82%;41,06%;37,94%;36,16%;39,44%;40,77%;35,41%;33,08%;39,31%
M. EBIT;5,44%;23,86%;21,15%;19,43%;22,10%;22,20%;18,68%;18,26%;25,53%
M. Líquida;17,16%;15,05%;11,63%;11,75%;14,82%;14,75%;12,35%;11,88%;12,40%
ROE;12,05%;11,01%;8,75%;9,66%;11,09%;10,71%;9,79%;10,11%;10,46%
ROA;3,32%;2,88%;2,28%;2,47%;2,84%;2,72%;2,53%;2,80%;2,95%
ROIC;1,40%;6,46%;5,79%;5,87%;6,14%;6,04%;5,87%;6,41%;7,21%
Giro ativos;0,19;0,19;0,20;0,21;0,19;0,18;0,21;0,24;0,24
CAGR Receitas 5 anos;4,85%;3,23%;4,95%;0,50%;-1,94%;-1,02%;1,80%;0,63%;1,62%
CAGR Lucros 5 anos;9,08%;2,79%;1,53%;32,12%;1,45%;3,29%;5,38%;11,18%;-20,46%
