;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;-%;5,36%;3,45%;2,20%;2,48%;2,43%;2,75%;3,60%;4,43%
Div;;0.69;0.66;0.64;0.6;0.58;0.55;0.52;0.48
P/L;9.81;5.45;51.77;-35.23;-39.62;339.8;43.6;7.96;-6.16
PEG Ratio;-1,80;-;-;-;-;-;-;-;-
P/VP;2,67;2,51;5,18;7,89;5,79;5,93;4,41;2,99;2,90
EV/EBITDA;20,28;9,87;14,27;19,89;34,07;12,15;9,68;6,34;8,01
EV/EBIT;72,51;15,08;25,29;41,63;-445,64;19,74;14,24;8,28;12,68
P/EBITDA;5,41;2,50;4,90;9,54;16,52;5,62;4,05;2,25;2,25
P/EBIT;19,32;3,82;8,68;19,97;-216,04;9,13;5,95;2,94;3,56
VPA;5,43;5,12;3,72;3,64;4,20;3,96;4,51;4,84;3,73
P/Ativo;0,20;0,19;0,29;0,50;0,49;0,45;0,39;0,29;0,22
LPA;1.48;2.36;0.37;-0.82;-0.61;0.07;0.46;1.82;-1.76
P/SR;0,85;0,75;1,02;1,52;1,45;1,62;1,30;0,89;0,68
P/Cap. Giro;-3,95;-5,26;-4,18;16,70;25,97;300,59;97,86;15,55;19,33
P/Ativo Circ. Liq.;-0,23;-0,23;-0,34;-0,63;-0,59;-0,54;-0,46;-0,35;-0,27
Dív. líquida/PL;7,35;7,40;9,92;8,56;6,15;6,89;6,14;5,44;7,43
Dív. líquida/EBITDA;14,88;7,37;9,38;10,35;17,55;6,53;5,64;4,09;5,76
Dív. líquida/EBIT;53,19;11,26;16,61;21,66;-229,60;10,61;8,29;5,35;9,12
PL/Ativos;0,08;0,08;0,06;0,06;0,08;0,08;0,09;0,10;0,07
Passivos/Ativos;0,79;0,82;0,83;0,85;0,82;0,84;0,82;0,80;0,83
Liq. corrente;0,72;0,80;0,68;1,18;1,13;1,01;1,03;1,14;1,06
M. Bruta;16,94%;18,85%;19,77%;20,19%;24,33%;27,88%;23,05%;23,97%;23,41%
M. EBITDA;15,78%;29,81%;20,78%;15,98%;8,81%;28,78%;32,04%;39,73%;30,18%
M. EBIT;4,42%;19,51%;11,73%;7,63%;-0,67%;17,72%;21,79%;30,38%;19,08%
M. Líquida;8,70%;13,67%;1,97%;-4,33%;-3,67%;0,48%;2,97%;11,21%;-11,03%
ROE;27,22%;46,08%;10,01%;-22,40%;-14,62%;1,75%;10,11%;37,50%;-47,10%
ROA;2,07%;3,54%;0,56%;-1,42%;-1,24%;0,13%;0,90%;3,70%;-3,51%
ROIC;1,44%;7,16%;4,17%;2,69%;-0,97%;6,64%;8,06%;11,35%;4,54%
Giro ativos;0,24;0,26;0,28;0,33;0,34;0,28;0,30;0,33;0,32
CAGR Receitas 5 anos;3,80%;3,36%;3,68%;1,62%;-3,02%;-8,77%;-7,54%;-9,31%;-8,58%
CAGR Lucros 5 anos;40,84%;-27,02%;-%;-%;-31,54%;-17,00%;60,20%;-%;-%
