;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;-%;1,39%;1,67%;2,19%;1,71%;1,87%;1,85%;2,55%;2,13%
Div;;2.96;2.82;2.74;2.66;2.55;2.42;2.28;2.15
P/L;14.26;14.26;13.63;23.89;6.35;18.92;21.84;23.44;10.44
PEG Ratio;-0,22;-;-;-;-;-;-;-;-
P/VP;2,10;2,12;1,82;1,56;1,58;1,34;1,41;1,09;1,27
EV/EBITDA;24,16;9,23;8,79;12,35;8,80;11,17;10,77;12,97;10,95
EV/EBIT;45,28;11,22;10,68;17,25;10,49;13,58;12,57;15,06;11,21
P/EBITDA;23,34;8,62;7,88;10,32;8,15;10,62;10,23;11,02;10,73
P/EBIT;43,73;10,48;9,57;14,42;9,71;12,91;11,95;12,79;10,98
VPA;114,98;100,46;92,57;80,04;98,46;101,28;93,23;82,38;79,36
P/Ativo;0,34;0,31;0,26;0,20;0,26;0,18;0,18;0,14;0,17
LPA;16.95;14.95;12.37;5.24;24.53;7.2;6.0;3.82;9.66
P/SR;0,96;0,91;0,79;0,65;0,85;0,79;0,79;0,69;0,85
P/Cap. Giro;-;-;-;-;-;-;-;-;-
P/Ativo Circ. Liq.;-0,34;-0,31;-0,26;-0,20;-0,26;-0,18;-0,18;-0,14;-0,17
Dív. líquida/PL;0,07;0,15;0,21;0,31;0,13;0,07;0,07;0,19;0,03
Dív. líquida/EBITDA;0,82;0,61;0,92;2,03;0,66;0,55;0,53;1,95;0,22
Dív. líquida/EBIT;1,54;0,74;1,11;2,83;0,78;0,66;0,62;2,26;0,23
PL/Ativos;0,16;0,15;0,14;0,13;0,16;0,13;0,13;0,12;0,13
Passivos/Ativos;0,84;0,85;0,86;0,87;0,84;0,87;0,87;0,88;0,87
Liq. corrente;-;-;-;-;-;-;-;-;-
M. Bruta;-44,89%;8,71%;8,22%;4,58%;46,64%;43,94%;41,46%;33,94%;28,59%
M. EBITDA;4,13%;10,59%;9,98%;6,28%;10,47%;7,46%;7,70%;6,25%;7,88%
M. EBIT;2,20%;8,71%;8,22%;4,50%;8,78%;6,14%;6,59%;5,38%;7,70%
M. Líquida;6,75%;6,40%;5,77%;2,71%;13,43%;4,19%;3,61%;2,94%;8,10%
ROE;14,74%;14,89%;13,36%;6,54%;24,91%;7,11%;6,44%;4,63%;12,17%
ROA;2,37%;2,17%;1,91%;0,84%;4,03%;0,95%;0,82%;0,58%;1,63%
ROIC;0,87%;10,89%;9,73%;5,33%;8,56%;6,13%;5,97%;4,57%;7,40%
Giro ativos;0,35;0,34;0,33;0,31;0,30;0,23;0,23;0,20;0,20
CAGR Receitas 5 anos;3,32%;6,68%;9,70%;6,23%;-0,45%;-0,57%;-2,29%;-5,49%;-1,86%
CAGR Lucros 5 anos;14,72%;20,68%;-11,85%;19,41%;25,55%;-4,07%;-12,48%;1,44%;0,96%
