;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;-%;-%;-%;-%;-%;-%;-%;-%;-%
Div;;;;;;;;;
P/L;24.93;28.42;32.68;25.19;28.83;30.68;29.2;33.34;49.39
PEG Ratio;-6,79;-;-;-;-;-;-;-;-
P/VP;2,67;2,94;3,89;3,03;4,15;4,02;3,82;3,12;3,27
EV/EBITDA;18,04;12,84;16,51;11,35;13,89;-;13,35;11,15;15,12
EV/EBIT;94,76;26,54;30,69;21,48;24,59;26,12;24,51;24,89;32,89
P/EBITDA;14,60;11,31;14,36;10,42;13,26;-;13,07;11,53;15,19
P/EBIT;76,65;23,37;26,70;19,72;23,47;24,94;23,99;25,75;33,03
VPA;32,89;32,52;30,40;27,86;28,22;26,11;22,64;19,60;19,88
P/Ativo;1,17;1,38;1,81;1,59;2,31;2,20;1,99;1,82;2,37
LPA;3.52;3.37;3.62;3.35;4.06;3.42;2.96;1.83;1.32
P/SR;12,39;3,60;4,70;3,65;5,43;5,34;4,82;3,66;4,42
P/Cap. Giro;10,38;29,48;18,47;11,46;16,62;14,59;9,07;7,51;12,37
P/Ativo Circ. Liq.;-1,46;-1,84;-2,21;-2,08;-3,02;-2,93;-2,92;-3,40;-3,33
Dív. líquida/PL;0,63;0,40;0,58;0,27;0,20;0,19;0,08;-0,10;-0,01
Dív. líquida/EBITDA;3,45;1,54;2,15;0,93;0,63;-;0,28;-0,38;-0,07
Dív. líquida/EBIT;18,10;3,17;3,99;1,76;1,12;1,18;0,52;-0,86;-0,15
PL/Ativos;0,44;0,47;0,46;0,53;0,56;0,55;0,52;0,58;0,72
Passivos/Ativos;0,56;0,53;0,54;0,47;0,44;0,45;0,48;0,42;0,28
Liq. corrente;2,28;1,23;2,16;2,41;2,43;2,54;3,22;2,09;2,95
M. Bruta;59,37%;59,39%;60,36%;61,74%;63,34%;64,58%;65,87%;64,87%;64,81%
M. EBITDA;84,87%;31,80%;32,70%;35,01%;40,95%;-%;36,92%;31,78%;29,09%
M. EBIT;16,16%;15,39%;17,58%;18,50%;23,13%;21,42%;20,11%;14,23%;13,38%
M. Líquida;49,70%;12,65%;14,37%;14,48%;18,83%;17,42%;16,52%;10,99%;8,95%
ROE;10,71%;10,35%;11,91%;12,01%;14,38%;13,10%;13,07%;9,35%;6,63%
ROA;4,68%;4,87%;5,53%;6,31%;8,01%;7,17%;6,82%;5,46%;4,79%
ROIC;0,17%;6,32%;6,93%;8,16%;11,34%;10,38%;9,61%;7,19%;6,00%
Giro ativos;0,09;0,38;0,39;0,44;0,43;0,41;0,41;0,50;0,54
CAGR Receitas 5 anos;6,64%;7,03%;7,76%;8,07%;7,79%;8,06%;11,46%;12,62%;15,17%
CAGR Lucros 5 anos;1,10%;12,91%;18,64%;15,23%;11,63%;7,44%;0,33%;1,78%;9,81%
