;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;-%;-%;-%;-%;-%;-%;-%;-%;-%
Div;;;;;;;;;
P/L;29.89;36.54;46.22;45.07;67.0;23.73;49.67;41.85;76.98
PEG Ratio;-0,30;-;-;-;-;-;-;-;-
P/VP;2,86;4,00;5,67;4,52;14,28;13,03;16,34;13,37;15,43
EV/EBITDA;32,78;19,04;25,01;21,10;45,09;87,15;32,92;30,72;42,46
EV/EBIT;73,20;23,57;30,56;25,53;49,93;108,66;37,54;34,32;46,86
P/EBITDA;35,98;20,42;26,25;22,48;46,14;89,18;34,27;32,13;44,26
P/EBIT;80,33;25,29;32,08;27,20;51,09;111,19;39,09;35,90;48,83
VPA;55,16;52,16;48,36;46,61;46,03;41,01;17,08;15,66;14,40
P/Ativo;1,81;2,48;3,38;2,74;8,71;8,72;8,79;8,16;9,99
LPA;5.27;5.71;5.93;4.68;9.81;22.52;5.62;5.0;2.89
P/SR;2,84;3,85;5,33;4,36;13,09;17,05;9,14;8,52;12,09
P/Cap. Giro;19,92;33,89;54,13;32,69;90,75;80,42;33,20;27,44;27,06
P/Ativo Circ. Liq.;-3,06;-4,14;-5,66;-4,62;-15,00;-14,14;-25,36;-22,34;-28,47
Dív. líquida/PL;-0,25;-0,27;-0,27;-0,28;-0,32;-0,30;-0,65;-0,59;-0,63
Dív. líquida/EBITDA;-3,20;-1,38;-1,24;-1,38;-1,04;-2,03;-1,35;-1,41;-1,79
Dív. líquida/EBIT;-7,14;-1,71;-1,52;-1,67;-1,16;-2,54;-1,54;-1,58;-1,98
PL/Ativos;0,63;0,62;0,60;0,61;0,61;0,67;0,54;0,61;0,65
Passivos/Ativos;0,37;0,38;0,40;0,39;0,39;0,33;0,46;0,39;0,35
Liq. corrente;1,29;1,22;1,18;1,26;1,30;1,40;1,68;1,88;2,32
M. Bruta;68,41%;70,00%;70,08%;70,52%;74,26%;71,33%;72,46%;73,63%;75,81%
M. EBITDA;7,89%;18,85%;20,29%;19,41%;28,37%;19,11%;26,66%;26,51%;27,32%
M. EBIT;3,53%;15,23%;16,60%;16,04%;25,61%;15,33%;23,38%;23,73%;24,76%
M. Líquida;9,50%;10,54%;11,52%;9,68%;19,53%;71,84%;18,40%;20,35%;15,71%
ROE;9,56%;10,94%;12,26%;10,04%;21,31%;54,92%;32,89%;31,94%;20,05%
ROA;6,07%;6,78%;7,32%;6,08%;12,99%;36,77%;17,71%;19,50%;12,97%
ROIC;-0,77%;10,94%;12,26%;10,04%;21,31%;-31,48%;33,45%;32,64%;20,33%
Giro ativos;0,64;0,64;0,63;0,63;0,67;0,51;0,96;0,96;0,83
CAGR Receitas 5 anos;10,69%;14,45%;20,44%;29,63%;23,93%;25,87%;24,39%;21,34%;17,62%
CAGR Lucros 5 anos;-0,99%;2,15%;9,34%;32,41%;65,27%;24,87%;44,15%;31,57%;23,24%
