;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;0,32%;1,47%;1,42%;1,56%;1,09%;1,10%;0,87%;1,05%;0,80%
Div;0.51;1.92;1.8;1.64;1.44;1.28;1.08;0.84;0.64
P/L;47.19;18.86;20.51;20.19;24.19;34.08;28.8;17.42;27.67
PEG Ratio;-0,57;-;-;-;-;-;-;-;-
P/VP;7,09;7,51;8,41;9,82;15,39;12,91;15,28;11,64;18,83
EV/EBITDA;49,33;13,88;15,37;16,06;19,36;-;20,58;14,19;15,08
EV/EBIT;83,09;15,94;17,79;18,72;22,17;28,00;23,80;16,50;17,10
P/EBITDA;43,68;12,25;13,49;13,44;17,77;-;18,84;12,31;13,31
P/EBIT;73,57;14,08;15,61;15,66;20,35;25,72;21,78;14,32;15,08
VPA;22,63;17,40;15,07;10,72;8,61;9,01;8,15;6,85;4,23
P/Ativo;2,64;2,51;2,57;2,32;3,83;3,49;3,90;2,70;2,97
LPA;3.4;6.93;6.18;5.21;5.48;3.41;4.32;4.58;2.88
P/SR;3,47;2,99;3,04;2,83;4,07;3,94;4,05;2,77;3,14
P/Cap. Giro;22,58;15,54;39,42;18,10;22,62;17,18;23,39;18,44;13,22
P/Ativo Circ. Liq.;-3,61;-3,68;-3,76;-3,33;-6,04;-5,57;-5,89;-4,03;-5,01
Dív. líquida/PL;0,92;1,00;1,17;1,92;1,38;1,14;1,41;1,77;2,52
Dív. líquida/EBITDA;5,65;1,63;1,88;2,62;1,59;-;1,74;1,88;1,78
Dív. líquida/EBIT;9,52;1,87;2,18;3,06;1,82;2,28;2,01;2,18;2,02
PL/Ativos;0,37;0,33;0,31;0,24;0,25;0,27;0,26;0,23;0,16
Passivos/Ativos;0,63;0,67;0,69;0,76;0,75;0,73;0,74;0,77;0,84
Liq. corrente;1,77;2,04;1,26;1,73;1,86;2,20;1,98;1,79;2,24
M. Bruta;10,47%;44,23%;43,32%;40,42%;42,02%;43,34%;43,88%;42,95%;44,55%
M. EBITDA;7,94%;24,38%;22,51%;21,04%;22,92%;-%;21,52%;22,53%;23,60%
M. EBIT;4,71%;21,23%;19,46%;18,04%;20,03%;15,31%;18,61%;19,37%;20,82%
M. Líquida;7,34%;15,84%;14,80%;14,00%;16,84%;11,56%;14,08%;15,92%;11,35%
ROE;15,02%;39,81%;40,99%;48,63%;63,63%;37,89%;53,05%;66,80%;68,05%
ROA;5,59%;13,31%;12,53%;11,48%;15,83%;10,24%;13,54%;15,48%;10,75%
ROIC;2,01%;19,98%;19,01%;17,59%;24,24%;16,18%;20,96%;23,35%;20,35%
Giro ativos;0,76;0,84;0,85;0,82;0,94;0,89;0,96;0,97;0,95
CAGR Receitas 5 anos;5,74%;5,97%;6,32%;5,08%;5,63%;6,14%;5,71%;3,54%;2,06%
CAGR Lucros 5 anos;8,26%;4,44%;10,88%;16,09%;15,35%;18,06%;68,20%;4,42%;0,99%
