;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;0,69%;0,93%;0,75%;1,05%;0,60%;1,01%;1,36%;2,14%;0,78%
Div;1.79;1.51;1.22;1.02;0.94;0.87;0.83;0.7;0.4
P/L;29.35;18.38;19.63;12.59;23.7;21.8;20.65;10.33;15.35
PEG Ratio;-;-;-;-;-;-;-;-;-
P/VP;10,06;6,94;8,23;6,74;11,39;7,46;6,80;4,59;5,78
EV/EBITDA;20,38;14,64;15,74;10,28;18,85;16,44;14,88;6,42;11,77
EV/EBIT;21,31;15,32;16,76;10,86;19,91;17,84;16,42;7,05;12,96
P/EBITDA;20,59;15,01;15,89;9,93;18,85;16,50;14,44;6,17;12,21
P/EBIT;21,53;15,71;16,92;10,50;19,91;17,91;15,94;6,78;13,45
VPA;25,75;23,42;19,69;14,45;13,81;11,57;8,97;7,14;8,85
P/Ativo;5,66;3,83;4,38;3,07;5,40;3,53;2,94;1,78;2,78
LPA;8.83;8.85;8.26;7.73;6.64;3.96;2.96;3.17;3.33
P/SR;7,24;4,85;5,08;3,19;6,05;4,59;3,82;1,88;3,67
P/Cap. Giro;15,94;10,35;11,43;9,61;14,29;8,86;9,70;4,70;6,13
P/Ativo Circ. Liq.;-13,32;-10,00;-11,62;-7,61;-14,36;-8,78;-6,34;-4,47;-8,31
Dív. líquida/PL;-0,10;-0,17;-0,08;0,24;0,00;-0,03;0,21;0,19;-0,21
Dív. líquida/EBITDA;-0,20;-0,37;-0,15;0,35;0,00;-0,06;0,44;0,25;-0,45
Dív. líquida/EBIT;-0,21;-0,38;-0,16;0,37;0,00;-0,07;0,48;0,28;-0,49
PL/Ativos;0,56;0,55;0,53;0,46;0,47;0,47;0,43;0,39;0,48
Passivos/Ativos;0,44;0,45;0,47;0,54;0,53;0,53;0,57;0,61;0,52
Liq. corrente;2,61;2,51;2,60;2,16;2,54;3,00;2,30;2,70;3,14
M. Bruta;48,67%;47,46%;46,70%;46,51%;47,32%;44,72%;43,72%;45,00%;44,99%
M. EBITDA;35,16%;32,35%;31,94%;32,08%;32,09%;27,80%;26,49%;30,45%;30,08%
M. EBIT;33,63%;30,91%;30,00%;30,35%;30,38%;25,61%;24,00%;27,72%;27,31%
M. Líquida;24,67%;26,41%;25,86%;25,31%;25,53%;21,04%;18,52%;18,19%;23,94%
ROE;34,28%;37,77%;41,94%;53,51%;48,08%;34,21%;32,94%;44,38%;37,64%
ROA;19,28%;20,86%;22,31%;24,41%;22,80%;16,19%;14,22%;17,23%;18,12%
ROIC;26,94%;29,39%;32,38%;38,26%;34,60%;24,08%;21,76%;26,92%;25,37%
Giro ativos;0,78;0,79;0,86;0,96;0,89;0,77;0,77;0,95;0,76
CAGR Receitas 5 anos;13,22%;9,68%;11,90%;16,33%;12,24%;10,00%;17,34%;11,01%;0,58%
CAGR Lucros 5 anos;21,54%;17,68%;13,14%;27,89%;21,32%;20,34%;64,01%;100,35%;-2,23%
