;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;0,15%;0,62%;0,61%;0,63%;0,54%;0,60%;0,56%;0,83%;0,50%
Div;0.31;1.12;1.01;0.88;0.79;0.73;0.56;0.56;0.36
P/L;32.44;30.22;29.0;27.72;34.41;31.89;26.47;20.2;24.58
PEG Ratio;3,15;-;-;-;-;-;-;-;-
P/VP;4,53;4,31;4,36;4,30;4,96;4,68;4,46;3,70;4,16
EV/EBITDA;56,49;20,07;20,23;18,67;22,72;-;18,08;14,17;16,95
EV/EBIT;106,52;24,40;24,28;22,61;27,82;24,84;21,74;16,82;20,43
P/EBITDA;54,19;19,28;18,80;17,55;21,35;-;16,38;12,38;15,54
P/EBIT;102,18;23,44;22,56;21,26;26,13;23,81;19,69;14,69;18,72
VPA;45,73;41,85;37,80;32,50;29,66;25,86;22,38;18,28;17,43
P/Ativo;2,94;2,84;2,53;2,59;2,86;2,69;2,32;1,81;2,15
LPA;6.38;5.97;5.69;5.04;4.27;3.79;3.77;3.35;2.95
P/SR;6,65;5,99;5,77;5,23;6,14;6,13;4,42;3,24;3,90
P/Cap. Giro;115,73;82,44;-657,60;33,35;60,24;19,23;38,01;27,21;21,04
P/Ativo Circ. Liq.;-3,63;-3,46;-3,12;-3,25;-3,49;-3,55;-2,92;-2,30;-2,86
Dív. líquida/PL;0,19;0,18;0,33;0,27;0,32;0,20;0,46;0,54;0,38
Dív. líquida/EBITDA;2,30;0,79;1,43;1,11;1,38;-;1,71;1,80;1,42
Dív. líquida/EBIT;4,34;0,96;1,72;1,35;1,69;1,03;2,05;2,13;1,71
PL/Ativos;0,65;0,66;0,58;0,60;0,58;0,57;0,52;0,49;0,52
Passivos/Ativos;0,35;0,34;0,42;0,40;0,42;0,43;0,48;0,51;0,48
Liq. corrente;1,16;1,24;0,98;1,62;1,36;2,34;1,42;1,46;1,70
M. Bruta;9,00%;35,68%;36,14%;34,88%;34,48%;34,00%;34,65%;34,25%;33,46%
M. EBITDA;12,27%;31,08%;30,71%;29,77%;28,77%;-%;26,99%;26,20%;25,07%
M. EBIT;6,51%;25,56%;25,59%;24,58%;23,50%;25,73%;22,45%;22,08%;20,81%
M. Líquida;20,50%;19,83%;19,91%;18,85%;17,85%;19,22%;16,70%;16,05%;15,85%
ROE;13,95%;14,25%;15,04%;15,51%;14,41%;14,66%;16,84%;18,34%;16,92%
ROA;9,08%;9,41%;8,74%;9,33%;8,32%;8,42%;8,75%;8,98%;8,74%
ROIC;1,28%;12,69%;11,58%;12,60%;11,37%;11,46%;12,05%;12,51%;12,57%
Giro ativos;0,44;0,47;0,44;0,49;0,47;0,44;0,52;0,56;0,55
CAGR Receitas 5 anos;6,12%;6,36%;7,42%;7,63%;2,70%;5,10%;6,16%;5,22%;5,13%
CAGR Lucros 5 anos;9,82%;11,04%;11,22%;14,09%;8,11%;8,06%;8,52%;8,22%;5,90%
