;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;-%;-%;-%;-%;-%;-%;-%;-%;-%
Div;;;;;;;;;
P/L;32.44;39.22;51.85;-316.06;50.87;3.83;79.06;72.91;185.8
PEG Ratio;0,61;-;-;-;-;-;-;-;-
P/VP;6,71;8,13;7,81;5,89;12,28;0,87;14,76;16,86;20,34
EV/EBITDA;28,73;18,38;17,33;22,36;22,22;0,57;23,67;25,58;34,55
EV/EBIT;106,35;32,04;38,03;-240,25;41,29;1,13;56,79;56,53;119,74
P/EBITDA;29,24;18,77;17,65;22,43;22,86;1,60;24,52;26,21;34,93
P/EBIT;108,25;32,72;38,72;-241,06;42,47;3,16;58,82;57,93;121,09
VPA;34,58;27,00;19,44;14,26;13,58;186,16;125,17;89,06;57,50
P/Ativo;3,41;3,72;2,99;1,86;4,04;0,25;4,07;4,52;4,29
LPA;7.15;5.59;2.93;-0.27;3.28;42.51;23.37;20.6;6.29
P/SR;3,59;3,64;2,74;1,67;3,61;0,21;3,27;3,15;3,17
P/Cap. Giro;1.485,56;203,22;212,21;-100,01;87,87;12,87;107,50;109,45;243,53
P/Ativo Circ. Liq.;-4,67;-5,35;-4,44;-2,72;-6,55;-0,43;-7,11;-8,39;-7,92
Dív. líquida/PL;-0,12;-0,17;-0,14;-0,02;-0,34;-0,56;-0,51;-0,41;-0,23
Dív. líquida/EBITDA;-0,51;-0,39;-0,32;-0,07;-0,64;-1,03;-0,85;-0,63;-0,39
Dív. líquida/EBIT;-1,90;-0,68;-0,70;0,81;-1,18;-2,04;-2,03;-1,40;-1,34
PL/Ativos;0,51;0,46;0,38;0,32;0,33;0,29;0,28;0,27;0,21
Passivos/Ativos;0,49;0,54;0,62;0,68;0,67;0,71;0,72;0,73;0,79
Liq. corrente;1,01;1,06;1,05;0,94;1,14;1,05;1,10;1,10;1,04
M. Bruta;12,86%;48,85%;46,98%;43,81%;42,03%;39,57%;40,99%;40,25%;37,07%
M. EBITDA;12,27%;19,41%;15,55%;7,46%;15,81%;13,23%;13,32%;12,03%;9,07%
M. EBIT;3,32%;11,13%;7,09%;-0,69%;8,51%;6,69%;5,55%;5,44%;2,62%
M. Líquida;11,06%;9,29%;5,29%;-0,53%;7,10%;5,53%;4,13%;4,33%;1,71%
ROE;20,69%;20,72%;15,07%;-1,86%;24,13%;22,84%;18,67%;23,13%;10,95%
ROA;10,51%;9,48%;5,76%;-0,59%;7,93%;6,64%;5,14%;6,19%;2,31%
ROIC;1,54%;18,24%;12,92%;-3,18%;18,81%;18,34%;15,45%;17,12%;7,41%
Giro ativos;0,95;1,02;1,09;1,11;1,12;1,20;1,25;1,43;1,35
CAGR Receitas 5 anos;17,86%;19,80%;23,64%;28,14%;29,26%;25,81%;25,62%;23,83%;23,12%
CAGR Lucros 5 anos;38,59%;24,74%;-%;69,70%;104,53%;-%;105,63%;-%;30,31%
