;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;-%;1,91%;1,84%;1,99%;1,23%;1,79%;1,89%;1,78%;0,91%
Div;;1.3;1.52;1.14;1.06;0.98;0.9;0.76;0.56
P/L;17.66;18.45;21.85;36.71;27.79;25.66;21.0;16.34;35.53
PEG Ratio;-3,23;-;-;-;-;-;-;-;-
P/VP;5,08;5,23;6,59;4,95;7,39;4,79;4,66;4,23;6,41
EV/EBITDA;40,86;12,41;14,48;27,47;18,51;15,58;13,37;10,71;16,85
EV/EBIT;63,61;13,79;16,00;36,53;20,80;18,34;15,53;12,07;19,07
P/EBITDA;40,81;12,52;14,76;27,91;19,12;16,66;13,84;11,37;17,53
P/EBIT;63,52;13,91;16,31;37,12;21,49;19,62;16,09;12,82;19,85
VPA;13,25;13,05;12,50;11,56;11,62;11,45;10,22;10,10;9,57
P/Ativo;2,96;3,04;3,78;2,60;3,90;2,80;2,54;2,36;3,30
LPA;3.81;3.7;3.77;1.56;3.09;2.14;2.27;2.61;1.72
P/SR;2,45;2,58;3,16;2,31;3,82;3,06;2,60;2,28;3,52
P/Cap. Giro;20,21;19,86;21,91;12,37;21,35;12,10;10,59;8,51;10,83
P/Ativo Circ. Liq.;-5,05;-5,33;-7,10;-5,09;-7,86;-5,74;-4,99;-5,06;-7,37
Dív. líquida/PL;0,01;-0,04;-0,13;-0,08;-0,24;-0,31;-0,16;-0,25;-0,25
Dív. líquida/EBITDA;0,06;-0,11;-0,29;-0,44;-0,61;-1,09;-0,48;-0,66;-0,68
Dív. líquida/EBIT;0,09;-0,12;-0,32;-0,59;-0,69;-1,28;-0,55;-0,75;-0,77
PL/Ativos;0,58;0,58;0,57;0,52;0,53;0,58;0,55;0,56;0,51
Passivos/Ativos;0,42;0,42;0,43;0,48;0,47;0,42;0,45;0,44;0,49
Liq. corrente;1,54;1,55;1,59;1,75;1,57;1,83;1,96;2,09;2,23
M. Bruta;38,51%;38,14%;38,54%;35,42%;37,04%;38,28%;39,45%;40,95%;41,13%
M. EBITDA;5,99%;20,60%;21,38%;8,26%;20,00%;18,35%;18,76%;20,02%;20,06%
M. EBIT;3,85%;18,54%;19,35%;6,21%;17,80%;15,58%;16,14%;17,76%;17,72%
M. Líquida;13,85%;13,98%;14,45%;6,28%;13,76%;11,91%;12,36%;13,93%;9,89%
ROE;28,76%;28,33%;30,18%;13,49%;26,59%;18,66%;22,20%;25,87%;18,03%
ROA;16,73%;16,47%;17,32%;7,07%;14,02%;10,91%;12,10%;14,46%;9,27%
ROIC;-1,06%;26,02%;28,84%;10,57%;24,22%;17,96%;19,53%;23,35%;14,92%
Giro ativos;1,21;1,18;1,20;1,13;1,02;0,92;0,98;1,04;0,94
CAGR Receitas 5 anos;4,99%;3,86%;4,61%;5,67%;2,68%;4,90%;8,16%;9,09%;9,44%
CAGR Lucros 5 anos;7,60%;4,61%;-4,49%;8,33%;4,04%;12,23%;21,22%;13,32%;1,33%
