;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;0,12%;0,95%;1,07%;0,53%;1,06%;1,59%;1,77%;2,17%;1,59%
Div;0.16;0.66;0.53;0.4;0.93;1.04;0.96;0.88;0.7
P/L;43.52;34.65;30.79;47.61;32.94;32.51;27.78;20.26;41.21
PEG Ratio;0,59;-;-;-;-;-;-;-;-
P/VP;13,28;8,58;7,11;12,91;8,31;7,26;6,98;6,01;6,63
EV/EBITDA;94,99;23,03;20,68;31,36;22,38;21,15;17,80;13,05;17,29
EV/EBIT;174,43;27,11;23,92;36,10;26,59;25,12;21,24;15,37;20,03
P/EBITDA;92,66;22,09;19,79;30,31;20,96;20,06;16,62;12,29;16,20
P/EBIT;170,16;26,01;22,88;34,89;24,90;23,82;19,82;14,47;18,78
VPA;10,23;8,10;6,97;5,90;10,52;9,00;7,75;6,74;6,62
P/Ativo;6,13;3,92;3,59;5,91;3,57;3,17;2,97;2,43;2,68
LPA;3.12;2.0;1.61;1.6;2.66;2.01;1.95;2.0;1.07
P/SR;7,93;5,52;4,73;7,18;4,82;4,55;3,90;2,98;3,82
P/Cap. Giro;25,98;14,99;16,12;23,82;14,92;12,28;15,44;11,51;8,71
P/Ativo Circ. Liq.;-11,27;-7,15;-6,13;-10,24;-6,01;-5,72;-4,86;-4,46;-5,01
Dív. líquida/PL;0,33;0,36;0,32;0,45;0,56;0,40;0,50;0,37;0,44
Dív. líquida/EBITDA;2,33;0,93;0,89;1,05;1,42;1,09;1,19;0,76;1,08
Dív. líquida/EBIT;4,28;1,10;1,03;1,21;1,69;1,30;1,42;0,90;1,25
PL/Ativos;0,46;0,46;0,51;0,46;0,43;0,44;0,42;0,40;0,40
Passivos/Ativos;0,54;0,54;0,49;0,54;0,57;0,56;0,58;0,60;0,60
Liq. corrente;2,07;2,37;2,17;2,42;2,43;2,38;1,97;1,86;2,95
M. Bruta;35,94%;33,76%;32,53%;31,91%;31,28%;30,98%;31,80%;32,37%;32,95%
M. EBITDA;8,56%;24,97%;23,90%;23,68%;22,99%;22,68%;23,48%;24,22%;23,60%
M. EBIT;4,66%;21,21%;20,66%;20,56%;19,35%;19,10%;19,69%;20,57%;20,36%
M. Líquida;18,22%;15,92%;15,36%;15,07%;14,63%;13,99%;14,04%;14,69%;9,28%
ROE;30,52%;24,75%;23,10%;27,12%;25,24%;22,35%;25,13%;29,65%;16,09%
ROA;14,08%;11,31%;11,67%;12,41%;10,84%;9,76%;10,68%;12,00%;6,50%
ROIC;-0,16%;15,94%;16,44%;17,64%;15,27%;14,36%;16,50%;19,15%;9,70%
Giro ativos;0,77;0,71;0,76;0,82;0,74;0,70;0,76;0,82;0,70
CAGR Receitas 5 anos;13,10%;8,89%;12,48%;11,59%;9,08%;9,00%;12,19%;10,31%;9,80%
CAGR Lucros 5 anos;15,98%;9,86%;23,94%;14,09%;9,53%;10,25%;13,64%;3,22%;9,44%
