;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;0,32%;1,10%;1,81%;2,51%;2,90%;4,72%;4,23%;7,86%;5,53%
Div;0.47;1.82;1.69;1.6;2.1;2.29;2.02;1.87;1.85
P/L;20.16;20.86;10.58;-18.55;10.0;93.43;13.16;-476.39;10.52
PEG Ratio;-0,76;-;-;-;-;-;-;-;-
P/VP;3,66;5,42;3,77;5,48;4,76;7,84;5,73;3,59;4,43
EV/EBITDA;-247,63;-29,23;-39,08;37,06;0,70;-;8,21;36,11;4,34
EV/EBIT;-153,06;-27,11;-34,40;39,88;0,71;33,52;8,29;39,45;4,39
P/EBITDA;76,44;13,15;10,49;-8,20;3,59;-;6,97;27,48;3,52
P/EBIT;47,25;12,20;9,23;-8,83;3,61;16,31;7,05;30,02;3,55
VPA;39,86;30,50;24,74;11,64;15,22;6,25;8,33;6,83;7,56
P/Ativo;0,19;0,25;0,17;0,14;0,59;0,47;1,24;0,83;0,93
LPA;7.23;7.92;8.81;-3.44;7.24;0.52;3.63;-0.05;3.18
P/SR;3,22;4,51;3,26;-;3,10;5,05;3,75;4,78;2,38
P/Cap. Giro;-;-;-;-;-;-;-;-;-
P/Ativo Circ. Liq.;-0,19;-0,25;-0,17;-0,14;-0,59;-0,47;-1,24;-0,83;-0,93
Dív. líquida/PL;-15,51;-17,45;-17,81;-30,23;-3,82;8,27;1,01;1,13;1,04
Dív. líquida/EBITDA;-324,07;-42,38;-49,57;45,26;-2,88;-;1,23;8,63;0,82
Dív. líquida/EBIT;-200,31;-39,31;-43,63;48,70;-2,90;17,21;1,25;9,43;0,83
PL/Ativos;0,05;0,05;0,04;0,03;0,12;0,06;0,22;0,23;0,21
Passivos/Ativos;0,95;0,95;0,96;0,97;0,82;0,91;0,78;0,77;0,79
Liq. corrente;-;-;-;-;-;-;-;-;-
M. Bruta;15,46%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%
M. EBITDA;4,22%;34,33%;31,09%;148,18%;86,46%;-%;53,71%;17,40%;67,70%
M. EBIT;6,82%;37,01%;35,32%;137,72%;86,00%;30,94%;53,16%;15,93%;67,03%
M. Líquida;15,99%;21,64%;30,82%;65,52%;31,00%;5,40%;28,46%;-1,00%;22,64%
ROE;18,14%;25,97%;35,61%;-29,53%;47,56%;8,39%;43,54%;-0,75%;42,08%
ROA;0,93%;1,19%;1,60%;-0,76%;5,91%;0,51%;9,44%;-0,17%;8,81%
ROIC;2,92%;23,70%;21,72%;-36,93%;25,20%;3,82%;25,73%;2,19%;39,10%
Giro ativos;0,06;0,05;0,05;-0,01;0,19;0,09;0,33;0,17;0,39
CAGR Receitas 5 anos;48,84%;73,45%;-%;23,42%;16,35%;12,68%;-22,65%;-1,01%;63,90%
CAGR Lucros 5 anos;40,26%;-%;-%;35,48%;3,09%;38,04%;-%;15,13%;-%
