;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;-%;-%;-%;-%;-%;0,17%;0,93%;1,43%;21,73%
Div;;;;;;0.22;0.88;0.88;18.44
P/L;55.98;7.95;8.61;47.52;84.67;19.89;24.49;15.2;16.64
PEG Ratio;-0,64;-;-;-;-;-;-;-;-
P/VP;1,78;1,62;2,17;2,86;5,35;4,45;6,35;4,69;6,84
EV/EBITDA;15,14;7,34;11,64;15,25;24,74;12,60;14,00;9,27;12,89
EV/EBIT;45,92;11,15;18,25;24,97;42,97;17,20;21,85;13,56;18,00
P/EBITDA;11,11;4,97;9,84;12,74;24,24;12,17;12,04;7,52;11,58
P/EBIT;33,70;7,55;15,43;20,87;42,10;16,61;18,79;11,00;16,17
VPA;42,96;37,42;41,39;32,51;30,86;29,28;14,96;13,13;12,41
P/Ativo;0,70;0,61;1,02;1,15;2,48;2,01;1,80;1,30;1,85
LPA;1.37;7.6;10.43;1.96;1.95;6.55;3.88;4.05;5.1
P/SR;0,82;0,72;1,25;1,44;2,86;2,69;1,69;1,12;1,75
P/Cap. Giro;4,26;5,27;7,28;8,64;10,55;10,29;19,17;14,98;10,73
P/Ativo Circ. Liq.;-1,12;-0,91;-1,55;-1,79;-4,66;-3,50;-2,98;-2,11;-3,45
Dív. líquida/PL;0,65;0,77;0,40;0,56;0,11;0,16;1,03;1,09;0,77
Dív. líquida/EBITDA;4,03;2,37;1,80;2,51;0,50;0,43;1,96;1,75;1,31
Dív. líquida/EBIT;12,22;3,60;2,82;4,10;0,88;0,59;3,05;2,56;1,83
PL/Ativos;0,40;0,37;0,47;0,40;0,46;0,45;0,28;0,28;0,27
Passivos/Ativos;0,60;0,62;0,52;0,59;0,54;0,55;0,72;0,72;0,73
Liq. corrente;1,79;1,53;1,72;1,60;2,01;1,85;1,31;1,29;1,59
M. Bruta;4,77%;18,83%;17,15%;15,07%;15,60%;14,85%;18,43%;18,91%;20,29%
M. EBITDA;7,37%;14,50%;12,68%;11,32%;11,79%;22,13%;14,02%;14,95%;15,12%
M. EBIT;2,43%;9,55%;8,09%;6,91%;6,79%;16,21%;8,99%;10,22%;10,83%
M. Líquida;1,46%;9,07%;14,51%;3,04%;3,37%;13,54%;6,90%;7,39%;10,52%
ROE;3,18%;20,32%;25,19%;6,03%;6,31%;22,38%;25,92%;30,85%;41,07%
ROA;1,26%;7,62%;11,91%;2,43%;2,93%;10,10%;7,36%;8,55%;11,13%
ROIC;-0,46%;9,68%;-1,72%;7,11%;7,73%;17,23%;14,15%;15,70%;15,74%
Giro ativos;0,86;0,84;0,82;0,80;0,87;0,75;1,07;1,16;1,06
CAGR Receitas 5 anos;6,55%;6,79%;6,30%;4,94%;3,76%;-1,52%;-0,83%;-3,65%;-5,21%
CAGR Lucros 5 anos;12,54%;22,46%;-15,21%;-14,04%;4,47%;-6,03%;-2,52%;4,70%;1,88%
