;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;0,52%;2,36%;2,61%;2,48%;2,44%;2,46%;1,92%;2,14%;2,14%
Div;0.87;3.29;3.02;2.78;2.55;2.35;2.15;1.99;1.84
P/L;22.65;21.2;19.73;20.72;21.32;20.0;26.74;18.38;24.04
PEG Ratio;-;-;-;-;-;-;-;-;-
P/VP;2,00;1,82;1,61;1,70;1,79;1,77;2,38;2,32;2,44
EV/EBITDA;15,17;14,20;13,96;16,10;15,34;13,00;15,29;13,54;12,39
EV/EBIT;21,79;20,80;21,42;25,28;23,71;19,90;23,42;20,50;17,97
P/EBITDA;11,46;10,58;10,02;10,70;10,17;9,45;11,85;10,20;9,07
P/EBIT;16,46;15,50;15,38;16,80;15,72;14,47;18,15;15,44;13,16
VPA;83,83;76,60;72,07;65,80;58,39;53,88;47,03;39,91;35,14
P/Ativo;0,96;0,88;0,78;0,72;0,72;0,78;1,02;0,93;0,89
LPA;7.41;6.57;5.87;5.41;4.91;4.77;4.18;5.05;3.57
P/SR;5,77;5,31;4,09;3,82;4,16;4,26;4,71;3,56;3,45
P/Cap. Giro;-87,62;-300,51;-37,45;-28,91;-21,13;-38,66;-18,20;-7,72;-20,11
P/Ativo Circ. Liq.;-1,00;-0,92;-0,81;-0,84;-0,85;-0,81;-1,06;-0,97;-0,93
Dív. líquida/PL;0,65;0,62;0,63;0,86;0,91;0,66;0,69;0,76;0,89
Dív. líquida/EBITDA;3,71;3,62;3,94;5,40;5,17;3,54;3,44;3,34;3,32
Dív. líquida/EBIT;5,33;5,30;6,05;8,48;7,99;5,43;5,27;5,06;4,82
PL/Ativos;0,48;0,48;0,48;0,42;0,40;0,44;0,43;0,40;0,36
Passivos/Ativos;0,52;0,52;0,52;0,58;0,60;0,56;0,57;0,60;0,64
Liq. corrente;0,77;0,94;0,65;0,85;0,81;0,60;0,38;0,25;0,53
M. Bruta;77,33%;77,58%;66,03%;59,95%;69,69%;76,65%;70,40%;62,52%;66,46%
M. EBITDA;50,39%;50,17%;40,81%;35,69%;40,94%;45,11%;39,78%;34,88%;38,06%
M. EBIT;35,08%;34,25%;26,59%;22,72%;26,50%;29,47%;25,96%;23,04%;26,24%
M. Líquida;25,49%;25,04%;20,72%;18,43%;19,53%;21,32%;17,62%;19,36%;14,36%
ROE;8,84%;8,58%;8,15%;8,22%;8,42%;8,86%;8,89%;12,64%;10,17%
ROA;4,24%;4,14%;3,93%;3,49%;3,39%;3,92%;3,83%;5,08%;3,69%
ROIC;6,08%;6,16%;5,76%;4,99%;4,92%;6,06%;6,31%;8,43%;6,78%
Giro ativos;0,17;0,17;0,19;0,19;0,17;0,18;0,22;0,26;0,26
CAGR Receitas 5 anos;7,50%;6,53%;8,77%;6,78%;-0,73%;-10,10%;-4,27%;-4,29%;-10,55%
CAGR Lucros 5 anos;15,32%;7,99%;14,33%;13,71%;13,80%;12,08%;19,92%;12,84%;11,02%
