;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;4,78%;3,09%;3,53%;3,94%;2,52%;3,96%;2,90%;3,38%;3,18%
Div;8.7;6.8;6.61;6.36;6.37;6.35;6.08;5.88;5.68
P/L;22.06;28.92;28.63;19.88;35.15;27.01;37.18;24.62;28.02
PEG Ratio;1,62;-;-;-;-;-;-;-;-
P/VP;2,16;2,62;2,26;2,01;3,23;2,08;2,66;2,26;2,37
EV/EBITDA;26,91;17,88;17,08;13,53;21,23;16,74;21,51;16,69;18,95
EV/EBIT;100,76;29,98;29,87;21,95;34,93;28,65;36,45;25,92;29,58
P/EBITDA;20,20;14,26;13,29;10,08;17,43;12,58;17,20;12,93;14,62
P/EBIT;75,63;23,90;23,23;16,36;28,69;21,52;29,14;20,08;22,83
VPA;84,31;83,94;82,97;80,43;78,23;77,17;78,86;77,13;75,43
P/Ativo;1,17;1,49;1,29;1,10;1,77;1,16;1,53;1,31;1,33
LPA;8.25;7.61;6.54;8.12;7.19;5.94;5.64;7.07;6.37
P/SR;8,55;10,74;9,61;8,71;15,38;9,71;12,57;10,50;11,38
P/Cap. Giro;-;-;-;-;-;-;-;-;-
P/Ativo Circ. Liq.;-1,17;-1,49;-1,29;-1,10;-1,77;-1,16;-1,53;-1,31;-1,33
Dív. líquida/PL;0,72;0,67;0,65;0,69;0,70;0,69;0,67;0,66;0,70
Dív. líquida/EBITDA;6,71;3,63;3,80;3,44;3,79;4,16;4,31;3,76;4,33
Dív. líquida/EBIT;25,12;6,08;6,64;5,59;6,24;7,13;7,30;5,84;6,75
PL/Ativos;0,54;0,57;0,57;0,55;0,55;0,56;0,57;0,58;0,56
Passivos/Ativos;0,46;0,43;0,43;0,45;0,45;0,44;0,43;0,42;0,44
Liq. corrente;-;-;-;-;-;-;-;-;-
M. Bruta;24,58%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%
M. EBITDA;42,35%;75,32%;72,31%;86,42%;88,23%;77,21%;73,08%;81,25%;77,84%
M. EBIT;11,31%;44,93%;41,35%;53,26%;53,62%;45,13%;43,13%;52,31%;49,87%
M. Líquida;38,78%;37,13%;33,56%;43,83%;43,76%;35,96%;33,81%;42,66%;40,62%
ROE;9,79%;9,06%;7,88%;10,10%;9,19%;7,70%;7,15%;9,17%;8,44%
ROA;5,32%;5,15%;4,49%;5,56%;5,05%;4,31%;4,11%;5,30%;4,76%
ROIC;1,63%;6,49%;5,70%;6,93%;6,39%;5,61%;5,37%;6,70%;6,03%
Giro ativos;0,14;0,14;0,13;0,13;0,12;0,12;0,12;0,12;0,12
CAGR Receitas 5 anos;4,62%;3,91%;3,74%;2,33%;4,39%;6,65%;9,32%;16,62%;17,84%
CAGR Lucros 5 anos;7,36%;-0,63%;5,21%;-1,25%;2,14%;3,04%;22,45%;16,82%;19,85%
