;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;0,69%;0,94%;1,71%;3,02%;2,24%;3,05%;3,54%;3,11%;1,87%
Div;;2.18;1.91;1.69;14.9;13.36;11.18;7.91;4.8
P/L;;184.35;37.11;20.82;42.68;66.87;46.65;8.45;62.15
PEG Ratio;-;-;-;-;-;-;-;-;-
P/VP;23.796,31;-;21,78;10,29;11,01;7,46;5,04;3,88;5,18
EV/EBITDA;174,66;-;26,64;13,61;20,58;19,30;16,28;12,67;15,89
EV/EBIT;-;80,72;32,75;18,40;34,95;52,49;43,75;22,74;48,93
P/EBITDA;174,65;-;25,42;12,20;18,70;16,31;13,59;11,24;14,99
P/EBIT;-;80,72;31,26;16,49;31,76;44,36;36,50;20,17;46,15
VPA;0,01;-;5,12;5,43;60,46;58,70;62,70;65,45;49,55
P/Ativo;10.058,25;-;7,17;3,19;3,64;2,35;1,86;2,07;1,93
LPA;0.0;1.26;3.01;2.69;15.59;6.55;6.77;30.1;4.13
P/SR;28,09;21,07;14,59;7,04;10,01;7,45;5,56;4,97;5,96
P/Cap. Giro;1.045.385,02;-;38,88;20,40;26,66;32,24;41,65;15,30;7,91
P/Ativo Circ. Liq.;-11.624,44;-;-10,05;-4,27;-4,66;-2,78;-2,18;-2,52;-2,72
Dív. líquida/PL;0,75;-;1,04;1,19;1,10;1,37;1,00;0,50;0,31
Dív. líquida/EBITDA;0,01;-;1,22;1,41;1,88;2,99;2,70;1,43;0,90
Dív. líquida/EBIT;-;-;1,50;1,91;3,19;8,13;7,25;2,57;2,78
PL/Ativos;0,42;-;0,33;0,31;0,33;0,31;0,37;0,53;0,37
Passivos/Ativos;0,58;-;0,67;0,69;0,67;0,69;0,63;0,47;0,63
Liq. corrente;1,08;-;2,82;2,62;2,64;1,87;1,44;3,90;6,26
M. Bruta;66,84%;63,03%;68,93%;66,55%;61,36%;56,58%;55,24%;51,48%;48,25%
M. EBITDA;16,08%;-%;57,38%;57,69%;53,52%;45,71%;40,94%;44,21%;39,78%
M. EBIT;0,00%;26,10%;46,68%;42,68%;31,51%;16,80%;15,24%;24,63%;12,92%
M. Líquida;0,00%;11,43%;39,31%;33,80%;23,45%;11,15%;11,93%;58,80%;9,59%
ROE;0,00%;-%;58,70%;49,42%;25,79%;11,15%;10,81%;45,99%;8,34%
ROA;0,00%;-%;19,33%;15,32%;8,52%;3,51%;3,99%;24,46%;3,11%
ROIC;-%;-%;24,84%;21,27%;13,33%;5,45%;5,34%;-6,68%;5,93%
Giro ativos;358,04;-;0,49;0,45;0,36;0,31;0,33;0,42;0,32
CAGR Receitas 5 anos;17,94%;11,43%;13,49%;15,70%;28,48%;39,55%;52,59%;49,47%;41,48%
CAGR Lucros 5 anos;16,95%;2,81%;45,15%;-%;14,32%;59,27%;85,91%;25,94%;-%
