;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;0,48%;2,31%;1,57%;1,62%;1,23%;1,52%;1,73%;2,24%;1,53%
Div;0.88;4.32;3.17;2.93;2.66;2.36;2.27;2.01;1.76
P/L;20.34;21.18;32.35;19.32;24.17;23.28;35.98;16.66;35.88
PEG Ratio;6,35;-;-;-;-;-;-;-;-
P/VP;6,40;6,46;7,65;7,20;9,30;8,71;9,07;8,16;9,67
EV/EBITDA;29,40;12,84;17,36;12,78;-;14,53;25,00;11,99;13,80
EV/EBIT;64,27;16,59;23,72;16,21;19,38;18,21;38,76;15,53;17,58
P/EBITDA;23,92;10,80;14,63;10,64;-;12,75;21,66;9,81;12,17
P/EBIT;52,28;13,95;20,00;13,50;16,90;15,99;33,58;12,70;15,50
VPA;28,60;28,98;26,43;25,15;23,30;17,80;14,42;11,01;11,88
P/Ativo;1,60;1,78;1,98;1,84;2,24;2,13;1,99;1,50;1,97
LPA;9.0;8.83;6.25;9.37;8.96;6.66;3.64;5.39;3.2
P/SR;1,61;1,71;1,95;1,62;2,13;1,86;1,55;1,09;1,53
P/Cap. Giro;19,20;69,10;168,63;-821,72;95,82;26,40;125,85;25,62;38,00
P/Ativo Circ. Liq.;-2,65;-2,80;-3,01;-2,83;-3,42;-3,53;-3,47;-2,71;-3,49
Dív. líquida/PL;1,47;1,22;1,42;1,44;1,36;1,21;1,40;1,82;1,30
Dív. líquida/EBITDA;5,49;2,04;2,72;2,14;-;1,77;3,34;2,18;1,63
Dív. líquida/EBIT;11,99;2,64;3,72;2,71;2,48;2,22;5,18;2,83;2,08
PL/Ativos;0,25;0,28;0,26;0,26;0,24;0,24;0,22;0,18;0,20
Passivos/Ativos;0,75;0,72;0,74;0,74;0,76;0,76;0,78;0,82;0,80
Liq. corrente;1,26;1,08;1,04;0,99;1,07;1,25;1,04;1,15;1,13
M. Bruta;28,56%;28,90%;27,23%;26,60%;27,51%;27,59%;26,93%;26,76%;27,40%
M. EBITDA;6,74%;15,79%;13,30%;15,20%;-%;14,55%;7,13%;11,10%;12,57%
M. EBIT;3,09%;12,23%;9,73%;11,99%;12,59%;11,61%;4,60%;8,57%;9,87%
M. Líquida;7,93%;8,05%;6,01%;8,38%;8,80%;7,97%;4,29%;6,53%;4,26%
ROE;31,46%;30,48%;23,64%;37,26%;38,46%;37,44%;25,22%;48,94%;26,94%
ROA;7,84%;8,39%;6,13%;9,52%;9,28%;9,14%;5,53%;9,03%;5,49%
ROIC;0,13%;15,04%;11,58%;16,38%;17,20%;17,85%;8,54%;18,07%;13,12%
Giro ativos;0,99;1,04;1,02;1,14;1,05;1,15;1,29;1,38;1,29
CAGR Receitas 5 anos;4,37%;3,16%;6,45%;6,68%;3,16%;2,24%;3,12%;2,44%;0,81%
CAGR Lucros 5 anos;18,35%;1,48%;21,85%;18,21%;15,17%;4,37%;17,00%;5,52%;11,03%
