;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;0,22%;0,91%;1,24%;1,35%;1,05%;1,42%;1,29%;1,51%;1,32%
Div;0.82;2.7;2.32;1.99;1.72;1.72;1.61;1.44;1.31
P/L;24.44;20.57;16.17;14.61;15.45;31.05;15.07;11.77;31.37
PEG Ratio;3,72;-;-;-;-;-;-;-;-
P/VP;7,91;6,88;4,83;4,44;5,61;4,24;4,42;3,65;4,72
EV/EBITDA;39,28;9,80;6,22;5,84;7,73;6,38;6,59;4,74;5,30
EV/EBIT;59,42;10,86;7,04;6,71;8,87;8,19;7,35;5,36;6,10
P/EBITDA;49,90;12,16;9,57;8,82;9,43;13,92;8,84;7,36;8,55
P/EBIT;75,50;13,48;10,84;10,14;10,81;17,86;9,86;8,33;9,84
VPA;47,06;43,11;38,81;33,26;29,14;28,54;28,19;26,09;21,04
P/Ativo;0,86;0,77;0,52;0,48;0,66;0,51;0,51;0,43;0,48
LPA;15.24;14.43;11.58;10.11;10.59;3.89;8.26;8.1;3.17
P/SR;5,17;2,81;2,01;1,97;2,85;2,55;2,17;1,88;2,21
P/Cap. Giro;-;-;-;-;-;-;-;-;-
P/Ativo Circ. Liq.;-0,86;-0,77;-0,52;-0,48;-0,66;-0,51;-0,51;-0,43;-0,48
Dív. líquida/PL;-1,69;-1,34;-1,69;-1,50;-1,01;-2,29;-1,12;-1,30;-1,80
Dív. líquida/EBITDA;-10,63;-2,36;-3,36;-2,98;-1,69;-7,54;-2,25;-2,62;-3,26
Dív. líquida/EBIT;-16,08;-2,62;-3,80;-3,43;-1,94;-9,67;-2,51;-2,97;-3,75
PL/Ativos;0,11;0,11;0,11;0,11;0,12;0,12;0,12;0,12;0,10
Passivos/Ativos;0,89;0,89;0,89;0,89;0,88;0,88;0,88;0,88;0,90
Liq. corrente;-;-;-;-;-;-;-;-;-
M. Bruta;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
M. EBITDA;10,37%;23,08%;21,00%;22,38%;30,25%;18,32%;24,50%;25,58%;25,85%
M. EBIT;6,85%;20,82%;18,55%;19,45%;26,37%;14,28%;21,98%;22,59%;22,46%
M. Líquida;21,17%;13,65%;12,43%;13,51%;18,46%;8,21%;14,37%;15,99%;7,05%
ROE;32,38%;33,47%;29,85%;30,41%;36,34%;13,64%;29,30%;31,05%;15,05%
ROA;3,53%;3,73%;3,21%;3,29%;4,27%;1,64%;3,41%;3,67%;1,52%
ROIC;1,41%;40,10%;35,29%;33,58%;36,38%;17,26%;29,36%;33,78%;18,95%
Giro ativos;0,17;0,27;0,26;0,24;0,23;0,20;0,24;0,23;0,22
CAGR Receitas 5 anos;9,55%;9,25%;7,37%;3,29%;2,09%;5,55%;4,44%;2,91%;2,85%
CAGR Lucros 5 anos;8,43%;3,88%;22,28%;8,44%;-9,14%;2,97%;5,43%;-9,12%;1,96%
