;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;-%;-%;-%;-%;-%;-%;-%;-%;-%
Div;;;;;;;;;
P/L;22.53;20.18;17.68;19.05;19.93;15.57;17.38;15.8;15.19
PEG Ratio;-;-;-;-;-;-;-;-;-
P/VP;-16,49;-11,31;-10,28;-13,08;-24,07;-30,73;-16,40;-13,90;-13,62
EV/EBITDA;15,30;14,36;13,09;14,00;14,07;10,88;12,77;11,98;10,05
EV/EBIT;17,96;16,49;15,00;15,94;16,08;12,72;14,95;14,31;11,66
P/EBITDA;13,29;12,35;11,23;12,43;12,85;9,55;10,83;9,76;8,07
P/EBIT;15,59;14,18;12,87;14,15;14,69;11,16;12,68;11,67;9,35
VPA;-206,08;-283,01;-251,56;-188,58;-87,11;-38,58;-72,64;-60,32;-52,22
P/Ativo;2,91;3,13;2,80;3,03;2,98;1,87;2,84;2,26;2,10
LPA;150.79;158.65;146.22;129.47;105.18;76.14;68.55;53.07;46.83
P/SR;2,97;2,91;2,56;2,85;2,96;2,14;2,37;1,88;1,79
P/Cap. Giro;-47,79;-38,18;-25,81;-23,61;-45,32;51,02;-58,14;-53,79;-125,50
P/Ativo Circ. Liq.;-5,11;-5,44;-4,86;-5,35;-5,34;-3,54;-5,77;-4,49;-4,19
Dív. líquida/PL;-;-;-;-;-;-;-;-;-
Dív. líquida/EBITDA;2,01;2,01;1,86;1,57;1,22;1,33;1,94;2,21;1,99
Dív. líquida/EBIT;2,36;2,30;2,13;1,79;1,39;1,56;2,27;2,64;2,30
PL/Ativos;-0,18;-0,28;-0,27;-0,23;-0,12;-0,06;-0,17;-0,16;-0,15
Passivos/Ativos;1,18;1,28;1,27;1,23;1,12;1,06;1,17;1,16;1,15
Liq. corrente;0,88;0,84;0,80;0,77;0,87;1,08;0,91;0,92;0,97
M. Bruta;52,62%;53,09%;51,96%;52,13%;52,75%;53,60%;53,65%;53,24%;52,71%
M. EBITDA;22,37%;23,53%;22,80%;22,92%;23,00%;22,37%;21,87%;19,29%;22,15%
M. EBIT;19,06%;20,49%;19,90%;20,12%;20,13%;19,14%;18,68%;16,14%;19,10%
M. Líquida;13,19%;14,40%;14,48%;14,95%;14,84%;13,72%;13,63%;11,92%;11,76%
ROE;-73,17%;-56,06%;-58,13%;-68,65%;-120,74%;-197,38%;-94,36%;-87,98%;-89,67%
ROA;12,91%;15,50%;15,82%;15,91%;14,95%;12,01%;16,34%;14,31%;13,83%
ROIC;55,22%;72,85%;85,42%;101,47%;68,13%;41,73%;51,60%;43,38%;39,30%
Giro ativos;0,98;1,08;1,09;1,06;1,01;0,88;1,20;1,20;1,18
CAGR Receitas 5 anos;9,28%;9,24%;8,34%;6,58%;4,40%;4,60%;4,17%;4,82%;5,67%
CAGR Lucros 5 anos;10,48%;13,58%;13,66%;11,83%;8,35%;8,62%;5,64%;6,60%;7,89%
