;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;-%;-%;-%;-%;-%;0,96%;2,52%;2,12%;1,93%
Div;;;;;;2.06;8.21;;5.69
P/L;-16.78;-11.22;-71.5;-23.07;-28.22;-10.18;-288.26;17.51;20.77
PEG Ratio;-0,71;-;-;-;-;-;-;-;-
P/VP;-20,04;-33,93;-9,22;-7,17;-7,90;-6,60;-21,28;540,24;106,06
EV/EBITDA;-138,59;-20,94;84,33;-318,71;-774,97;-15,77;273,31;-;14,13
EV/EBIT;-58,62;-16,89;430,00;-62,42;-68,23;-12,89;-130,52;-;16,89
P/EBITDA;-117,08;-17,34;68,63;-236,17;-572,76;-12,00;249,78;12,90;14,04
P/EBIT;-49,53;-13,98;349,95;-46,26;-50,43;-9,81;-119,28;15,16;16,78
VPA;-10,85;-5,22;-28,27;-26,58;-25,47;-32,44;-15,31;-;2,78
P/Ativo;1,10;0,85;1,16;0,83;0,86;0,79;1,37;1,56;1,56
LPA;-12.96;-15.77;-3.65;-8.26;-7.14;-21.03;-1.13;;14.2
P/SR;2,05;1,99;2,04;1,71;1,90;2,08;2,39;1,81;1,87
P/Cap. Giro;8,79;4,29;11,81;5,85;4,44;3,52;37,29;29,35;16,65
P/Ativo Circ. Liq.;-5,93;-4,68;-5,73;-4,13;-3,97;-3,96;-5,84;-6,20;-6,47
Dív. líquida/PL;-;-;-;-;-;-;-;-;0,68
Dív. líquida/EBITDA;-21,51;-3,61;15,70;-82,53;-202,21;-3,77;23,53;-;0,09
Dív. líquida/EBIT;-9,10;-2,91;80,05;-16,16;-17,80;-3,08;-11,24;-;0,11
PL/Ativos;-0,05;-0,02;-0,13;-0,12;-0,11;-0,12;-0,06;-;0,01
Passivos/Ativos;1,05;1,02;1,13;1,12;1,11;1,12;1,06;-;0,99
Liq. corrente;1,18;1,32;1,14;1,22;1,33;1,39;1,05;-;1,14
M. Bruta;1,10%;-2,99%;9,93%;5,30%;4,84%;-9,78%;5,83%;-%;18,50%
M. EBITDA;-1,75%;-11,50%;2,98%;-0,72%;-0,33%;-17,32%;0,96%;-%;13,31%
M. EBIT;-4,13%;-14,26%;0,58%;-3,69%;-3,77%;-21,18%;-2,01%;-%;11,13%
M. Líquida;-12,20%;-17,77%;-2,86%;-7,41%;-6,75%;-20,42%;-0,83%;-%;9,00%
ROE;-119,39%;-302,38%;-12,89%;-31,07%;-28,02%;-64,82%;-7,38%;-%;510,75%
ROA;-6,57%;-7,56%;-1,62%;-3,60%;-3,03%;-7,80%;-0,48%;-%;7,53%
ROIC;-7,55%;-19,75%;0,62%;-6,06%;-7,18%;-32,82%;-16,91%;-%;69,04%
Giro ativos;0,54;0,43;0,57;0,49;0,45;0,38;0,57;-;0,84
CAGR Receitas 5 anos;-2,77%;-5,11%;-6,66%;-7,80%;-9,56%;-3,35%;3,14%;-%;6,35%
CAGR Lucros 5 anos;-%;-%;-%;-%;-%;-%;17,97%;-%;4,66%
