;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;0,88%;3,57%;3,00%;2,26%;1,26%;1,19%;1,02%;1,11%;0,94%
Div;0.17;1.04;1.16;1.15;1.08;0.96;0.85;0.73;0.6
P/L;-29.09;-22.96;7.39;-10.57;33.53;37.19;42.65;22.66;58.5
PEG Ratio;0,07;-;-;-;-;-;-;-;-
P/VP;1,37;2,14;2,34;4,41;4,74;4,72;5,42;4,47;3,86
EV/EBITDA;31,89;25,03;18,20;-46,43;22,57;19,32;24,43;15,07;18,55
EV/EBIT;-41,06;505,01;44,50;-18,02;34,61;30,46;42,95;22,07;30,59
P/EBITDA;17,88;14,20;11,79;-29,38;16,83;18,22;23,33;14,40;18,49
P/EBIT;-23,02;286,51;28,82;-11,40;25,80;28,74;41,01;21,07;30,49
VPA;14,09;13,63;16,55;11,56;18,10;17,01;15,44;14,74;16,75
P/Ativo;0,47;0,58;0,69;0,91;1,28;2,05;2,35;2,23;2,06
LPA;-0.66;-1.27;5.23;-4.82;2.56;2.16;1.96;2.91;1.1
P/SR;0,90;1,40;1,89;1,77;3,37;3,51;3,76;3,16;3,33
P/Cap. Giro;3,14;6,36;6,34;7,87;9,29;8,07;9,99;11,14;7,93
P/Ativo Circ. Liq.;-0,70;-0,88;-1,05;-1,27;-1,75;-3,53;-3,99;-3,59;-3,58
Dív. líquida/PL;1,07;1,63;1,27;2,56;1,62;0,28;0,26;0,21;0,01
Dív. líquida/EBITDA;14,01;10,83;6,41;-17,05;5,75;1,09;1,10;0,68;0,06
Dív. líquida/EBIT;-18,04;218,50;15,68;-6,62;8,81;1,73;1,94;0,99;0,10
PL/Ativos;0,34;0,27;0,30;0,21;0,27;0,43;0,43;0,50;0,53
Passivos/Ativos;0,66;0,73;0,70;0,79;0,73;0,57;0,57;0,50;0,47
Liq. corrente;1,84;1,36;1,48;1,69;2,09;2,52;2,32;2,12;2,57
M. Bruta;34,12%;37,46%;40,06%;34,92%;39,93%;39,30%;41,90%;42,88%;42,27%
M. EBITDA;5,03%;9,86%;16,07%;-6,03%;20,02%;19,27%;16,11%;21,92%;18,00%
M. EBIT;-3,91%;0,49%;6,57%;-15,55%;13,06%;12,22%;9,16%;14,97%;10,91%
M. Líquida;-3,09%;-6,10%;25,64%;-16,77%;10,04%;9,44%;8,81%;13,93%;5,69%
ROE;-4,71%;-9,32%;31,61%;-41,71%;14,15%;12,68%;12,70%;19,71%;6,60%
ROA;-1,62%;-2,52%;9,39%;-8,60%;3,83%;5,50%;5,50%;9,83%;3,52%
ROIC;-3,07%;0,07%;2,80%;-10,05%;5,56%;8,36%;7,56%;14,10%;5,25%
Giro ativos;0,52;0,41;0,37;0,51;0,38;0,58;0,62;0,71;0,62
CAGR Receitas 5 anos;-1,31%;-1,37%;-1,02%;4,70%;3,21%;1,17%;3,35%;-5,35%;-6,06%
CAGR Lucros 5 anos;-%;11,43%;-%;-23,70%;2,63%;-16,71%;-5,13%;-23,69%;17,42%
