;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;1,41%;4,38%;4,70%;4,39%;2,76%;2,20%;2,28%;3,40%;1,99%
Div;;;3.68;3.52;2.8;2.2;2.0;1.8;1.36
P/L;15.22;;11.88;7.23;13.59;16.77;15.52;14.25;16.3
PEG Ratio;-;-;-;-;-;-;-;-;-
P/VP;5,03;6,01;6,03;5,88;5,33;7,43;6,87;3,95;4,25
EV/EBITDA;-;-;5,90;4,09;-;8,82;8,27;4,72;6,87
EV/EBIT;-;11.466,75;8,87;5,26;8,45;12,38;11,62;6,47;9,25
P/EBITDA;-;-;6,15;4,53;-;9,16;8,51;5,64;7,87
P/EBIT;11.182,40;11.654,17;9,25;5,82;10,22;12,86;11,96;7,73;10,60
VPA;-;14,28;12,98;13,65;19,07;13,44;12,78;13,42;16,11
P/Ativo;0,95;1,23;1,07;1,01;1,28;1,66;1,76;1,09;1,44
LPA;;0.01;6.59;11.09;7.47;5.95;5.66;3.72;4.2
P/SR;339,82;422,16;0,36;0,34;0,52;0,59;0,53;0,34;0,51
P/Cap. Giro;67,85;-1.528,64;-95,26;-131,46;12,11;32,42;16,74;7,08;5,90
P/Ativo Circ. Liq.;-2,15;-2,59;-2,41;-2,55;-3,74;-3,84;-5,64;-4,43;-5,99
Dív. líquida/PL;-;-0,10;-0,25;-0,57;-0,92;-0,28;-0,20;-0,64;-0,54
Dív. líquida/EBITDA;-;-;-0,25;-0,44;-;-0,34;-0,24;-0,92;-1,01
Dív. líquida/EBIT;-;-187,42;-0,38;-0,56;-1,77;-0,48;-0,34;-1,26;-1,35
PL/Ativos;-;0,20;0,18;0,17;0,24;0,22;0,26;0,28;0,34
Passivos/Ativos;-;0,80;0,82;0,83;0,76;0,78;0,74;0,72;0,66
Liq. corrente;-;1,00;0,98;0,99;1,19;1,10;1,18;1,26;1,48
M. Bruta;-%;22,10%;21,41%;22,49%;22,37%;23,03%;23,23%;23,43%;23,96%
M. EBITDA;-%;-%;5,92%;7,57%;-%;6,46%;6,23%;5,99%;6,45%
M. EBIT;-%;3,62%;3,94%;5,89%;5,06%;4,60%;4,43%;4,37%;4,79%
M. Líquida;-%;2,86%;3,06%;4,74%;3,80%;3,53%;3,41%;2,37%;3,12%
ROE;-%;0,04%;50,77%;81,26%;39,20%;44,29%;44,28%;27,69%;26,08%
ROA;-%;0,01%;8,98%;14,02%;9,43%;9,88%;11,35%;7,66%;8,86%
ROIC;-%;-9,02%;36,59%;58,25%;31,03%;32,88%;31,82%;23,17%;21,06%
Giro ativos;-;0,00;2,93;2,96;2,48;2,80;3,32;3,23;2,84
CAGR Receitas 5 anos;-%;1,89%;5,61%;3,64%;1,58%;1,09%;1,96%;-2,82%;-4,49%
CAGR Lucros 5 anos;-%;7,25%;14,85%;14,92%;4,56%;22,44%;-%;-%;-6,82%
