;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;-%;-%;-%;-%;-%;-%;-%;-%;-%
Div;;;;;;;;;
P/L;16.12;13.65;32.29;13.09;22.66;9.42;9.09;13.68;26.53
PEG Ratio;-38,87;-;-;-;-;-;-;-;-
P/VP;1,42;1,33;2,53;2,98;3,24;3,52;4,01;4,65;5,35
EV/EBITDA;22,33;9,33;23,80;10,04;17,35;7,59;7,13;9,64;10,83
EV/EBIT;96,94;13,75;33,45;11,49;22,20;8,27;7,60;10,70;13,02
P/EBITDA;20,49;7,93;20,57;9,70;15,79;6,73;7,13;9,27;10,48
P/EBIT;88,96;11,69;28,91;11,10;20,21;7,33;7,60;10,30;12,60
VPA;124,11;114,71;102,14;93,04;74,12;69,54;73,92;64,68;59,57
P/Ativo;0,89;0,79;1,40;1,62;1,48;1,53;1,97;2,40;2,85
LPA;10.96;11.2;8.01;21.16;10.59;26.0;32.63;21.99;12.01
P/SR;2,58;2,30;3,81;3,92;3,21;2,80;3,72;4,51;5,49
P/Cap. Giro;4,59;11,56;10,95;6,12;9,91;11,98;15,22;13,95;14,95
P/Ativo Circ. Liq.;-1,28;-1,08;-1,88;-2,70;-2,20;-2,13;-2,84;-3,44;-4,27
Dív. líquida/PL;0,13;0,23;0,40;0,10;0,32;0,45;0,00;0,18;0,18
Dív. líquida/EBITDA;1,84;1,40;3,23;0,34;1,55;0,86;0,00;0,37;0,35
Dív. líquida/EBIT;7,97;2,06;4,54;0,39;1,99;0,94;0,00;0,41;0,42
PL/Ativos;0,62;0,60;0,55;0,55;0,46;0,43;0,49;0,52;0,53
Passivos/Ativos;0,38;0,40;0,45;0,45;0,54;0,57;0,51;0,48;0,47
Liq. corrente;2,72;1,35;2,00;2,99;1,83;1,84;1,72;2,32;2,34
M. Bruta;18,59%;76,12%;74,24%;77,61%;80,79%;86,57%;86,40%;86,50%;86,72%
M. EBITDA;12,57%;29,03%;18,54%;40,40%;20,33%;41,63%;52,21%;48,61%;52,36%
M. EBIT;2,90%;19,70%;13,18%;35,31%;15,89%;38,23%;48,98%;43,77%;43,55%
M. Líquida;15,98%;16,87%;11,81%;29,95%;14,17%;29,76%;40,96%;32,93%;20,69%
ROE;8,83%;9,76%;7,85%;22,74%;14,28%;37,39%;44,14%;34,00%;20,15%
ROA;5,51%;5,82%;4,33%;12,41%;6,52%;16,25%;21,62%;17,52%;10,73%
ROIC;-0,02%;7,09%;5,34%;15,04%;9,32%;22,88%;33,06%;23,53%;15,58%
Giro ativos;0,34;0,34;0,37;0,41;0,46;0,55;0,53;0,53;0,52
CAGR Receitas 5 anos;-7,62%;-6,07%;-3,68%;-0,83%;4,55%;8,18%;14,18%;17,34%;17,79%
CAGR Lucros 5 anos;-22,63%;-23,50%;3,71%;-15,92%;2,44%;14,94%;18,93%;12,97%;24,57%
