;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;0,71%;0,70%;-%;-%;-%;-%;-%;-%;-%
Div;38.3;34.78;;;;;;;
P/L;34.47;27.83;28.45;24.95;84.57;-7.37;18.03;20.28;26.44
PEG Ratio;216,97;-;-;-;-;-;-;-;-
P/VP;-36,71;-40,72;-44,47;27,43;15,95;59,46;5,60;5,83;6,76
EV/EBITDA;54,29;17,58;17,54;15,52;40,09;-8,61;10,38;11,30;11,20
EV/EBIT;84,18;19,11;19,37;17,71;54,64;-7,25;14,50;16,11;15,42
P/EBITDA;54,14;17,53;17,32;15,51;40,18;-7,39;9,47;10,24;10,44
P/EBIT;83,95;19,06;19,13;17,69;54,77;-6,22;13,23;14,61;14,37
VPA;-146,93;-122,01;-79,77;73,48;150,44;37,46;366,93;295,43;256,92
P/Ativo;6,05;5,91;5,01;3,01;4,17;1,27;1,33;1,32;1,58
LPA;156.48;178.53;124.69;80.76;28.37;-302.41;113.89;84.93;65.72
P/SR;6,68;6,90;5,71;4,46;8,99;5,34;1,83;1,80;2,06
P/Cap. Giro;31,97;33,79;32,94;10,42;14,28;61,76;-7,19;-6,52;-7,60
P/Ativo Circ. Liq.;-24,66;-22,68;-16,70;-7,98;-9,39;-1,67;-1,53;-1,48;-1,85
Dív. líquida/PL;-;-;-;0,03;-0,04;9,82;0,54;0,60;0,49
Dív. líquida/EBITDA;0,15;0,05;0,21;0,02;-0,09;-1,22;0,91;1,05;0,76
Dív. líquida/EBIT;0,24;0,05;0,24;0,02;-0,13;-1,03;1,27;1,50;1,05
PL/Ativos;-0,16;-0,15;-0,11;0,11;0,26;0,02;0,24;0,23;0,23
Passivos/Ativos;1,16;1,15;1,11;0,89;0,74;0,98;0,76;0,77;0,77
Liq. corrente;1,33;1,31;1,28;1,86;2,10;1,09;0,41;0,34;0,41
M. Bruta;21,01%;100,00%;100,00%;100,00%;100,00%;37,44%;57,60%;56,25%;58,93%
M. EBITDA;12,33%;39,34%;32,97%;28,79%;22,38%;-72,22%;19,32%;17,53%;19,73%
M. EBIT;7,95%;36,17%;29,85%;25,24%;16,42%;-85,74%;13,83%;12,29%;14,33%
M. Líquida;19,37%;24,78%;20,07%;17,89%;10,63%;-72,45%;10,14%;8,86%;7,79%
ROE;-106,50%;-146,32%;-156,30%;109,92%;18,86%;-807,37%;31,04%;28,75%;25,58%
ROA;17,54%;21,23%;17,62%;12,06%;4,93%;-17,20%;7,39%;6,53%;5,97%
ROIC;4,75%;57,06%;45,33%;22,59%;8,76%;-58,19%;19,11%;18,10%;16,86%
Giro ativos;0,91;0,86;0,88;0,67;0,46;0,24;0,73;0,74;0,77
CAGR Receitas 5 anos;-12,77%;-13,62%;-16,11%;-22,60%;13,13%;40,98%;45,59%;50,88%;55,38%
CAGR Lucros 5 anos;4,29%;1,74%;-0,93%;-22,60%;-%;14,50%;15,76%;17,69%;31,76%
