;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;-%;-%;-%;-%;-%;-%;-%;-%;-%
Div;;;;;;;;;
P/L;19.31;15.06;13.2;3.28;8.93;15.21;13.26;6.1;63.46
PEG Ratio;-0,58;-;-;-;-;-;-;-;-
P/VP;2,66;3,78;4,30;1,82;3,21;4,14;3,57;2,10;6,54
EV/EBITDA;17,62;9,15;8,56;2,79;6,23;-;8,50;5,94;10,90
EV/EBIT;51,34;12,40;10,78;3,16;7,66;10,97;10,76;7,60;14,69
P/EBITDA;12,94;7,51;7,43;2,11;5,24;-;5,93;2,65;6,41
P/EBIT;37,70;10,18;9,35;2,39;6,46;8,77;7,50;3,39;8,63
VPA;39,03;37,83;38,84;35,74;26,71;9,87;7,12;5,20;3,33
P/Ativo;1,00;1,53;1,94;0,85;1,44;1,14;0,91;0,43;0,82
LPA;5.37;9.49;12.64;19.8;9.6;2.68;1.92;1.79;0.34
P/SR;0,73;0,99;1,19;0,40;0,77;0,56;0,40;0,16;0,35
P/Cap. Giro;7,90;11,90;14,15;5,44;8,38;4,15;6,06;1,95;4,12
P/Ativo Circ. Liq.;-1,41;-2,18;-2,83;-1,27;-2,28;-2,44;-1,51;-0,80;-1,53
Dív. líquida/PL;0,96;0,83;0,66;0,59;0,60;1,04;1,55;2,60;4,59
Dív. líquida/EBITDA;4,68;1,64;1,14;0,68;0,98;-;2,57;3,29;4,49
Dív. líquida/EBIT;13,63;2,23;1,43;0,77;1,21;2,21;3,26;4,20;6,06
PL/Ativos;0,38;0,41;0,45;0,47;0,45;0,28;0,25;0,20;0,13
Passivos/Ativos;0,62;0,59;0,55;0,53;0,55;0,72;0,75;0,80;0,87
Liq. corrente;1,79;1,77;1,77;1,90;1,86;2,07;1,59;1,88;1,75
M. Bruta;30,97%;32,82%;35,17%;34,08%;29,41%;25,97%;27,15%;24,89%;24,56%
M. EBITDA;5,66%;13,19%;16,02%;18,80%;14,77%;-%;6,82%;6,10%;5,46%
M. EBIT;1,94%;9,73%;12,73%;16,59%;12,00%;6,35%;5,39%;4,78%;4,05%
M. Líquida;3,79%;6,57%;9,01%;12,10%;8,67%;3,66%;3,05%;2,66%;0,55%
ROE;13,76%;25,09%;32,55%;55,40%;35,93%;27,20%;26,89%;34,41%;10,31%
ROA;5,20%;10,19%;14,67%;25,95%;16,10%;7,51%;6,83%;7,00%;1,29%
ROIC;1,47%;16,07%;21,90%;37,09%;24,07%;16,18%;15,66%;14,53%;10,74%
Giro ativos;1,37;1,55;1,63;2,14;1,86;2,05;2,24;2,63;2,34
CAGR Receitas 5 anos;17,64%;17,22%;26,43%;25,59%;19,15%;35,33%;38,98%;45,72%;52,22%
CAGR Lucros 5 anos;37,19%;49,66%;134,49%;64,25%;-%;64,98%;-%;-%;-%
