;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;1,45%;1,99%;2,46%;2,75%;1,80%;2,01%;2,63%;3,08%;1,95%
Div;15.66;20.4;19.97;19.48;16.48;14.5;13.23;12.1;10.01
P/L;37.83;24.94;21.91;20.49;23.53;22.31;17.43;14.48;16.74
PEG Ratio;-6,52;-;-;-;-;-;-;-;-
P/VP;3,02;3,34;3,06;2,81;3,68;3,12;2,32;1,92;2,60
EV/EBITDA;-;15,87;13,97;15,23;15,58;15,33;15,71;14,35;18,21
EV/EBIT;75.467,78;16,83;14,77;16,20;16,35;16,15;16,86;14,93;19,05
P/EBITDA;-;16,97;15,31;15,34;15,79;15,53;13,10;10,98;15,09
P/EBIT;80.712,12;17,98;16,19;16,32;16,58;16,35;14,05;11,42;15,78
VPA;357,84;306,52;264,96;252,04;248,50;231,35;216,62;204,40;197,32
P/Ativo;1,03;1,15;0,98;0,90;0,91;0,62;0,46;0,39;0,38
LPA;28.54;41.1;37.05;34.58;38.9;32.34;28.85;27.13;30.68
P/SR;9,73;7,99;6,86;6,01;7,24;6,88;5,37;4,39;6,10
P/Cap. Giro;-;-;-;-;-;-;16,31;10,63;58,85
P/Ativo Circ. Liq.;-1,03;-1,15;-0,98;-0,90;-0,91;-0,62;-0,49;-0,41;-0,39
Dív. líquida/PL;-0,20;-0,22;-0,27;-0,02;-0,05;-0,04;0,46;0,59;0,54
Dív. líquida/EBITDA;-;-1,09;-1,34;-0,11;-0,21;-0,20;2,62;3,37;3,12
Dív. líquida/EBIT;-5.244,34;-1,16;-1,42;-0,12;-0,22;-0,21;2,81;3,51;3,26
PL/Ativos;0,34;0,34;0,32;0,32;0,25;0,20;0,20;0,20;0,14
Passivos/Ativos;0,62;0,65;0,67;0,67;0,75;0,79;0,80;0,80;0,86
Liq. corrente;-;-;-;-;-;-;2,48;2,79;1,17
M. Bruta;0,03%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%
M. EBITDA;-%;47,12%;44,82%;39,18%;45,87%;44,29%;40,97%;39,98%;40,40%
M. EBIT;0,01%;44,46%;42,39%;36,82%;43,71%;42,06%;38,18%;38,43%;38,63%
M. Líquida;25,72%;32,05%;31,32%;29,32%;30,78%;30,83%;30,79%;30,32%;36,41%
ROE;7,98%;13,41%;13,98%;13,72%;15,66%;13,98%;13,32%;13,27%;15,55%
ROA;2,72%;4,59%;4,47%;4,40%;3,87%;2,79%;2,65%;2,70%;2,25%
ROIC;-2,56%;11,79%;12,63%;11,73%;14,20%;12,91%;7,94%;7,54%;8,89%
Giro ativos;0,11;0,14;0,14;0,15;0,13;0,09;0,09;0,09;0,06
CAGR Receitas 5 anos;6,45%;4,35%;5,62%;9,35%;7,01%;5,58%;6,88%;7,81%;6,19%
CAGR Lucros 5 anos;7,31%;5,03%;0,90%;13,25%;8,08%;6,32%;7,98%;15,04%;6,27%
