;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;1,15%;4,24%;4,44%;3,00%;2,36%;3,69%;2,55%;3,08%;2,55%
Div;0.62;2.4;2.28;2.16;1.47;2.29;1.64;1.6;1.57
P/L;18.25;-12.83;12.92;23.6;19.19;-15.55;43.75;17.24;99.6
PEG Ratio;-0,03;-;-;-;-;-;-;-;-
P/VP;5,94;7,03;3,52;4,81;3,73;3,71;2,92;6,05;8,54
EV/EBITDA;28,04;125,76;7,21;9,97;8,62;49,88;27,05;12,63;17,14
EV/EBIT;815,50;-18,33;15,54;23,25;19,98;-25,47;36,55;13,98;19,77
P/EBITDA;21,66;93,99;5,70;8,30;7,15;39,95;22,39;12,85;16,94
P/EBIT;629,92;-13,70;12,29;19,36;16,58;-20,40;30,25;14,22;19,55
VPA;9,11;8,05;14,56;14,97;16,70;16,74;22,01;8,60;7,17
P/Ativo;1,14;1,24;1,09;1,54;1,23;1,18;1,16;2,43;2,99
LPA;2.97;-4.41;3.97;3.05;3.25;-3.99;1.47;3.01;0.62
P/SR;2,30;2,38;2,30;3,23;2,89;3,30;5,76;3,76;4,83
P/Cap. Giro;14,71;19,11;10,91;27,73;11,78;12,61;13,62;12,01;18,96
P/Ativo Circ. Liq.;-1,80;-1,83;-1,64;-2,15;-1,77;-1,59;-1,50;-4,91;-5,36
Dív. líquida/PL;1,75;2,37;0,93;0,97;0,77;0,92;0,61;-0,10;0,10
Dív. líquida/EBITDA;6,38;31,77;1,51;1,67;1,47;9,93;4,66;-0,21;0,19
Dív. líquida/EBIT;185,58;-4,63;3,26;3,90;3,41;-5,07;6,30;-0,24;0,22
PL/Ativos;0,19;0,18;0,31;0,32;0,33;0,32;0,40;0,40;0,35
Passivos/Ativos;0,81;0,82;0,69;0,68;0,67;0,68;0,60;0,60;0,65
Liq. corrente;1,27;1,25;1,43;1,25;1,52;1,58;1,60;1,66;1,55
M. Bruta;15,68%;71,08%;76,24%;78,04%;78,57%;72,31%;69,10%;71,34%;71,05%
M. EBITDA;10,59%;2,53%;40,44%;38,97%;40,50%;8,25%;25,71%;29,28%;28,49%
M. EBIT;0,36%;-17,35%;18,75%;16,71%;17,46%;-16,16%;19,03%;26,45%;24,70%
M. Líquida;12,57%;-18,53%;17,83%;13,71%;15,08%;-21,20%;13,15%;21,81%;4,85%
ROE;32,55%;-54,78%;27,27%;20,37%;19,46%;-23,84%;6,66%;35,07%;8,58%
ROA;6,23%;-9,66%;8,43%;6,53%;6,40%;-7,61%;2,65%;14,06%;3,00%
ROIC;-2,68%;-13,54%;11,62%;9,02%;8,71%;-10,16%;3,52%;23,14%;4,95%
Giro ativos;0,50;0,52;0,47;0,48;0,42;0,36;0,20;0,64;0,62
CAGR Receitas 5 anos;13,06%;14,81%;17,31%;19,01%;20,75%;10,49%;6,61%;3,35%;-1,77%
CAGR Lucros 5 anos;-%;10,28%;44,42%;9,43%;-%;11,41%;13,93%;-12,46%;3,79%
