;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;0,39%;1,49%;1,48%;2,04%;1,33%;1,46%;1,66%;1,77%;1,53%
Div;0.88;3.37;3.05;2.74;2.43;2.24;2.05;1.71;1.38
P/L;31.26;37.89;38.4;29.28;39.0;38.3;29.38;26.26;32.31
PEG Ratio;-;-;-;-;-;-;-;-;-
P/VP;9,88;12,20;10,81;8,23;11,80;13,15;12,56;10,27;10,52
EV/EBITDA;17,23;19,76;20,20;15,85;22,99;20,29;16,90;14,82;15,97
EV/EBIT;24,49;29,05;29,43;25,57;33,23;29,80;23,66;20,06;21,46
P/EBITDA;15,63;17,71;17,87;12,93;19,66;18,89;15,58;13,85;14,81
P/EBIT;22,21;26,05;26,03;20,86;28,42;27,75;21,82;18,74;19,89
VPA;22,75;18,53;19,04;16,31;15,49;11,65;9,83;9,37;8,61
P/Ativo;3,07;3,21;2,94;1,93;2,63;3,62;3,65;3,40;3,35
LPA;7.19;5.97;5.36;4.58;4.69;4.0;4.21;3.67;2.8
P/SR;3,81;4,07;4,00;2,77;4,28;3,91;3,25;2,60;2,55
P/Cap. Giro;-595,10;222,10;-24,09;1.052,47;-799,75;-1.362,53;59,09;52,56;43,14
P/Ativo Circ. Liq.;-3,90;-3,95;-3,54;-2,31;-3,11;-4,97;-4,99;-4,86;-4,89
Dív. líquida/PL;1,01;1,41;1,41;1,86;2,00;0,97;1,06;0,72;0,83
Dív. líquida/EBITDA;1,60;2,04;2,33;2,92;3,33;1,40;1,32;0,97;1,17
Dív. líquida/EBIT;2,28;3,00;3,40;4,71;4,81;2,05;1,84;1,32;1,57
PL/Ativos;0,31;0,26;0,27;0,23;0,22;0,28;0,29;0,33;0,32
Passivos/Ativos;0,69;0,74;0,73;0,77;0,78;0,72;0,71;0,67;0,68
Liq. corrente;0,98;1,08;0,58;1,01;0,98;0,99;1,30;1,28;1,33
M. Bruta;31,02%;29,72%;29,46%;27,89%;28,49%;27,91%;28,20%;26,85%;24,98%
M. EBITDA;24,38%;22,95%;22,36%;21,39%;21,75%;20,70%;20,84%;18,74%;17,21%
M. EBIT;17,15%;15,61%;15,35%;13,26%;15,05%;14,09%;14,88%;13,85%;12,81%
M. Líquida;12,19%;10,73%;10,40%;9,44%;10,96%;10,21%;11,05%;9,88%;7,89%
ROE;31,62%;32,20%;28,14%;28,09%;30,26%;34,35%;42,76%;39,10%;32,56%
ROA;9,82%;8,47%;7,66%;6,60%;6,74%;9,46%;12,42%;12,95%;10,38%
ROIC;16,29%;15,14%;13,55%;10,92%;10,58%;16,63%;20,17%;21,72%;17,54%
Giro ativos;0,81;0,79;0,74;0,70;0,62;0,93;1,12;1,31;1,32
CAGR Receitas 5 anos;8,33%;6,96%;6,62%;11,51%;10,95%;11,27%;12,24%;12,45%;5,98%
CAGR Lucros 5 anos;7,69%;8,06%;10,53%;12,23%;10,01%;12,89%;15,07%;21,47%;12,64%
