;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;-%;-%;-%;-%;-%;-%;-%;-%;-%
Div;;;;;;;;;
P/L;16.17;10.99;8.01;-29.72;7.38;12.63;6.78;124.99;10.88
PEG Ratio;-0,44;-;-;-;-;-;-;-;-
P/VP;1,56;1,51;1,37;1,43;1,31;1,21;1,29;1,43;1,39
EV/EBITDA;31,73;6,56;5,54;-43,97;4,98;-;2,54;380,81;11,51
EV/EBIT;32,85;6,65;5,85;-25,64;5,44;8,63;2,68;-55,30;14,97
P/EBITDA;41,38;8,35;5,84;-44,35;5,24;-;2,87;405,30;12,30
P/EBIT;42,84;8,46;6,16;-25,87;5,72;8,98;3,03;-58,86;16,00
VPA;323,62;301,00;259,58;216,21;228,41;191,35;175,83;143,21;142,65
P/Ativo;0,89;0,85;0,72;0,71;0,69;0,61;0,68;0,71;0,70
LPA;31.27;41.25;44.5;-10.39;40.52;18.36;33.4;1.63;18.21
P/SR;2,88;2,31;1,76;2,89;1,87;1,88;2,17;2,03;2,04
P/Cap. Giro;-;-;-;-;-;-;-3,01;-2,52;-2,47
P/Ativo Circ. Liq.;-0,89;-0,85;-0,72;-0,71;-0,69;-0,61;-0,79;-0,80;-0,78
Dív. líquida/PL;-0,36;-0,32;-0,07;-0,01;-0,06;-0,05;-0,15;-0,09;-0,09
Dív. líquida/EBITDA;-9,65;-1,79;-0,30;0,38;-0,26;-;-0,33;-24,48;-0,79
Dív. líquida/EBIT;-9,99;-1,81;-0,31;0,22;-0,28;-0,36;-0,35;3,56;-1,03
PL/Ativos;0,57;0,56;0,52;0,50;0,53;0,51;0,52;0,50;0,50
Passivos/Ativos;0,43;0,44;0,47;0,50;0,47;0,49;0,48;0,50;0,50
Liq. corrente;-;-;-;-;-;-;0,39;0,29;0,28
M. Bruta;21,89%;81,88%;82,59%;68,14%;80,67%;78,15%;76,18%;77,65%;73,40%
M. EBITDA;6,96%;27,60%;30,08%;-6,51%;35,69%;-%;75,47%;0,50%;16,57%
M. EBIT;6,72%;27,24%;28,49%;-11,17%;32,67%;20,88%;71,52%;-3,45%;12,74%
M. Líquida;17,82%;20,98%;21,90%;-9,72%;25,32%;14,85%;31,98%;1,62%;18,73%
ROE;9,66%;13,70%;17,14%;-4,81%;17,74%;9,59%;19,00%;1,14%;12,77%
ROA;5,50%;7,71%;8,99%;-2,40%;9,37%;4,87%;9,96%;0,57%;6,40%
ROIC;1,35%;12,24%;14,81%;-5,81%;15,31%;8,45%;37,61%;-2,51%;2,57%
Giro ativos;0,31;0,37;0,41;0,25;0,37;0,33;0,31;0,35;0,34
CAGR Receitas 5 anos;10,75%;12,13%;-0,49%;10,52%;6,30%;5,51%;6,35%;8,11%;8,41%
CAGR Lucros 5 anos;1,80%;88,71%;-%;30,12%;12,04%;32,59%;-27,06%;24,83%;18,61%
