;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;-%;0,53%;0,67%;0,74%;0,67%;0,73%;0,82%;1,11%;2,16%
Div;;0.54;0.48;0.42;0.47;0.35;0.32;0.31;0.55
P/L;27.67;29.38;23.24;24.02;33.82;28.0;27.91;22.62;17.95
PEG Ratio;-6,16;-;-;-;-;-;-;-;-
P/VP;2,21;4,54;3,63;3,50;4,73;3,58;3,32;2,60;2,78
EV/EBITDA;51,86;17,88;14,45;15,14;22,18;18,93;17,73;15,33;13,55
EV/EBIT;98,87;20,53;16,68;17,97;26,36;22,73;21,66;18,71;16,61
P/EBITDA;44,76;16,98;13,12;13,37;20,18;16,40;15,44;12,68;12,00
P/EBIT;85,34;19,50;15,15;15,86;23,98;19,69;18,87;15,48;14,70
VPA;36,28;22,45;19,60;16,27;14,86;13,23;11,89;10,62;9,26
P/Ativo;0,93;1,66;1,36;1,15;2,03;1,50;1,46;1,16;1,25
LPA;2.9;3.47;3.06;2.37;2.08;1.69;1.41;1.22;1.43
P/SR;5,00;6,07;4,75;4,52;6,51;5,15;4,65;3,87;3,81
P/Cap. Giro;-;-;-;-;-;-;-;-;-
P/Ativo Circ. Liq.;-0,93;-1,66;-1,36;-1,15;-2,03;-1,50;-1,46;-1,16;-1,25
Dív. líquida/PL;0,35;0,24;0,37;0,47;0,47;0,55;0,49;0,54;0,36
Dív. líquida/EBITDA;7,09;0,89;1,33;1,78;2,00;2,53;2,29;2,64;1,56
Dív. líquida/EBIT;13,53;1,03;1,54;2,11;2,38;3,04;2,80;3,23;1,91
PL/Ativos;0,42;0,36;0,37;0,33;0,43;0,42;0,44;0,45;0,45
Passivos/Ativos;0,58;0,64;0,63;0,67;0,57;0,58;0,56;0,55;0,55
Liq. corrente;-;-;-;-;-;-;-;-;-
M. Bruta;21,60%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%
M. EBITDA;11,17%;35,75%;36,22%;33,78%;32,24%;31,39%;30,11%;30,48%;31,79%
M. EBIT;5,86%;31,13%;31,38%;28,47%;27,13%;26,14%;24,65%;24,97%;25,94%
M. Líquida;18,07%;20,67%;20,46%;18,80%;19,24%;18,39%;16,66%;17,09%;21,24%
ROE;7,99%;15,47%;15,61%;14,58%;13,99%;12,80%;11,89%;11,47%;15,47%
ROA;3,37%;5,64%;5,85%;4,81%;5,99%;5,36%;5,23%;5,15%;6,95%
ROIC;0,02%;11,41%;10,67%;9,24%;8,53%;7,58%;7,74%;7,11%;10,04%
Giro ativos;0,19;0,27;0,29;0,26;0,31;0,29;0,31;0,30;0,33
CAGR Receitas 5 anos;14,97%;16,14%;13,69%;11,55%;9,49%;8,71%;8,12%;9,41%;11,75%
CAGR Lucros 5 anos;20,03%;20,40%;10,95%;17,92%;15,12%;14,59%;10,22%;17,46%;10,14%
