;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;0,93%;2,00%;2,54%;6,75%;2,76%;2,95%;3,43%;8,12%;7,25%
Div;1.44;3.45;3.32;5.0;3.57;1.92;1.92;2.43;2.32
P/L;44.32;47.74;71.35;31.53;16.17;43.02;18.25;12.99;14.38
PEG Ratio;-1,80;-;-;-;-;-;-;-;-
P/VP;14,30;16,14;14,56;7,20;10,05;6,76;5,34;-548,90;-
EV/EBITDA;68,42;18,79;27,98;13,16;6,69;-;8,57;4,74;3,98
EV/EBIT;69,89;18,89;28,31;13,39;6,73;15,44;8,72;4,81;4,02
P/EBITDA;70,07;19,10;28,94;14,33;6,85;-;9,15;5,36;4,85
P/EBIT;71,58;19,20;29,28;14,58;6,88;16,16;9,31;5,45;4,90
VPA;10,85;10,68;8,99;10,31;12,87;9,59;10,48;-0,05;0,00
P/Ativo;2,58;3,05;2,46;1,30;2,30;1,71;1,15;0,69;0,62
LPA;3.5;3.61;1.83;2.35;8.0;1.51;3.07;2.3;2.23
P/SR;9,19;10,37;13,07;6,72;4,23;7,58;5,24;3,00;3,05
P/Cap. Giro;-;-;-;-;-;-;-;-;-
P/Ativo Circ. Liq.;-2,58;-3,05;-2,46;-1,30;-2,30;-1,71;-1,15;-0,69;-0,62
Dív. líquida/PL;-0,34;-0,26;-0,48;-0,59;-0,23;-0,30;-0,34;-;-
Dív. líquida/EBITDA;-1,65;-0,31;-0,95;-1,17;-0,15;-;-0,58;-0,62;-0,87
Dív. líquida/EBIT;-1,69;-0,32;-0,97;-1,19;-0,16;-0,71;-0,59;-0,63;-0,88
PL/Ativos;0,18;0,19;0,17;0,18;0,23;0,25;0,22;0,00;0,00
Passivos/Ativos;0,79;0,79;0,80;0,78;0,77;0,74;0,78;0,77;0,80
Liq. corrente;-;-;-;-;-;-;-;-;-
M. Bruta;22,72%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%
M. EBITDA;13,12%;54,27%;45,18%;46,90%;61,81%;-%;57,28%;56,02%;62,79%
M. EBIT;12,84%;53,99%;44,65%;46,08%;61,48%;46,90%;56,28%;55,13%;62,12%
M. Líquida;20,74%;21,71%;18,32%;21,31%;26,17%;17,61%;28,71%;23,12%;21,18%
ROE;32,27%;33,81%;20,40%;22,83%;62,16%;15,71%;29,24%;-4.226,86%;-%
ROA;5,82%;6,39%;3,45%;4,11%;14,22%;3,98%;6,29%;5,33%;4,28%
ROIC;8,36%;71,62%;42,19%;43,18%;132,62%;36,08%;55,41%;1.845,48%;3.006,08%
Giro ativos;0,28;0,29;0,19;0,19;0,54;0,23;0,22;0,23;0,20
CAGR Receitas 5 anos;12,36%;2,62%;3,37%;34,98%;5,02%;-0,94%;0,17%;11,57%;8,95%
CAGR Lucros 5 anos;6,26%;-2,04%;3,50%;41,32%;8,05%;5,28%;5,65%;46,43%;-%
