;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;2,88%;5,27%;5,59%;5,80%;3,40%;4,15%;2,78%;3,11%;2,35%
Div;1.95;3.91;3.92;3.92;3.92;3.92;3.84;3.5;3.06
P/L;-53.74;824.12;57.9;12.48;36.34;17.07;41.71;30.37;44.4
PEG Ratio;0,35;-;-;-;-;-;-;-;-
P/VP;2,15;2,17;1,87;1,73;3,09;2,45;2,66;2,12;2,48
EV/EBITDA;22,56;13,78;13,21;10,73;17,24;11,83;19,19;17,80;19,55
EV/EBIT;94,99;25,19;23,12;16,04;28,99;17,11;31,97;30,37;32,85
P/EBITDA;9,07;6,00;5,67;4,67;10,14;6,62;12,53;11,15;13,15
P/EBIT;38,18;10,97;9,92;6,98;17,04;9,58;20,87;19,02;22,10
VPA;31,55;34,22;37,45;39,12;37,27;38,52;51,83;53,19;52,50
P/Ativo;0,41;0,45;0,42;0,44;0,81;0,64;1,00;0,86;1,04
LPA;-1.26;0.09;1.21;5.42;3.17;5.54;3.31;3.71;2.93
P/SR;3,11;3,45;3,36;3,41;6,24;5,32;7,20;6,40;7,71
P/Cap. Giro;-;-;-;-;-;-;14,48;12,47;19,22
P/Ativo Circ. Liq.;-0,41;-0,45;-0,42;-0,44;-0,81;-0,64;-1,10;-0,94;-1,12
Dív. líquida/PL;3,21;2,82;2,49;2,24;2,17;1,93;1,42;1,26;1,21
Dív. líquida/EBITDA;13,49;7,78;7,54;6,06;7,11;5,21;6,67;6,65;6,40
Dív. líquida/EBIT;56,82;14,23;13,20;9,06;11,95;7,53;11,10;11,35;10,75
PL/Ativos;0,19;0,21;0,23;0,25;0,26;0,26;0,38;0,41;0,42
Passivos/Ativos;0,81;0,79;0,77;0,75;0,74;0,74;0,62;0,59;0,58
Liq. corrente;-;-;-;-;-;-;4,15;4,81;3,51
M. Bruta;59,72%;61,20%;62,85%;63,47%;64,20%;62,75%;63,38%;62,72%;63,03%
M. EBITDA;34,30%;57,54%;59,36%;73,02%;61,58%;80,32%;57,48%;57,39%;58,63%
M. EBIT;8,15%;31,47%;33,92%;48,82%;36,62%;55,52%;34,51%;33,63%;34,90%
M. Líquida;-5,79%;0,42%;5,81%;27,31%;17,18%;31,18%;17,26%;21,06%;17,37%
ROE;-4,01%;0,26%;3,24%;13,84%;8,51%;14,38%;6,38%;6,97%;5,58%
ROA;-0,77%;0,05%;0,73%;3,51%;2,22%;3,77%;2,40%;2,83%;2,33%
ROIC;1,28%;4,87%;5,01%;7,36%;5,57%;7,96%;5,10%;4,75%;4,94%
Giro ativos;0,13;0,13;0,13;0,13;0,13;0,12;0,14;0,13;0,13
CAGR Receitas 5 anos;2,85%;3,80%;3,62%;2,52%;2,12%;4,31%;4,93%;7,09%;8,17%
CAGR Lucros 5 anos;-51,11%;-19,77%;13,44%;0,12%;8,79%;3,36%;-5,05%;9,31%;13,00%
