;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;-%;5,05%;4,75%;3,32%;3,44%;2,52%;2,49%;3,99%;2,19%
Div;;1.41;1.36;1.28;1.18;0.91;0.85;0.85;0.83
P/L;7.24;38.15;20.04;20.77;12.61;21.09;24.57;12.83;24.07
PEG Ratio;-;-;-;-;-;-;-;-;-
P/VP;0,93;1,57;1,57;2,10;1,92;2,25;2,26;2,82;3,86
EV/EBITDA;8,32;14,99;13,58;15,29;11,41;14,58;17,51;10,90;15,20
EV/EBIT;10,39;20,76;17,42;19,35;13,82;18,47;22,31;13,60;19,60
P/EBITDA;4,25;9,19;8,15;10,31;7,38;9,60;10,77;8,04;12,90
P/EBIT;5,30;12,73;10,45;13,05;8,95;12,16;13,72;10,04;16,64
VPA;18,67;17,68;18,28;18,44;17,83;16,12;15,17;7,57;9,77
P/Ativo;0,40;0,63;0,62;0,82;0,74;0,79;0,75;1,00;1,52
LPA;2.41;0.73;1.43;1.86;2.71;1.72;1.39;1.66;1.57
P/SR;0,72;1,10;1,12;1,60;1,46;1,60;1,75;1,31;1,97
P/Cap. Giro;-6,69;-143,51;-12,98;-38,02;-27,12;-44,12;28,19;-26,11;52,57
P/Ativo Circ. Liq.;-0,47;-0,75;-0,73;-0,95;-0,84;-0,91;-0,86;-1,23;-1,90
Dív. líquida/PL;0,90;0,99;1,05;1,01;1,04;1,17;1,41;1,00;0,69
Dív. líquida/EBITDA;4,07;5,80;5,44;4,97;4,02;4,98;6,75;2,86;2,30
Dív. líquida/EBIT;5,09;8,04;6,97;6,29;4,88;6,31;8,60;3,57;2,97
PL/Ativos;0,43;0,40;0,40;0,39;0,39;0,35;0,33;0,35;0,40
Passivos/Ativos;0,57;0,60;0,60;0,61;0,61;0,65;0,67;0,65;0,60
Liq. corrente;0,71;0,97;0,76;0,86;0,82;0,88;1,28;0,83;1,17
M. Bruta;25,86%;27,66%;26,59%;24,61%;28,42%;27,77%;27,81%;29,62%;29,95%
M. EBITDA;16,90%;11,96%;13,70%;15,51%;19,83%;16,70%;16,23%;16,26%;15,24%
M. EBIT;13,54%;8,64%;10,68%;12,25%;16,37%;13,18%;12,73%;13,02%;11,82%
M. Líquida;9,92%;2,88%;5,57%;7,70%;11,61%;7,60%;7,11%;10,18%;8,17%
ROE;12,90%;4,11%;7,82%;10,11%;15,19%;10,67%;9,19%;21,99%;16,02%
ROA;5,50%;1,66%;3,10%;3,96%;5,85%;3,77%;3,05%;7,78%;6,33%
ROIC;9,23%;4,61%;6,08%;6,32%;9,32%;7,13%;5,51%;11,46%;9,59%
Giro ativos;0,55;0,58;0,56;0,51;0,50;0,50;0,43;0,76;0,78
CAGR Receitas 5 anos;4,79%;9,11%;8,07%;5,24%;4,12%;-4,23%;-10,03%;-10,10%;-6,90%
CAGR Lucros 5 anos;-12,54%;-3,30%;6,80%;-%;-%;17,48%;0,92%;6,51%;-%
