;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;1,01%;1,49%;1,69%;1,93%;2,07%;2,26%;2,56%;2,58%;1,97%
Div;5.81;5.41;5.0;4.63;4.28;4.11;3.78;3.28;3.11
P/L;29.05;16.07;14.29;18.45;17.07;32.98;13.4;12.19;124.34
PEG Ratio;-2,21;-;-;-;-;-;-;-;-
P/VP;13,04;8,90;7,57;7,79;6,72;6,45;5,59;5,34;6,84
EV/EBITDA;54,48;12,78;11,37;13,46;12,62;-;10,27;9,43;16,07
EV/EBIT;90,57;14,76;13,17;16,71;16,03;28,10;13,48;12,60;26,09
P/EBITDA;48,38;10,81;9,40;10,84;10,03;-;7,55;6,82;12,52
P/EBIT;80,42;12,49;10,89;13,45;12,75;21,93;9,91;9,11;20,32
VPA;44,14;40,78;39,04;30,73;30,76;28,22;26,40;23,81;23,02
P/Ativo;2,87;1,98;1,69;1,51;1,34;1,26;1,04;0,95;1,22
LPA;19.81;22.58;20.7;12.99;12.11;5.52;11.02;10.42;1.27
P/SR;4,17;2,68;2,20;2,08;2,17;2,37;1,52;1,37;2,06
P/Cap. Giro;19,48;12,93;12,08;10,09;8,14;7,19;6,49;7,22;10,07
P/Ativo Circ. Liq.;-6,14;-4,12;-3,64;-3,24;-2,82;-2,54;-2,08;-1,88;-2,30
Dív. líquida/PL;1,65;1,62;1,59;1,89;1,73;1,81;2,01;2,04;1,94
Dív. líquida/EBITDA;6,10;1,97;1,97;2,63;2,58;-;2,72;2,61;3,55
Dív. líquida/EBIT;10,15;2,27;2,28;3,26;3,28;6,17;3,57;3,49;5,77
PL/Ativos;0,22;0,22;0,22;0,19;0,20;0,20;0,19;0,18;0,18
Passivos/Ativos;0,78;0,78;0,78;0,81;0,80;0,80;0,81;0,82;0,82
Liq. corrente;1,38;1,42;1,35;1,39;1,46;1,53;1,47;1,37;1,35
M. Bruta;8,59%;35,99%;34,69%;29,47%;29,43%;28,93%;30,51%;31,07%;29,82%
M. EBITDA;8,61%;24,75%;23,42%;19,21%;21,67%;-%;20,09%;20,09%;16,48%
M. EBIT;5,18%;21,42%;20,22%;15,47%;17,05%;10,80%;15,30%;15,03%;10,15%
M. Líquida;14,34%;16,65%;15,41%;11,28%;12,73%;7,18%;11,33%;11,23%;1,66%
ROE;44,89%;55,37%;53,02%;42,25%;39,37%;19,56%;41,77%;43,79%;5,50%
ROA;9,89%;12,30%;11,81%;8,18%;7,84%;3,83%;7,77%;7,83%;0,98%
ROIC;1,34%;19,44%;18,79%;13,48%;12,81%;6,67%;12,42%;12,90%;2,62%
Giro ativos;0,69;0,74;0,77;0,73;0,62;0,53;0,69;0,70;0,59
CAGR Receitas 5 anos;3,79%;4,15%;5,50%;5,75%;-2,35%;-0,51%;-0,34%;-7,15%;-8,52%
CAGR Lucros 5 anos;12,11%;10,95%;54,81%;-%;3,60%;19,97%;10,16%;-33,23%;-%
