;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;0,25%;1,21%;1,18%;1,56%;1,38%;1,68%;1,12%;1,19%;0,83%
Div;0.63;2.36;2.11;1.96;1.8;1.56;1.34;1.16;1.03
P/L;26.48;26.88;24.88;55.55;26.37;21.4;35.63;25.87;35.41
PEG Ratio;0,68;-;-;-;-;-;-;-;-
P/VP;8,04;-;-;4,04;3,86;2,98;3,96;3,37;4,52
EV/EBITDA;-;15,60;15,50;23,71;15,28;12,83;19,06;14,30;26,59
EV/EBIT;-;18,62;17,81;32,30;18,50;15,77;25,77;19,22;40,58
P/EBITDA;-;15,60;15,50;21,29;14,29;11,64;18,28;13,55;24,74
P/EBIT;-;18,62;17,81;28,99;17,31;14,31;24,72;18,21;37,77
VPA;31,48;-;-;31,05;33,80;31,21;30,32;29,04;27,59
P/Ativo;3,63;-;-;1,82;2,04;1,53;2,60;2,05;2,67
LPA;9.56;7.27;7.18;2.26;4.94;4.35;3.37;3.78;3.52
P/SR;-;5,00;4,99;3,48;3,98;2,92;5,32;3,94;6,30
P/Cap. Giro;75,27;-;-;37,83;38,42;39,42;40,73;124,35;139,49
P/Ativo Circ. Liq.;-4,90;-;-;-2,46;-2,63;-2,02;-2,95;-2,35;-2,91
Dív. líquida/PL;0,46;-;-;0,46;0,27;0,30;0,17;0,19;0,34
Dív. líquida/EBITDA;-;-;-;2,43;0,99;1,19;0,78;0,75;1,84
Dív. líquida/EBIT;-;-;-;3,30;1,20;1,46;1,06;1,01;2,82
PL/Ativos;0,45;-;-;0,45;0,53;0,51;0,66;0,61;0,59
Passivos/Ativos;0,55;-;-;0,55;0,47;0,49;0,34;0,39;0,41
Liq. corrente;1,23;-;-;1,23;1,31;1,19;2,16;1,15;1,30
M. Bruta;-%;50,61%;50,83%;43,85%;42,24%;36,60%;45,55%;43,95%;44,66%
M. EBITDA;-%;32,02%;32,22%;16,37%;27,84%;25,05%;29,11%;29,11%;25,47%
M. EBIT;-%;26,83%;28,03%;12,02%;22,99%;20,37%;21,52%;21,65%;16,68%
M. Líquida;-%;18,59%;20,07%;6,27%;15,09%;13,63%;14,93%;15,24%;17,80%
ROE;30,36%;-%;-%;7,27%;14,63%;13,94%;11,11%;13,02%;12,75%
ROA;13,70%;-%;-%;3,28%;7,74%;7,17%;7,29%;7,93%;7,53%
ROIC;-%;-%;-%;5,64%;11,66%;10,75%;9,63%;10,91%;7,03%
Giro ativos;0,00;-;-;0,52;0,51;0,53;0,49;0,52;0,42
CAGR Receitas 5 anos;10,40%;6,39%;12,17%;37,81%;38,86%;32,24%;37,08%;34,19%;6,71%
CAGR Lucros 5 anos;15,35%;12,41%;-10,01%;23,40%;18,06%;14,62%;19,41%;20,64%;6,25%
