;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;-%;0,10%;-%;-%;-%;-%;-%;-%;-%
Div;;0.13;;;;;;;
P/L;39.31;40.97;28.79;17.01;19.67;27.34;15.66;12.51;20.79
PEG Ratio;1,39;-;-;-;-;-;-;-;-
P/VP;5,66;4,71;3,43;3,05;4,24;2,90;3,22;2,69;3,52
EV/EBITDA;39,92;22,53;16,06;10,84;12,38;13,70;12,01;8,32;10,44
EV/EBIT;87,39;34,99;23,89;14,91;15,12;21,95;15,96;11,26;14,15
P/EBITDA;35,97;20,96;14,95;10,50;12,27;13,22;11,10;7,12;9,13
P/EBIT;78,75;32,56;22,23;14,44;14,99;21,19;14,75;9,64;12,37
VPA;28,68;27,85;27,11;25,25;25,62;21,60;19,03;14,87;12,30
P/Ativo;1,69;1,63;1,26;1,17;1,64;1,14;1,24;0,99;1,24
LPA;4.13;3.2;3.23;4.52;5.52;2.29;3.91;3.2;2.08
P/SR;1,23;1,11;0,89;0,78;1,30;0,86;0,84;0,62;0,78
P/Cap. Giro;33,97;58,06;19,95;83,40;21,71;12,08;18,28;13,98;15,79
P/Ativo Circ. Liq.;-3,02;-2,75;-2,20;-2,00;-3,01;-2,24;-2,32;-1,98;-2,38
Dív. líquida/PL;0,62;0,35;0,26;0,10;0,04;0,10;0,26;0,45;0,51
Dív. líquida/EBITDA;3,95;1,57;1,12;0,34;0,10;0,47;0,91;1,20;1,31
Dív. líquida/EBIT;8,64;2,44;1,66;0,47;0,13;0,75;1,21;1,62;1,78
PL/Ativos;0,30;0,34;0,37;0,38;0,39;0,39;0,38;0,37;0,35
Passivos/Ativos;0,69;0,66;0,63;0,62;0,61;0,59;0,62;0,63;0,65
Liq. corrente;1,13;1,07;1,17;1,03;1,20;1,24;1,17;1,16;1,19
M. Bruta;5,38%;19,45%;19,64%;21,37%;22,22%;20,06%;21,78%;22,92%;23,21%
M. EBITDA;3,41%;5,29%;5,94%;7,39%;10,61%;6,52%;7,57%;8,74%;8,53%
M. EBIT;1,56%;3,41%;4,00%;5,38%;8,68%;4,07%;5,70%;6,46%;6,29%
M. Líquida;3,12%;2,71%;3,09%;4,56%;6,62%;3,16%;5,37%;4,98%;3,74%
ROE;14,39%;11,51%;11,93%;17,92%;21,54%;10,62%;20,57%;21,53%;16,94%
ROA;4,30%;3,97%;4,37%;6,86%;8,32%;4,17%;7,92%;7,90%;5,95%
ROIC;1,90%;8,22%;8,73%;14,19%;16,19%;7,67%;14,39%;13,26%;10,02%
Giro ativos;1,38;1,47;1,42;1,50;1,26;1,32;1,48;1,59;1,59
CAGR Receitas 5 anos;8,40%;8,41%;10,60%;9,82%;17,02%;21,43%;24,32%;23,39%;24,08%
CAGR Lucros 5 anos;-5,47%;-1,50%;15,08%;26,23%;6,57%;21,49%;27,42%;17,18%;19,10%
