;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;-%;-%;-%;-%;-%;2,31%;3,93%;3,96%;2,41%
Div;;;;;;0.5;2.0;1.95;1.6
P/L;15.24;17.04;-316.54;-1.67;-2.41;-2.3;11.62;10.9;18.26
PEG Ratio;0,21;-;-;-;-;-;-;-;-
P/VP;3,38;3,53;3,40;1,44;1,88;1,15;1,37;1,41;1,96
EV/EBITDA;18,37;9,25;11,37;-19,10;-8,51;-5,76;8,43;8,07;11,97
EV/EBIT;93,91;16,05;25,74;-8,65;-5,93;-4,38;14,00;12,85;19,69
P/EBITDA;11,38;5,13;5,17;-5,01;-4,14;-3,31;6,40;6,34;10,10
P/EBIT;58,19;8,90;11,69;-2,27;-2,89;-2,51;10,64;10,11;16,61
VPA;9,09;7,06;5,45;5,61;10,69;18,92;37,10;35,06;33,78
P/Ativo;0,79;0,67;0,48;0,20;0,43;0,44;0,77;0,81;1,17
LPA;2.01;1.46;-0.06;-4.84;-8.36;-9.42;4.37;4.52;3.63
P/SR;1,54;1,30;1,08;0,83;11,98;4,21;1,67;1,82;2,72
P/Cap. Giro;-5,32;-3,96;-3,77;-3,26;-83,11;12,54;-4,92;-4,93;-6,61
P/Ativo Circ. Liq.;-0,86;-0,71;-0,53;-0,23;-0,53;-0,55;-0,81;-0,86;-1,21
Dív. líquida/PL;2,07;2,84;4,09;4,04;1,98;0,85;0,43;0,38;0,36
Dív. líquida/EBITDA;6,99;4,12;6,21;-14,09;-4,37;-2,45;2,02;1,72;1,87
Dív. líquida/EBIT;35,72;7,16;14,05;-6,38;-3,04;-1,86;3,36;2,75;3,07
PL/Ativos;0,23;0,19;0,14;0,14;0,23;0,38;0,56;0,58;0,59
Passivos/Ativos;0,77;0,81;0,86;0,86;0,77;0,62;0,44;0,42;0,41
Liq. corrente;0,34;0,29;0,46;0,71;0,97;1,22;0,23;0,24;0,18
M. Bruta;8,03%;37,50%;33,70%;3,38%;-143,97%;-47,36%;38,01%;41,27%;40,03%
M. EBITDA;13,49%;25,45%;21,00%;-16,64%;-289,10%;-127,20%;26,06%;28,70%;26,90%
M. EBIT;2,64%;14,67%;9,28%;-36,74%;-415,15%;-167,26%;15,68%;18,01%;16,36%
M. Líquida;10,07%;7,66%;-0,34%;-50,07%;-497,96%;-182,95%;14,36%;16,69%;14,88%
ROE;22,15%;20,71%;-1,08%;-86,24%;-78,24%;-49,80%;11,79%;12,90%;10,76%
ROA;5,20%;3,91%;-0,15%;-11,78%;-17,81%;-19,10%;6,64%;7,43%;6,39%
ROIC;1,76%;9,99%;5,32%;-10,78%;-17,50%;-19,73%;8,67%;9,63%;8,39%
Giro ativos;0,52;0,51;0,44;0,24;0,04;0,10;0,46;0,45;0,43
CAGR Receitas 5 anos;3,74%;2,72%;-7,02%;-34,96%;-18,66%;5,57%;4,08%;2,63%;0,74%
CAGR Lucros 5 anos;-8,52%;-%;-%;-%;-%;19,71%;24,47%;14,96%;7,77%
