;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;0,65%;2,34%;2,01%;1,76%;1,70%;3,10%;2,51%;2,76%;2,82%
Div;0.5;2.0;1.6;1.5;1.2;1.2;1.2;1.2;1.2
P/L;8.73;11.9;9.81;4.98;16.02;26.12;21.06;34.63;27.72
PEG Ratio;0,48;-;-;-;-;-;-;-;-
P/VP;2,48;2,91;2,62;3,30;4,58;2,83;3,58;3,39;2,77
EV/EBITDA;9,61;5,65;4,87;2,75;6,32;7,54;7,46;8,39;12,84
EV/EBIT;27,44;8,42;6,63;3,18;9,57;18,00;13,92;17,84;72,53
P/EBITDA;8,78;5,16;4,58;2,65;5,62;5,40;5,51;5,99;9,25
P/EBIT;25,07;7,70;6,24;3,06;8,51;12,90;10,29;12,74;52,23
VPA;31,09;29,34;30,38;25,82;15,44;13,66;13,32;12,82;15,34
P/Ativo;0,85;1,08;1,04;1,25;1,19;0,69;0,85;0,79;0,74
LPA;8.84;7.17;8.1;17.11;4.42;1.48;2.27;1.26;1.53
P/SR;1,79;2,44;2,26;1,49;2,25;2,01;2,26;2,27;2,40
P/Cap. Giro;7,21;8,52;6,65;6,22;12,65;17,96;33,59;17,65;11,21
P/Ativo Circ. Liq.;-1,07;-1,32;-1,32;-1,73;-1,50;-0,78;-0,93;-0,88;-0,83
Dív. líquida/PL;0,23;0,27;0,16;0,13;0,57;1,12;1,27;1,36;1,08
Dív. líquida/EBITDA;0,83;0,48;0,29;0,10;0,70;2,14;1,95;2,40;3,59
Dív. líquida/EBIT;2,37;0,72;0,39;0,12;1,06;5,11;3,64;5,10;20,30
PL/Ativos;0,34;0,37;0,40;0,38;0,26;0,24;0,24;0,23;0,27
Passivos/Ativos;0,66;0,63;0,60;0,62;0,74;0,76;0,76;0,77;0,73
Liq. corrente;2,27;3,08;3,81;3,69;1,81;1,51;1,46;1,81;2,53
M. Bruta;36,86%;34,64%;38,38%;52,40%;36,51%;19,42%;25,58%;20,70%;10,51%
M. EBITDA;20,35%;47,30%;49,27%;56,22%;40,00%;37,20%;41,05%;37,84%;25,98%
M. EBIT;7,13%;31,72%;36,16%;48,62%;26,41%;15,57%;21,98%;17,79%;4,60%
M. Líquida;20,47%;20,52%;23,00%;29,91%;14,03%;7,69%;10,74%;6,55%;8,67%
ROE;28,44%;24,43%;26,67%;66,24%;28,60%;10,85%;17,02%;9,80%;10,00%
ROA;9,71%;9,05%;10,61%;25,13%;7,41%;2,64%;4,05%;2,29%;2,66%
ROIC;1,34%;20,09%;22,89%;53,41%;21,65%;8,88%;12,88%;8,74%;-4,65%
Giro ativos;0,47;0,44;0,46;0,84;0,53;0,34;0,38;0,35;0,31
CAGR Receitas 5 anos;5,28%;8,41%;22,05%;12,15%;-0,87%;-0,65%;-4,15%;-7,52%;-9,58%
CAGR Lucros 5 anos;20,15%;36,00%;56,45%;-%;-14,07%;-18,89%;-25,95%;-27,63%;-%
