;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;-%;3,84%;5,07%;4,11%;3,30%;4,36%;3,35%;3,30%;1,52%
Div;;1.68;1.68;1.62;1.56;1.56;1.36;0.98;0.64
P/L;16.1;14.05;10.37;9.89;9.04;16.08;10.28;8.22;12.61
PEG Ratio;0,47;-;-;-;-;-;-;-;-
P/VP;0,98;0,79;0,64;0,82;0,85;0,67;0,80;0,67;1,02
EV/EBITDA;-25,51;-10,31;-10,06;-6,47;-4,65;-;-3,12;-4,43;-1,97
EV/EBIT;-44,03;-12,27;-11,75;-7,67;-5,57;-15,11;-3,86;-5,25;-2,40
P/EBITDA;21,64;6,19;4,65;5,36;5,28;-;5,34;4,47;7,64
P/EBIT;37,36;7,37;5,43;6,35;6,32;9,79;6,61;5,30;9,31
VPA;60,14;55,05;52,19;48,12;55,48;53,09;51,07;44,49;41,20
P/Ativo;0,11;0,09;0,07;0,09;0,11;0,08;0,11;0,09;0,14
LPA;3.65;3.11;3.2;3.98;5.23;2.22;3.95;3.62;3.33
P/SR;2,76;1,56;1,27;2,14;2,86;1,99;2,19;1,89;3,20
P/Cap. Giro;-;-;-;-;-;-;-;-;-
P/Ativo Circ. Liq.;-0,11;-0,09;-0,07;-0,09;-0,11;-0,08;-0,11;-0,09;-0,14
Dív. líquida/PL;-2,13;-2,12;-2,01;-1,81;-1,60;-1,71;-1,26;-1,33;-1,28
Dív. líquida/EBITDA;-47,15;-16,50;-14,71;-11,83;-9,92;-;-8,46;-8,89;-9,60
Dív. líquida/EBIT;-81,39;-19,64;-17,18;-14,02;-11,89;-24,90;-10,47;-10,55;-11,71
PL/Ativos;0,12;0,11;0,11;0,10;0,12;0,12;0,13;0,13;0,13
Passivos/Ativos;0,88;0,89;0,89;0,90;0,88;0,88;0,87;0,87;0,87
Liq. corrente;-;-;-;-;-;-;-;-;-
M. Bruta;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
M. EBITDA;12,77%;25,19%;27,29%;39,88%;54,12%;-%;40,96%;42,33%;41,91%
M. EBIT;7,40%;21,16%;23,37%;33,65%;45,18%;20,32%;33,11%;35,68%;34,37%
M. Líquida;17,16%;11,10%;12,23%;21,61%;31,58%;12,38%;21,30%;23,01%;25,38%
ROE;6,06%;5,66%;6,13%;8,27%;9,42%;4,19%;7,74%;8,13%;8,08%
ROA;0,70%;0,63%;0,67%;0,86%;1,17%;0,52%;1,04%;1,05%;1,08%
ROIC;0,82%;8,78%;9,19%;9,65%;10,54%;5,72%;9,79%;9,64%;8,42%
Giro ativos;0,04;0,06;0,05;0,04;0,04;0,04;0,05;0,05;0,04
CAGR Receitas 5 anos;8,91%;10,63%;7,04%;3,92%;7,79%;8,59%;7,46%;3,20%;-0,52%
CAGR Lucros 5 anos;-3,37%;-1,35%;4,64%;17,28%;4,88%;15,67%;-%;20,77%;15,61%
