;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;1,64%;2,03%;1,64%;1,35%;1,74%;0,02%;0,02%;0,02%;0,02%
Div;4.53;5.61;4.91;4.47;3.99;0.04;0.04;0.04;0.04
P/L;12.01;22.02;16.96;14.76;13.82;8.89;14.96;27.42;22.38
PEG Ratio;0,12;-;-;-;-;-;-;-;-
P/VP;1,77;1,84;1,90;2,22;1,57;1,49;1,68;1,76;3,65
EV/EBITDA;19,92;10,48;10,98;9,81;9,33;6,39;-;-;-
EV/EBIT;42,59;14,82;15,77;12,80;12,74;7,85;12,83;25,96;13,27
P/EBITDA;14,56;7,98;8,76;7,88;6,80;4,98;-;-;-
P/EBIT;31,14;11,28;12,59;10,28;9,28;6,11;9,45;17,38;12,70
VPA;156,50;149,87;158,03;149,58;145,88;139,29;121,43;107,77;55,61
P/Ativo;0,47;0,49;0,57;0,69;0,48;0,48;0,49;0,47;0,81
LPA;23.01;12.54;17.65;22.45;16.61;23.41;13.67;6.93;9.07
P/SR;0,28;0,31;0,45;0,55;0,43;0,47;0,50;1,49;1,20
P/Cap. Giro;-;-;-;-;-;-;-5,92;-6,00;-2,55
P/Ativo Circ. Liq.;-0,47;-0,49;-0,57;-0,69;-0,48;-0,48;-0,56;-0,54;-1,00
Dív. líquida/PL;0,65;0,58;0,48;0,54;0,59;0,43;0,60;0,87;0,16
Dív. líquida/EBITDA;5,35;2,51;2,22;1,93;2,54;1,42;-;-;-
Dív. líquida/EBIT;11,44;3,54;3,19;2,52;3,46;1,74;3,38;8,57;0,56
PL/Ativos;0,26;0,26;0,30;0,31;0,30;0,32;0,29;0,27;0,22
Passivos/Ativos;0,74;0,74;0,70;0,69;0,70;0,68;0,71;0,73;0,78
Liq. corrente;-;-;-;-;-;-;0,61;0,62;0,38
M. Bruta;20,70%;84,36%;81,42%;82,17%;80,72%;79,61%;79,93%;43,42%;39,57%
M. EBITDA;1,89%;3,84%;5,12%;6,96%;6,27%;9,42%;-%;-%;-%
M. EBIT;0,88%;2,71%;3,56%;5,33%;4,59%;7,67%;5,26%;8,55%;9,43%
M. Líquida;2,29%;1,39%;2,64%;3,71%;3,08%;5,27%;3,32%;5,42%;5,35%
ROE;14,70%;8,37%;11,17%;15,01%;11,39%;16,81%;11,26%;6,43%;16,32%
ROA;3,89%;2,20%;3,38%;4,66%;3,46%;5,44%;3,28%;1,72%;3,62%
ROIC;1,25%;7,14%;8,84%;10,57%;8,20%;11,93%;8,58%;4,00%;13,58%
Giro ativos;1,70;1,59;1,28;1,25;1,12;1,03;0,99;0,32;0,68
CAGR Receitas 5 anos;9,98%;32,04%;33,99%;34,30%;33,47%;34,48%;8,48%;7,50%;12,75%
CAGR Lucros 5 anos;-7,62%;14,39%;24,55%;23,51%;32,21%;19,41%;12,31%;6,63%;8,18%
