;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;2,12%;2,25%;2,90%;2,70%;2,21%;2,75%;2,13%;2,74%;3,33%
Div;3.49;3.23;3.0;2.76;2.52;2.4;2.24;2.12;2.5
P/L;12.09;9.8;8.81;-33.03;6.2;10.63;7.1;5.95;5.84
PEG Ratio;-0,39;-;-;-;-;-;-;-;-
P/VP;1,67;1,61;1,34;1,52;1,39;0,61;0,81;0,78;0,76
EV/EBITDA;39,40;7,25;6,64;-30,57;4,72;-21,54;-5,59;-6,33;-5,75
EV/EBIT;50,69;7,58;6,96;-24,51;4,84;-26,22;-6,29;-7,03;-6,33
P/EBITDA;40,54;7,39;6,65;-31,29;4,79;5,10;4,05;3,47;3,29
P/EBIT;52,16;7,72;6,97;-25,09;4,91;6,21;4,56;3,85;3,63
VPA;98,74;89,15;77,06;67,23;81,75;143,64;129,78;99,85;98,74
P/Ativo;0,63;0,62;0,50;0,54;0,58;0,07;0,10;0,09;0,09
LPA;13.6;14.66;11.74;-3.1;18.38;8.22;14.81;13.01;12.83
P/SR;2,12;1,98;1,62;2,45;1,90;1,67;1,75;1,58;1,59
P/Cap. Giro;-;-;-;-;-;-;-;-;-
P/Ativo Circ. Liq.;-0,63;-0,62;-0,50;-0,54;-0,58;-0,07;-0,10;-0,09;-0,09
Dív. líquida/PL;-0,05;-0,03;0,00;-0,04;-0,02;-3,18;-1,93;-2,19;-2,09
Dív. líquida/EBITDA;-1,15;-0,13;-0,01;0,73;-0,06;-26,64;-9,64;-9,81;-9,05
Dív. líquida/EBIT;-1,48;-0,14;-0,01;0,58;-0,07;-32,43;-10,85;-10,89;-9,96
PL/Ativos;0,38;0,38;0,37;0,36;0,42;0,11;0,13;0,11;0,11
Passivos/Ativos;0,62;0,62;0,63;0,64;0,58;0,89;0,87;0,89;0,89
Liq. corrente;-;-;-;-;-;-;-;-;-
M. Bruta;4,18%;25,96%;23,52%;-9,42%;38,87%;0,00%;0,00%;0,00%;0,00%
M. EBITDA;5,24%;26,82%;24,39%;-7,83%;39,63%;32,81%;43,30%;45,53%;48,41%
M. EBIT;4,07%;25,68%;23,27%;-9,77%;38,66%;26,96%;38,48%;41,01%;43,99%
M. Líquida;17,57%;20,22%;18,41%;-7,42%;30,59%;15,75%;24,71%;26,56%;27,29%
ROE;13,77%;16,45%;15,23%;-4,61%;22,48%;5,72%;11,41%;13,03%;12,99%
ROA;5,23%;6,28%;5,62%;-1,64%;9,39%;0,65%;1,43%;1,45%;1,48%
ROIC;-0,03%;15,83%;14,62%;-7,40%;21,42%;7,70%;13,69%;14,39%;12,72%
Giro ativos;0,30;0,31;0,31;0,22;0,31;0,04;0,06;0,05;0,05
CAGR Receitas 5 anos;2,98%;4,66%;-3,18%;6,93%;10,32%;14,64%;11,97%;13,41%;12,62%
CAGR Lucros 5 anos;-1,82%;-3,42%;-%;13,75%;17,62%;36,76%;33,51%;38,94%;56,65%
