;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;-%;2,18%;2,40%;2,36%;2,10%;2,05%;2,48%;2,79%;2,11%
Div;;;1.91;1.86;1.79;1.75;;1.66;1.59
P/L;22.02;25.57;28.47;36.65;33.11;27.2;24.93;21.51;32.73
PEG Ratio;16,63;-;-;-;-;-;-;-;-
P/VP;74,79;348,45;107,51;163,12;117,78;98,65;504,26;-506,11;-1.104,22
EV/EBITDA;42,76;-;17,21;22,90;21,45;19,11;-;14,41;17,99
EV/EBIT;67,19;-;19,86;27,60;25,31;21,94;-;16,53;20,45
P/EBITDA;38,47;15,22;15,42;20,41;19,69;17,51;15,44;12,99;16,72
P/EBIT;60,45;17,39;17,80;24,59;23,24;20,10;17,87;14,90;19,00
VPA;1,06;-;0,74;0,48;0,72;0,87;-;-0,12;-0,07
P/Ativo;3,66;4,60;3,99;4,16;4,77;4,60;3,92;4,25;5,23
LPA;3.61;;2.8;2.15;2.58;3.14;;2.77;2.3
P/SR;3,19;3,68;3,37;3,64;4,12;4,45;3,76;3,32;4,29
P/Cap. Giro;-140,08;-167,13;121,70;58,98;207,30;-1.110,55;418,43;114,21;53,82
P/Ativo Circ. Liq.;-5,58;-6,89;-5,89;-6,16;-6,74;-6,33;-5,44;-6,17;-8,24
Dív. líquida/PL;8,34;-;12,45;19,93;10,53;9,03;-;-;-
Dív. líquida/EBITDA;4,29;-;1,79;2,49;1,76;1,60;-;1,42;1,27
Dív. líquida/EBIT;6,74;-;2,06;3,00;2,08;1,84;-;1,63;1,45
PL/Ativos;0,05;-;0,04;0,03;0,04;0,05;-;-0,01;0,00
Passivos/Ativos;0,95;-;0,96;0,97;0,96;0,95;-;1,01;1,00
Liq. corrente;0,93;-;1,11;1,28;1,09;0,99;-;1,14;1,36
M. Bruta;60,14%;-%;58,21%;57,04%;59,55%;60,82%;-%;59,39%;60,05%
M. EBITDA;8,28%;-%;21,82%;17,84%;20,91%;25,41%;-%;25,57%;25,64%
M. EBIT;5,27%;-%;18,91%;14,80%;17,72%;22,14%;-%;22,29%;22,56%
M. Líquida;14,46%;-%;11,82%;9,93%;12,43%;16,36%;-%;15,44%;13,10%
ROE;339,60%;-%;377,67%;445,14%;355,67%;362,72%;-%;-2.352,94%;-3.373,33%
ROA;16,60%;-%;14,03%;11,35%;14,40%;16,93%;-%;19,74%;15,97%
ROIC;1,70%;-%;29,94%;21,46%;29,77%;34,28%;-%;40,84%;33,36%
Giro ativos;1,15;-;1,19;1,14;1,16;1,03;-;1,28;1,22
CAGR Receitas 5 anos;5,08%;-%;3,06%;2,77%;0,54%;-1,90%;-%;-1,99%;-1,91%
CAGR Lucros 5 anos;4,07%;-%;-2,48%;-2,36%;14,26%;1,66%;-%;-3,92%;0,08%
