;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;1,82%;4,48%;4,58%;5,05%;3,00%;3,24%;2,74%;2,42%;4,20%
Div;5.0;10.4;9.65;8.49;6.85;5.89;5.5;4.55;6.13
P/L;26.64;23.99;23.75;22.71;31.3;31.04;33.99;34.3;12.19
PEG Ratio;-0,41;-;-;-;-;-;-;-;-
P/VP;3,51;3,15;2,83;2,25;2,99;2,48;2,75;2,60;2,21
EV/EBITDA;68,05;16,68;16,33;15,21;21,02;20,03;22,19;22,09;17,48
EV/EBIT;87,91;17,87;17,66;16,72;23,31;23,25;25,85;23,96;18,86
P/EBITDA;67,39;16,57;16,22;15,03;20,87;19,49;21,53;21,14;17,37
P/EBIT;87,05;17,76;17,54;16,52;23,14;22,63;25,08;22,93;18,74
VPA;78,18;73,66;74,43;74,89;76,41;73,32;72,91;72,44;66,09
P/Ativo;0,53;0,61;0,58;0,35;0,42;0,52;0,96;0,87;0,65
LPA;10.31;9.68;8.87;7.4;7.3;5.86;5.91;5.48;11.98
P/SR;15,58;13,99;13,96;12,43;18,11;13,85;15,34;16,21;14,04
P/Cap. Giro;-;-;-;-;-;-;-;-;-
P/Ativo Circ. Liq.;-0,53;-0,61;-0,58;-0,35;-0,42;-0,52;-0,96;-0,87;-0,65
Dív. líquida/PL;0,03;0,02;0,02;0,03;0,02;0,07;0,08;0,12;0,01
Dív. líquida/EBITDA;0,66;0,11;0,11;0,18;0,16;0,54;0,66;0,95;0,12
Dív. líquida/EBIT;0,86;0,11;0,12;0,20;0,17;0,63;0,76;1,03;0,12
PL/Ativos;0,15;0,19;0,21;0,15;0,14;0,21;0,35;0,33;0,30
Passivos/Ativos;0,85;0,81;0,79;0,85;0,86;0,79;0,65;0,67;0,70
Liq. corrente;-;-;-;-;-;-;-;-;-
M. Bruta;23,36%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%
M. EBITDA;23,11%;84,42%;86,09%;82,68%;86,80%;71,07%;71,23%;76,70%;80,84%
M. EBIT;17,89%;78,78%;79,58%;75,22%;78,28%;61,23%;61,14%;70,71%;74,93%
M. Líquida;58,47%;58,32%;58,78%;54,71%;57,86%;44,63%;45,13%;47,26%;115,19%
ROE;13,18%;13,14%;11,91%;9,89%;9,55%;8,00%;8,10%;7,57%;18,13%
ROA;1,99%;2,53%;2,46%;1,53%;1,33%;1,69%;2,81%;2,53%;5,36%
ROIC;0,17%;12,32%;11,22%;9,41%;9,09%;7,64%;7,68%;7,00%;4,49%
Giro ativos;0,03;0,04;0,04;0,03;0,02;0,04;0,06;0,05;0,05
CAGR Receitas 5 anos;4,94%;5,47%;6,60%;5,43%;7,23%;8,55%;7,17%;3,89%;1,14%
CAGR Lucros 5 anos;10,75%;10,46%;-7,91%;11,44%;11,04%;13,43%;14,97%;35,30%;-3,28%
