;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;-%;-%;-%;-%;-%;-%;-%;-%;-%
Div;;;;;;;;;
P/L;31.98;53.41;51.05;;75.18;109.06;66.45;67.96;46.3
PEG Ratio;9,10;-;-;-;-;-;-;-;-
P/VP;15,25;22,41;20,48;809,37;21,37;19,21;13,82;8,32;5,98
EV/EBITDA;60,27;34,33;31,66;1.304,66;44,98;-;26,81;24,07;17,43
EV/EBIT;108,67;40,05;37,91;1.621,38;59,08;128,83;48,85;42,18;27,75
P/EBITDA;62,07;34,94;32,33;1.305,27;45,99;-;27,86;25,51;18,58
P/EBIT;111,90;40,76;38,71;1.622,14;60,40;132,07;50,77;44,70;29,59
VPA;2,44;2,69;2,23;1,71;81,82;72,20;60,55;51,87;48,33
P/Ativo;5,29;8,90;7,80;276,67;7,38;6,49;4,56;5,30;3,99
LPA;1.16;1.13;0.9;0.65;23.25;12.71;12.6;6.35;6.24
P/SR;4,17;7,24;6,35;221,97;6,50;6,48;4,17;2,47;1,82
P/Cap. Giro;78,78;133,92;106,29;7.546,98;96,66;64,88;57,36;32,89;26,70
P/Ativo Circ. Liq.;-6,54;-11,04;-9,76;-333,23;-9,31;-8,50;-5,77;-8,27;-5,76
Dív. líquida/PL;-0,44;-0,39;-0,42;-0,38;-0,47;-0,47;-0,52;-0,47;-0,37
Dív. líquida/EBITDA;-1,80;-0,61;-0,67;-0,61;-1,01;-;-1,05;-1,44;-1,16
Dív. líquida/EBIT;-3,24;-0,71;-0,80;-0,76;-1,32;-3,24;-1,92;-2,52;-1,85
PL/Ativos;0,35;0,40;0,38;0,34;0,35;0,34;0,33;0,64;0,67
Passivos/Ativos;0,65;0,60;0,62;0,66;0,65;0,66;0,67;0,36;0,33
Liq. corrente;1,54;1,52;1,57;1,28;1,58;1,73;1,61;1,81;1,94
M. Bruta;5,97%;26,67%;26,20%;23,88%;22,62%;17,40%;20,45%;18,73%;16,89%
M. EBITDA;6,72%;20,73%;19,65%;17,01%;14,14%;-%;14,95%;9,67%;9,81%
M. EBIT;3,73%;17,77%;16,42%;13,68%;10,77%;4,91%;8,20%;5,52%;6,16%
M. Líquida;13,04%;13,56%;12,45%;10,41%;8,65%;5,94%;6,27%;3,63%;3,94%
ROE;47,69%;41,97%;40,13%;37,97%;28,42%;17,61%;20,81%;12,25%;12,92%
ROA;16,55%;16,67%;15,27%;12,98%;9,81%;5,95%;6,86%;7,79%;8,62%
ROIC;-1,22%;41,97%;40,13%;37,97%;28,42%;11,47%;20,81%;12,25%;12,92%
Giro ativos;1,27;1,23;1,23;1,25;1,13;1,00;1,09;2,15;2,19
CAGR Receitas 5 anos;15,16%;15,20%;14,04%;14,09%;5,86%;6,34%;8,64%;10,39%;11,46%
CAGR Lucros 5 anos;34,38%;47,41%;38,53%;95,38%;-5,64%;-4,70%;-11,62%;-8,71%;-36,08%
