;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;0,36%;2,01%;2,71%;2,49%;2,57%;2,33%;2,74%;3,32%;2,38%
Div;1.84;7.01;6.49;6.03;5.61;5.29;4.9;4.44;4.21
P/L;26.5;12.14;46.22;15.92;14.59;18.79;11.98;9.99;29.35
PEG Ratio;0,97;-;-;-;-;-;-;-;-
P/VP;5,86;4,66;3,84;3,81;3,67;4,17;3,61;2,91;4,04
EV/EBITDA;40,69;8,31;12,54;10,39;9,10;10,90;7,74;6,42;9,82
EV/EBIT;100,08;9,99;18,95;13,09;11,20;13,91;9,51;7,79;12,17
P/EBITDA;38,28;7,56;11,23;9,00;8,82;10,80;7,49;6,15;9,68
P/EBIT;94,14;9,08;16,98;11,34;10,86;13,79;9,20;7,46;11,99
VPA;87,40;74,75;62,41;63,52;59,47;54,47;49,62;45,91;43,74
P/Ativo;2,10;1,52;1,06;1,13;1,31;1,49;1,37;1,12;1,62
LPA;19.33;28.72;5.18;15.22;14.95;12.09;14.94;13.38;6.02
P/SR;2,11;1,40;1,00;1,22;1,29;1,70;1,15;0,90;1,44
P/Cap. Giro;9,73;13,62;14,80;11,30;5,95;6,04;8,66;6,23;9,02
P/Ativo Circ. Liq.;-4,18;-2,85;-2,02;-2,16;-2,73;-3,13;-2,62;-2,31;-3,21
Dív. líquida/PL;0,37;0,47;0,45;0,59;0,11;0,04;0,12;0,13;0,06
Dív. líquida/EBITDA;2,41;0,76;1,31;1,39;0,28;0,10;0,25;0,27;0,14
Dív. líquida/EBIT;5,93;0,91;1,98;1,75;0,34;0,12;0,30;0,33;0,18
PL/Ativos;0,36;0,33;0,28;0,30;0,36;0,36;0,38;0,39;0,40
Passivos/Ativos;0,64;0,67;0,72;0,70;0,64;0,64;0,62;0,61;0,60
Liq. corrente;1,77;1,31;1,18;1,27;1,74;1,88;1,50;1,54;1,57
M. Bruta;25,61%;24,75%;24,22%;23,93%;23,71%;24,70%;25,37%;24,13%;24,97%
M. EBITDA;5,50%;18,59%;8,88%;13,54%;14,67%;15,70%;15,34%;14,63%;14,83%
M. EBIT;2,24%;15,46%;5,87%;10,75%;11,91%;12,31%;12,49%;12,06%;11,97%
M. Líquida;7,94%;11,57%;2,16%;7,66%;8,87%;9,03%;9,59%;9,01%;4,89%
ROE;22,12%;38,42%;8,31%;23,97%;25,15%;22,19%;30,11%;29,14%;13,76%
ROA;7,93%;12,51%;2,30%;7,10%;8,99%;7,91%;11,45%;11,23%;5,53%
ROIC;-1,53%;25,61%;7,82%;14,15%;18,01%;15,63%;24,07%;23,42%;11,60%
Giro ativos;1,00;1,08;1,06;0,93;1,01;0,88;1,19;1,25;1,13
CAGR Receitas 5 anos;7,67%;7,46%;6,57%;6,53%;0,72%;4,16%;6,56%;3,34%;-0,60%
CAGR Lucros 5 anos;11,79%;-19,25%;16,58%;8,86%;5,04%;6,48%;7,62%;-9,49%;-5,48%
