;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;0,77%;3,09%;3,36%;10,01%;2,67%;2,67%;2,43%;2,88%;2,82%
Div;0.54;2.06;1.95;6.34;1.74;1.63;1.53;1.43;1.33
P/L;20.59;20.05;19.49;22.31;13.98;23.14;26.23;21.41;28.96
PEG Ratio;-;-;-;-;-;-;-;-;-
P/VP;2,41;2,42;2,27;2,63;2,84;3,18;3,55;2,96;3,00
EV/EBITDA;21,87;11,75;11,69;12,78;12,64;-;13,19;11,84;10,70
EV/EBIT;79,10;19,63;20,31;22,89;23,27;22,43;22,87;20,78;17,81
P/EBITDA;11,98;6,45;6,15;7,24;7,73;-;7,61;6,49;6,04
P/EBIT;43,31;10,77;10,68;12,96;14,22;12,06;13,19;11,39;10,05
VPA;29,13;27,54;25,63;24,08;22,88;19,20;17,68;16,78;15,77
P/Ativo;0,56;0,55;0,51;0,59;0,66;0,59;0,66;0,57;0,58
LPA;3.41;3.32;2.98;2.84;4.65;2.64;2.4;2.32;1.63
P/SR;2,57;2,65;2,29;2,15;2,57;2,62;2,61;2,05;2,02
P/Cap. Giro;-69,56;-27,24;-305,28;41,18;44,57;-26,07;-47,82;-90,17;-43,11
P/Ativo Circ. Liq.;-0,61;-0,60;-0,56;-0,66;-0,72;-0,64;-0,73;-0,64;-0,65
Dív. líquida/PL;1,99;1,99;2,04;2,01;1,81;2,73;2,61;2,44;2,32
Dív. líquida/EBITDA;9,89;5,31;5,54;5,54;4,92;-;5,58;5,35;4,66
Dív. líquida/EBIT;35,78;8,86;9,62;9,93;9,05;10,37;9,68;9,40;7,76
PL/Ativos;0,23;0,23;0,23;0,22;0,23;0,19;0,19;0,19;0,19
Passivos/Ativos;0,75;0,76;0,76;0,76;0,75;0,80;0,81;0,80;0,81
Liq. corrente;0,90;0,79;0,98;1,15;1,19;0,78;0,86;0,94;0,89
M. Bruta;10,57%;42,70%;38,35%;32,13%;36,14%;41,45%;37,46%;34,89%;38,02%
M. EBITDA;21,49%;41,10%;37,26%;29,65%;33,29%;-%;34,24%;31,54%;33,53%
M. EBIT;5,94%;24,60%;21,44%;16,55%;18,09%;21,68%;19,75%;17,97%;20,14%
M. Líquida;12,50%;13,21%;11,75%;9,62%;18,39%;11,30%;9,93%;9,56%;6,99%
ROE;11,70%;12,07%;11,63%;11,79%;20,33%;13,74%;13,55%;13,82%;10,36%
ROA;2,73%;2,76%;2,62%;2,64%;4,69%;2,55%;2,53%;2,68%;2,00%
ROIC;0,92%;6,75%;6,27%;6,24%;6,44%;6,36%;6,60%;6,77%;6,04%
Giro ativos;0,22;0,21;0,22;0,27;0,25;0,23;0,26;0,28;0,29
CAGR Receitas 5 anos;1,89%;1,66%;5,48%;2,75%;0,68%;-0,95%;0,92%;1,03%;-0,32%
CAGR Lucros 5 anos;7,77%;5,90%;12,00%;19,13%;7,76%;7,66%;8,06%;4,45%;6,33%
