;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;-%;-%;-%;-%;-%;-%;-%;-%;-%
Div;;;;;;;;;
P/L;-3.85;9.09;14.68;37.58;35.63;19.25;19.69;26.41;21.02
PEG Ratio;0,01;-;-;-;-;-;-;-;-
P/VP;0,97;1,14;1,54;1,88;1,79;1,35;2,07;2,18;2,54
EV/EBITDA;11,43;5,49;7,02;12,45;13,85;8,56;9,75;11,38;10,32
EV/EBIT;39,17;6,86;9,12;19,23;22,10;11,64;12,61;14,67;13,00
P/EBITDA;11,45;4,85;7,06;11,13;12,14;7,31;9,17;10,78;9,95
P/EBIT;39,26;6,06;9,18;17,19;19,37;9,94;11,86;13,89;12,53
VPA;42,62;53,26;48,35;43,68;46,00;44,45;30,33;26,47;19,85
P/Ativo;0,25;0,36;0,47;0,59;0,61;0,51;0,63;0,77;0,80
LPA;-10.76;6.66;5.06;2.18;2.31;3.12;3.19;2.18;2.4
P/SR;0,11;0,18;0,26;0,31;0,38;0,31;0,35;0,40;0,36
P/Cap. Giro;-;-;-;-;-;-;-;-;-
P/Ativo Circ. Liq.;-0,25;-0,36;-0,47;-0,59;-0,61;-0,51;-0,63;-0,77;-0,80
Dív. líquida/PL;0,00;0,15;-0,01;0,22;0,25;0,23;0,13;0,12;0,09
Dív. líquida/EBITDA;-0,03;0,64;-0,04;1,32;1,71;1,25;0,58;0,60;0,37
Dív. líquida/EBIT;-0,09;0,80;-0,06;2,03;2,73;1,70;0,75;0,77;0,47
PL/Ativos;0,26;0,32;0,31;0,31;0,34;0,38;0,31;0,35;0,31
Passivos/Ativos;0,74;0,68;0,69;0,69;0,66;0,62;0,69;0,65;0,69
Liq. corrente;-;-;-;-;-;-;-;-;-
M. Bruta;11,11%;22,91%;22,80%;22,84%;21,73%;22,37%;21,14%;23,39%;21,77%
M. EBITDA;0,96%;3,80%;3,65%;2,81%;3,14%;4,28%;3,80%;3,67%;3,62%
M. EBIT;0,28%;3,04%;2,81%;1,82%;1,97%;3,15%;2,94%;2,85%;2,87%
M. Líquida;-2,85%;2,03%;1,75%;0,83%;1,07%;1,63%;1,77%;1,50%;1,71%
ROE;-25,25%;12,51%;10,46%;5,00%;5,03%;7,02%;10,53%;8,24%;12,09%
ROA;-6,44%;4,01%;3,19%;1,56%;1,72%;2,63%;3,22%;2,91%;3,79%
ROIC;0,15%;8,49%;7,57%;4,26%;4,15%;5,72%;6,33%;6,76%;8,78%
Giro ativos;2,26;1,98;1,82;1,88;1,61;1,62;1,82;1,95;2,21
CAGR Receitas 5 anos;16,92%;20,70%;24,47%;25,41%;37,32%;35,14%;40,80%;42,93%;50,77%
CAGR Lucros 5 anos;20,13%;24,59%;7,74%;19,10%;38,48%;37,27%;40,40%;233,73%;38,26%
