;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;0,25%;1,35%;2,29%;3,23%;1,79%;1,01%;1,55%;2,12%;1,61%
Div;0.61;2.41;3.01;3.0;2.6;1.0;1.6;1.6;1.6
P/L;134.39;15.29;10.89;5.03;5.02;19.04;9.23;6.27;28.32
PEG Ratio;-1,99;-;-;-;-;-;-;-;-
P/VP;1,37;1,12;0,86;0,67;0,98;0,75;0,83;0,69;0,99
EV/EBITDA;1,72;-4,62;-5,77;-5,09;-2,81;-12,40;-3,12;-4,43;-2,52
EV/EBIT;5,20;-6,24;-7,78;-6,60;-3,41;-22,85;-4,32;-5,60;-3,44
P/EBITDA;23,24;5,45;4,00;2,53;3,01;5,90;4,01;3,14;5,31
P/EBIT;70,11;7,35;5,39;3,27;3,65;10,87;5,56;3,97;7,26
VPA;179,03;159,44;152,71;137,90;147,46;131,62;124,56;109,10;100,54
P/Ativo;0,23;0,14;0,10;0,08;0,14;0,11;0,12;0,10;0,13
LPA;1.82;11.66;12.05;18.47;28.91;5.19;11.15;12.06;3.52
P/SR;3,01;1,26;1,01;0,92;1,87;1,43;1,42;1,11;1,61
P/Cap. Giro;-;-;-;-;-;-;-;-;-
P/Ativo Circ. Liq.;-0,23;-0,14;-0,10;-0,08;-0,14;-0,11;-0,12;-0,10;-0,13
Dív. líquida/PL;-1,26;-2,07;-2,10;-2,03;-1,90;-2,33;-1,47;-1,67;-1,46
Dív. líquida/EBITDA;-21,52;-10,07;-9,76;-7,61;-5,83;-18,31;-7,12;-7,56;-7,83
Dív. líquida/EBIT;-64,91;-13,59;-13,17;-9,87;-7,06;-33,72;-9,88;-9,57;-10,70
PL/Ativos;0,17;0,12;0,12;0,12;0,14;0,14;0,15;0,14;0,13
Passivos/Ativos;0,83;0,88;0,88;0,88;0,86;0,86;0,85;0,86;0,87
Liq. corrente;-;-;-;-;-;-;-;-;-
M. Bruta;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
M. EBITDA;12,94%;23,14%;25,22%;36,58%;62,22%;24,20%;35,44%;35,26%;30,31%
M. EBIT;4,29%;17,14%;18,70%;28,22%;51,36%;13,14%;25,55%;27,86%;22,17%
M. Líquida;2,24%;8,24%;9,26%;18,36%;37,35%;7,51%;15,38%;17,64%;5,68%
ROE;1,02%;7,31%;7,89%;13,40%;19,61%;3,94%;8,95%;11,05%;3,50%
ROA;0,17%;0,91%;0,96%;1,55%;2,77%;0,56%;1,33%;1,53%;0,47%
ROIC;1,74%;13,16%;13,80%;16,73%;21,06%;6,02%;11,14%;12,58%;5,63%
Giro ativos;0,08;0,11;0,10;0,08;0,07;0,08;0,09;0,09;0,08
CAGR Receitas 5 anos;9,82%;8,85%;5,05%;3,08%;4,79%;7,18%;6,02%;4,76%;8,24%
CAGR Lucros 5 anos;-3,05%;-4,07%;30,00%;26,99%;-6,86%;5,01%;8,23%;-10,56%;3,75%
