;2025;2024;2023;2022;2021;2020;2019
D.Y;-%;-%;-%;-%;-%;-%;-%
Div;;;;;;;
P/L;19.12;24.42;443.73;-3.11;15.12;;
PEG Ratio;-0,19;-;-;-;-;-;-
P/VP;3,84;6,13;6,70;1,50;8,59;-;-
EV/EBITDA;35,55;18,70;274,64;-2,57;16,62;-2,60;23,23
EV/EBIT;39,07;19,49;6.751,83;-2,44;17,00;-2,79;14,67
P/EBITDA;36,90;19,99;289,20;-2,90;17,70;-;-
P/EBIT;40,56;20,83;7.109,78;-2,75;18,10;-;-
VPA;59,42;40,52;25,95;23,63;29,39;8,21;-
P/Ativo;1,96;2,79;2,85;0,09;2,58;-;-
LPA;11.93;10.17;0.39;-11.37;16.69;0.58;
P/SR;8,02;9,59;13,54;2,56;6,99;-;-
P/Cap. Giro;4,77;6,19;7,17;1,45;7,88;-;-
P/Ativo Circ. Liq.;-6,65;-14,22;-12,39;-2,49;-18,89;-;-
Dív. líquida/PL;-0,14;-0,39;-0,34;-0,17;-0,52;-0,75;-0,63
Dív. líquida/EBITDA;-1,36;-1,28;-14,56;0,32;-1,08;-2,60;23,23
Dív. líquida/EBIT;-1,49;-1,34;-357,95;0,30;-1,10;-2,79;14,67
PL/Ativos;0,51;0,46;0,43;0,06;0,30;0,26;0,44
Passivos/Ativos;0,49;0,54;0,57;0,94;0,70;0,74;0,56
Liq. corrente;2,40;2,28;2,07;1,07;1,61;1,21;1,62
M. Bruta;29,61%;100,00%;100,00%;100,00%;100,00%;89,39%;84,63%
M. EBITDA;21,74%;48,00%;4,68%;-88,34%;39,49%;34,44%;-5,42%
M. EBIT;19,78%;46,06%;0,19%;-93,16%;38,61%;32,01%;-8,58%
M. Líquida;41,95%;39,29%;3,05%;-82,18%;46,23%;8,47%;-5,69%
ROE;20,08%;25,10%;1,51%;-48,12%;56,79%;7,09%;-2,86%
ROA;10,27%;11,44%;0,64%;-2,93%;17,04%;1,85%;-1,27%
ROIC;3,52%;17,96%;-1,78%;-37,95%;23,84%;21,10%;-5,73%
Giro ativos;0,24;0,29;0,21;0,04;0,37;0,22;0,22
CAGR Receitas 5 anos;65,18%;-%;-%;-%;-%;-%;-%
CAGR Lucros 5 anos;-%;-%;-%;-%;-%;-%;-%
