;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;0,83%;3,15%;3,37%;5,42%;2,70%;4,23%;2,05%;1,86%;1,93%
Div;0.78;3.13;3.91;6.39;1.95;1.69;1.33;1.16;1.07
P/L;13.13;13.69;12.48;7.73;11.63;-15.81;9.93;11.47;-76.75
PEG Ratio;-1,19;-;-;-;-;-;-;-;-
P/VP;1,79;1,95;2,77;3,01;2,07;1,43;2,04;2,24;2,13
EV/EBITDA;9,06;5,94;5,82;4,13;5,10;14,60;4,44;4,55;11,94
EV/EBIT;42,14;10,01;8,73;5,23;7,89;-21,52;7,10;7,15;-64,87
P/EBITDA;7,89;5,19;5,34;3,93;4,47;12,42;4,17;4,14;10,78
P/EBIT;36,69;8,75;8,01;4,97;6,91;-18,30;6,67;6,50;-58,59
VPA;52,54;50,79;41,83;39,22;34,87;27,95;31,94;27,85;25,76
P/Ativo;0,95;1,03;1,43;1,54;1,04;0,68;1,01;1,03;0,89
LPA;7.15;7.25;9.3;15.26;6.2;-2.53;6.55;5.44;-0.72
P/SR;1,94;2,31;2,44;1,84;2,05;2,27;1,95;1,85;2,01
P/Cap. Giro;29,93;35,91;31,62;24,47;23,33;6,37;7,23;12,21;9,22
P/Ativo Circ. Liq.;-1,09;-1,18;-1,68;-1,92;-1,26;-0,84;-1,33;-1,27;-1,15
Dív. líquida/PL;0,27;0,28;0,25;0,15;0,29;0,25;0,13;0,23;0,23
Dív. líquida/EBITDA;1,17;0,75;0,48;0,20;0,63;2,18;0,27;0,42;1,16
Dív. líquida/EBIT;5,45;1,26;0,72;0,25;0,98;-3,22;0,43;0,65;-6,28
PL/Ativos;0,53;0,53;0,51;0,51;0,50;0,48;0,50;0,46;0,42
Passivos/Ativos;0,47;0,47;0,49;0,49;0,50;0,52;0,50;0,54;0,58
Liq. corrente;1,32;1,29;1,43;1,46;1,34;2,25;2,40;1,79;1,76
M. Bruta;11,46%;47,46%;47,15%;47,80%;47,95%;33,87%;65,68%;62,14%;58,85%
M. EBITDA;24,58%;44,53%;45,64%;46,87%;45,92%;18,31%;46,66%;44,81%;18,68%
M. EBIT;5,29%;26,40%;30,40%;36,99%;29,67%;-12,43%;29,16%;28,52%;-3,44%
M. Líquida;14,77%;16,89%;19,52%;23,80%;17,63%;-14,38%;19,60%;16,16%;-2,62%
ROE;13,60%;14,27%;22,23%;38,91%;17,79%;-9,05%;20,51%;19,51%;-2,78%
ROA;7,21%;7,53%;11,42%;19,91%;8,91%;-4,31%;10,20%;8,94%;-1,17%
ROIC;-1,55%;11,25%;17,21%;30,14%;13,72%;-6,23%;16,91%;15,72%;-6,14%
Giro ativos;0,49;0,45;0,59;0,84;0,51;0,30;0,52;0,55;0,44
CAGR Receitas 5 anos;8,34%;7,71%;19,22%;13,47%;-9,50%;-7,96%;-7,84%;-12,07%;-18,09%
CAGR Lucros 5 anos;5,16%;11,86%;-%;-%;-%;0,91%;-7,33%;-%;-%
