;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;4,17%;3,53%;3,42%;2,61%;3,41%;2,90%;2,83%;4,24%;2,91%
Div;1.17;1.48;1.48;1.48;1.48;1.4;1.4;1.4;1.4
P/L;18.6;22.02;15.02;22.45;13.09;9.0;70.65;38.05;16.3
PEG Ratio;-0,54;-;-;-;-;-;-;-;-
P/VP;2,16;3,29;3,52;5,10;4,16;5,70;13,52;7,28;8,83
EV/EBITDA;-;13,64;10,21;14,45;9,70;13,09;16,36;13,39;10,11
EV/EBIT;34,77;19,44;13,21;18,64;11,69;16,97;23,80;19,15;12,35
P/EBITDA;-;8,71;7,57;11,32;7,04;10,21;10,45;6,85;8,27
P/EBIT;19,25;12,41;9,79;14,60;8,49;13,23;15,20;9,80;10,11
VPA;12,98;12,73;12,28;11,12;10,45;8,48;3,66;4,53;5,45
P/Ativo;0,56;0,82;1,07;1,43;1,12;1,18;1,13;0,68;1,87
LPA;1.51;1.9;2.88;2.53;3.32;5.37;0.7;0.87;2.95
P/SR;0,84;1,30;1,38;1,98;1,55;1,69;1,84;1,50;2,48
P/Cap. Giro;-13,44;-9,01;-80,04;-18,41;-110,20;-21,23;-10,51;-7,65;-29,22
P/Ativo Circ. Liq.;-0,66;-0,96;-1,29;-1,71;-1,31;-1,47;-1,33;-0,81;-2,48
Dív. líquida/PL;1,74;1,87;1,23;1,41;1,57;1,61;7,65;6,94;1,97
Dív. líquida/EBITDA;-;4,93;2,64;3,13;2,65;2,88;5,92;6,53;1,84
Dív. líquida/EBIT;15,52;7,03;3,42;4,04;3,20;3,74;8,61;9,35;2,25
PL/Ativos;0,26;0,25;0,30;0,28;0,27;0,21;0,08;0,09;0,21
Passivos/Ativos;0,74;0,75;0,70;0,72;0,73;0,79;0,92;0,91;0,79
Liq. corrente;0,78;0,61;0,93;0,68;0,93;0,78;0,58;0,64;0,79
M. Bruta;14,39%;30,83%;31,17%;30,68%;33,16%;34,51%;33,22%;35,89%;41,84%
M. EBITDA;-%;14,88%;18,20%;17,53%;21,97%;16,51%;17,60%;21,90%;29,96%
M. EBIT;4,37%;10,44%;14,06%;13,59%;18,23%;12,74%;12,10%;15,31%;24,52%
M. Líquida;4,52%;5,88%;9,17%;8,84%;11,82%;18,73%;2,60%;3,95%;15,20%
ROE;11,63%;14,94%;23,44%;22,73%;31,77%;63,37%;19,13%;19,13%;54,18%
ROA;3,03%;3,72%;7,12%;6,37%;8,54%;13,16%;1,60%;1,80%;11,48%
ROIC;2,71%;7,43%;12,53%;11,62%;14,91%;12,34%;8,67%;8,34%;20,09%
Giro ativos;0,67;0,63;0,78;0,72;0,72;0,70;0,62;0,46;0,76
CAGR Receitas 5 anos;3,52%;7,18%;7,96%;1,26%;1,46%;-0,39%;-3,86%;-4,04%;2,19%
CAGR Lucros 5 anos;21,86%;26,87%;-3,12%;12,22%;19,57%;-24,60%;-10,64%;2,76%;-6,90%
