;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;-%;-%;-%;-%;-%;-%;-%;-%;-%
Div;;;;;;;;;
P/L;24.56;40.57;38.01;53.21;76.8;21.47;35.73;26.76;25.34
PEG Ratio;-;-;-;-;-;-;-;-;-
P/VP;4,15;7,35;7,86;12,54;20,38;6,03;11,89;7,07;9,10
EV/EBITDA;15,78;27,23;26,08;37,84;56,34;16,15;26,36;17,08;19,97
EV/EBIT;17,59;30,25;28,76;41,71;62,41;18,20;29,46;19,40;22,45
P/EBITDA;18,04;29,03;27,45;38,77;56,85;16,24;26,09;16,89;19,16
P/EBIT;20,12;32,25;30,27;42,72;62,98;18,30;29,17;19,18;21,54
VPA;9,49;7,81;6,24;4,86;3,72;10,54;7,65;6,76;4,75
P/Ativo;3,78;6,56;6,98;10,93;15,77;4,35;8,30;4,85;5,04
LPA;1.6;1.41;1.29;1.14;0.99;2.96;2.55;1.79;1.7
P/SR;8,21;13,05;12,16;16,57;26,71;6,81;10,35;6,19;6,90
P/Cap. Giro;7,52;14,59;16,99;32,93;56,12;24,72;52,18;25,89;35,04
P/Ativo Circ. Liq.;-8,79;-13,79;-13,54;-18,67;-25,15;-6,03;-11,36;-6,99;-7,16
Dív. líquida/PL;-0,52;-0,45;-0,39;-0,30;-0,18;-0,03;0,12;0,08;0,39
Dív. líquida/EBITDA;-2,27;-1,80;-1,37;-0,92;-0,51;-0,09;0,27;0,19;0,81
Dív. líquida/EBIT;-2,53;-2,00;-1,51;-1,02;-0,57;-0,10;0,30;0,22;0,91
PL/Ativos;0,91;0,89;0,89;0,87;0,77;0,72;0,70;0,69;0,55
Passivos/Ativos;0,09;0,10;0,11;0,13;0,23;0,28;0,30;0,31;0,45
Liq. corrente;8,42;7,03;6,62;5,00;4,04;2,71;2,44;2,56;1,94
M. Bruta;87,02%;85,38%;84,12%;45,88%;49,88%;45,69%;43,99%;42,22%;43,65%
M. EBITDA;45,48%;44,96%;44,30%;42,74%;46,99%;41,95%;39,67%;36,66%;36,00%
M. EBIT;40,79%;40,47%;40,17%;38,78%;42,42%;37,23%;35,49%;32,28%;32,04%
M. Líquida;33,41%;32,17%;31,99%;31,14%;34,78%;31,73%;28,98%;23,14%;27,23%
ROE;16,90%;18,12%;20,67%;23,57%;26,54%;28,11%;33,27%;26,43%;35,90%
ROA;15,38%;16,17%;18,37%;20,53%;20,53%;20,26%;23,23%;18,11%;19,89%
ROIC;16,85%;18,11%;20,63%;23,92%;24,36%;24,94%;28,06%;22,13%;24,15%
Giro ativos;0,46;0,50;0,57;0,66;0,59;0,64;0,80;0,78;0,73
CAGR Receitas 5 anos;15,72%;16,47%;19,31%;16,25%;13,99%;11,91%;11,53%;9,40%;7,78%
CAGR Lucros 5 anos;18,16%;24,26%;22,56%;28,21%;26,07%;27,06%;18,34%;16,70%;10,20%
