;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;0,95%;3,55%;4,03%;3,36%;1,93%;3,32%;3,02%;3,50%;3,26%
Div;1.05;4.11;4.0;3.76;3.45;3.31;3.21;3.09;3.0
P/L;43.85;77.21;26.29;18.23;60.73;78.54;46.78;53.82;43.44
PEG Ratio;-2,00;-;-;-;-;-;-;-;-
P/VP;2,60;2,70;2,13;2,39;4,40;2,83;2,83;2,54;2,51
EV/EBITDA;22,70;18,14;12,52;11,50;25,24;-;19,88;19,52;18,74
EV/EBIT;204,41;52,90;25,66;20,03;51,05;56,17;41,72;43,35;35,86
P/EBITDA;17,27;14,24;9,45;8,79;22,18;-;15,99;15,35;15,43
P/EBIT;155,52;41,53;19,36;15,32;44,85;43,82;33,57;34,11;29,54
VPA;42,64;43,03;46,64;46,82;40,63;35,37;37,47;34,70;36,75
P/Ativo;1,30;1,42;1,13;1,28;2,31;1,35;1,52;1,35;1,38
LPA;2.52;1.5;3.78;6.14;2.94;1.27;2.27;1.64;2.12
P/SR;29,78;8,13;6,86;8,34;15,99;9,23;9,91;8,74;9,39
P/Cap. Giro;-;-;-;-;-;-;-;-;-
P/Ativo Circ. Liq.;-1,30;-1,42;-1,13;-1,28;-2,31;-1,35;-1,52;-1,35;-1,38
Dív. líquida/PL;0,82;0,74;0,69;0,73;0,61;0,80;0,69;0,69;0,54
Dív. líquida/EBITDA;5,43;3,90;3,07;2,70;3,07;-;3,89;4,16;3,30
Dív. líquida/EBIT;48,89;11,38;6,30;4,71;6,20;12,35;8,16;9,25;6,32
PL/Ativos;0,50;0,53;0,53;0,53;0,53;0,48;0,54;0,53;0,55
Passivos/Ativos;0,50;0,47;0,47;0,47;0,47;0,52;0,46;0,46;0,44
Liq. corrente;-;-;-;-;-;-;-;-;-
M. Bruta;60,65%;61,36%;62,19%;62,94%;61,19%;59,89%;61,68%;61,15%;60,57%
M. EBITDA;172,43%;57,10%;72,63%;94,89%;72,11%;-%;61,93%;56,91%;60,81%
M. EBIT;19,15%;19,57%;35,43%;54,48%;35,66%;21,06%;29,51%;25,62%;31,77%
M. Líquida;67,91%;10,53%;26,10%;45,77%;26,33%;11,75%;21,18%;16,23%;21,61%
ROE;5,92%;3,49%;8,10%;13,11%;7,24%;3,60%;6,05%;4,71%;5,77%
ROA;2,97%;1,84%;4,30%;7,01%;3,81%;1,72%;3,25%;2,51%;3,18%
ROIC;0,91%;3,68%;6,26%;8,94%;5,56%;3,33%;4,96%;4,35%;5,13%
Giro ativos;0,04;0,18;0,16;0,15;0,14;0,15;0,15;0,15;0,15
CAGR Receitas 5 anos;8,38%;9,95%;9,45%;5,49%;4,77%;5,59%;4,04%;5,42%;8,06%
CAGR Lucros 5 anos;-6,10%;19,57%;41,00%;-17,85%;-11,97%;-5,30%;-13,39%;-6,46%;76,18%
