;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;-%;-%;-%;-%;-%;-%;-%;-%;-%
Div;;;;;;;;;
P/L;-120.13;425.2;25.57;22.83;48.65;34.12;29.6;24.05;42.02
PEG Ratio;1,01;-;-;-;-;-;-;-;-
P/VP;2,90;2,73;3,37;3,73;7,50;5,88;4,56;4,13;4,96
EV/EBITDA;27,29;19,76;14,06;13,76;26,15;18,45;16,18;13,64;13,46
EV/EBIT;1.571,02;52,35;20,20;19,90;38,67;26,58;24,96;20,02;18,87
P/EBITDA;22,74;16,24;11,76;11,26;23,19;16,17;13,25;10,73;11,32
P/EBIT;1.309,02;43,03;16,90;16,27;34,29;23,29;20,44;15,76;15,87
VPA;69,19;67,69;70,06;58,42;50,21;42,51;33,47;27,39;22,07
P/Ativo;1,32;1,25;1,48;1,46;2,71;2,26;1,59;1,41;1,77
LPA;-1.67;0.43;9.25;9.54;7.75;7.32;5.16;4.71;2.6
P/SR;2,46;2,33;2,94;2,79;5,37;4,25;2,85;2,40;2,79
P/Cap. Giro;24,10;23,08;21,92;31,95;78,95;34,39;23,98;16,03;14,28
P/Ativo Circ. Liq.;-1,65;-1,54;-1,84;-1,80;-3,31;-2,90;-2,03;-1,84;-2,46
Dív. líquida/PL;0,58;0,59;0,66;0,83;0,96;0,83;1,01;1,12;0,94
Dív. líquida/EBITDA;4,55;3,52;2,30;2,51;2,96;2,28;2,93;2,90;2,14
Dív. líquida/EBIT;262,00;9,32;3,30;3,63;4,37;3,28;4,52;4,26;3,00
PL/Ativos;0,45;0,46;0,44;0,39;0,36;0,39;0,35;0,34;0,36
Passivos/Ativos;0,54;0,53;0,55;0,60;0,63;0,61;0,65;0,65;0,64
Liq. corrente;1,37;1,41;1,52;1,32;1,23;1,43;1,44;1,61;1,78
M. Bruta;-92,34%;32,88%;36,39%;36,79%;37,70%;36,72%;36,56%;37,07%;37,73%
M. EBITDA;10,80%;14,35%;24,99%;24,80%;23,17%;26,28%;21,48%;22,38%;24,65%
M. EBIT;0,19%;5,42%;17,39%;17,16%;15,67%;18,25%;13,92%;15,24%;17,59%
M. Líquida;-2,04%;0,55%;11,49%;12,23%;11,04%;12,46%;9,61%;9,99%;6,64%
ROE;-2,42%;0,64%;13,20%;16,34%;15,42%;17,23%;15,42%;17,18%;11,80%
ROA;-1,10%;0,29%;5,79%;6,40%;5,57%;6,63%;5,37%;5,87%;4,21%
ROIC;-3,43%;2,66%;9,88%;9,71%;9,09%;11,03%;8,94%;9,75%;7,09%
Giro ativos;0,54;0,54;0,50;0,52;0,50;0,53;0,56;0,59;0,63
CAGR Receitas 5 anos;9,09%;12,75%;16,44%;16,06%;16,49%;15,10%;14,22%;10,46%;8,03%
CAGR Lucros 5 anos;-38,58%;15,72%;31,12%;20,12%;19,59%;14,93%;17,34%;5,21%;7,37%
