;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;-%;0,48%;-%;-%;-%;-%;-%;-%;-%
Div;;1.6;;;;;;;
P/L;40.18;77.36;;91.82;61.47;;129.97;291.06;228.61
PEG Ratio;-;-;-;-;-;-;-;-;-
P/VP;4,07;5,36;4,36;2,28;6,03;6,01;9,24;10,10;9,85
EV/EBITDA;18,71;29,09;41,35;21,47;37,28;53,39;52,96;56,78;52,56
EV/EBIT;32,73;63,67;383,05;86,58;94,11;281,08;145,57;242,81;274,78
P/EBITDA;19,14;29,53;41,66;21,46;38,72;54,81;53,39;58,34;52,71
P/EBIT;33,48;64,64;385,94;86,55;97,74;288,55;146,76;249,48;275,53
VPA;65,29;62,33;60,29;58,13;42,12;37,01;17,59;13,56;10,38
P/Ativo;2,42;3,21;2,58;1,39;3,78;3,70;4,69;4,77;4,20
LPA;6.61;4.32;0.21;1.44;4.13;0.14;1.25;0.47;0.45
P/SR;6,57;9,18;8,12;5,00;11,78;11,91;10,86;9,94;8,75
P/Cap. Giro;142,53;130,97;505,40;124,85;60,16;182,21;-252,21;-216,94;-56,86
P/Ativo Circ. Liq.;-3,40;-4,52;-3,52;-1,83;-5,64;-5,20;-7,19;-8,45;-6,37
Dív. líquida/PL;-0,09;-0,08;-0,03;0,00;-0,22;-0,16;-0,07;-0,27;-0,03
Dív. líquida/EBITDA;-0,43;-0,44;-0,31;0,01;-1,44;-1,42;-0,43;-1,56;-0,14
Dív. líquida/EBIT;-0,75;-0,96;-2,89;0,04;-3,63;-7,47;-1,19;-6,67;-0,75
PL/Ativos;0,59;0,60;0,59;0,61;0,63;0,61;0,51;0,47;0,43
Passivos/Ativos;0,41;0,40;0,41;0,39;0,37;0,39;0,49;0,53;0,57
Liq. corrente;1,06;1,09;1,02;1,05;1,23;1,08;0,95;0,95;0,82
M. Bruta;77,19%;75,50%;73,34%;73,48%;74,41%;75,23%;74,02%;73,69%;73,52%
M. EBITDA;34,33%;31,08%;19,50%;23,32%;30,42%;21,74%;20,34%;17,04%;16,61%
M. EBIT;19,63%;14,20%;2,11%;5,78%;12,05%;4,13%;7,40%;3,98%;3,18%
M. Líquida;16,35%;11,87%;0,66%;5,45%;19,16%;0,74%;8,36%;3,42%;3,83%
ROE;10,13%;6,93%;0,36%;2,48%;9,81%;0,37%;7,11%;3,47%;4,31%
ROA;6,02%;4,14%;0,21%;1,52%;6,14%;0,23%;3,61%;1,64%;1,84%
ROIC;8,90%;5,99%;0,30%;2,10%;2,38%;0,34%;4,56%;2,98%;1,30%
Giro ativos;0,37;0,35;0,32;0,28;0,32;0,31;0,43;0,48;0,48
CAGR Receitas 5 anos;21,28%;24,36%;25,71%;26,09%;26,05%;26,68%;28,15%;30,07%;32,10%
CAGR Lucros 5 anos;30,09%;-10,39%;34,92%;-%;-%;-%;-%;-%;-%
