;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;0,84%;3,29%;5,25%;3,50%;5,24%;2,46%;2,01%;1,12%;0,59%
Div;0.22;0.84;1.34;0.86;0.99;0.4;0.35;0.25;0.17
P/L;12.16;16.75;11.79;4.64;13.35;32.38;-21.9;31.58;85.25
PEG Ratio;0,37;-;-;-;-;-;-;-;-
P/VP;1,36;1,43;1,47;1,49;1,32;2,93;9,95;8,82;142,19
EV/EBITDA;9,47;6,11;5,32;2,98;7,87;10,85;-;-;-
EV/EBIT;70,68;13,80;9,25;3,88;11,31;25,32;-37,69;55,59;94,57
P/EBITDA;7,95;5,72;5,01;2,76;6,88;9,42;-;-;-
P/EBIT;59,35;12,94;8,71;3,60;9,88;21,99;-35,73;53,58;92,95
VPA;19,33;17,85;17,36;16,48;14,43;5,55;1,75;2,53;0,20
P/Ativo;0,83;0,87;0,94;0,94;0,78;1,44;3,01;3,44;15,75
LPA;2.16;1.53;2.16;5.29;1.42;0.5;-0.79;0.71;0.34
P/SR;2,82;3,44;3,24;2,09;4,48;4,43;3,02;4,65;7,98
P/Cap. Giro;540,58;8,59;53,99;18,54;16,87;254,76;17,48;19,92;59,61
P/Ativo Circ. Liq.;-0,89;-1,03;-1,04;-1,05;-0,87;-1,58;-4,35;-4,93;-35,28
Dív. líquida/PL;0,26;0,10;0,09;0,12;0,19;0,44;0,55;0,33;2,49
Dív. líquida/EBITDA;1,52;0,38;0,31;0,22;1,00;1,43;-;-;-
Dív. líquida/EBIT;11,33;0,87;0,54;0,29;1,43;3,33;-1,96;2,01;1,63
PL/Ativos;0,61;0,61;0,64;0,63;0,59;0,49;0,30;0,39;0,11
Passivos/Ativos;0,39;0,39;0,36;0,37;0,41;0,51;0,70;0,61;0,89
Liq. corrente;1,02;2,92;1,21;1,85;1,75;1,07;2,26;2,34;1,91
M. Bruta;13,83%;70,06%;74,01%;84,37%;76,25%;56,06%;15,96%;18,22%;19,56%
M. EBITDA;35,53%;60,08%;64,66%;75,62%;65,15%;46,99%;-%;-%;-%
M. EBIT;4,76%;26,58%;37,22%;57,99%;45,35%;20,13%;-8,47%;8,68%;8,59%
M. Líquida;23,23%;20,54%;27,48%;44,91%;33,57%;13,67%;-13,81%;14,73%;9,37%
ROE;11,18%;8,54%;12,46%;32,11%;9,87%;9,05%;-45,44%;27,93%;166,78%
ROA;6,85%;5,18%;7,96%;20,17%;5,82%;4,43%;-13,74%;10,89%;18,47%
ROIC;-0,34%;7,37%;11,17%;27,93%;8,12%;7,60%;-19,51%;0,66%;15,85%
Giro ativos;0,29;0,25;0,29;0,45;0,17;0,32;0,99;0,74;1,97
CAGR Receitas 5 anos;18,97%;23,83%;40,55%;30,32%;1,56%;1,06%;-%;-%;-%
CAGR Lucros 5 anos;-%;40,28%;92,32%;-%;-%;-%;-%;-%;-%
