;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;0,25%;1,16%;1,29%;1,24%;1,14%;1,34%;0,88%;-%;-%
Div;0.17;0.66;0.62;0.73;0.54;0.52;0.26;;
P/L;28.36;43.06;45.72;36.56;19.53;42.36;-23.07;;
PEG Ratio;0,22;-;-;-;-;-;-;-;-
P/VP;1,81;1,64;1,34;1,66;1,35;1,16;0,90;-;-
EV/EBITDA;35,12;14,11;13,15;14,64;8,54;13,79;7,33;1,43;0,00
EV/EBIT;319,67;25,59;25,15;26,53;13,01;36,33;-113,72;-0,54;0,00
P/EBITDA;33,80;14,28;13,25;15,37;9,49;15,21;7,92;-;-
P/EBIT;307,60;25,90;25,34;27,86;14,46;40,07;-122,90;-;-
VPA;37,32;34,70;35,70;35,47;34,94;33,32;32,81;-;-
P/Ativo;1,08;0,96;0,78;0,98;0,81;0,68;0,52;-;-
LPA;2.38;1.32;1.05;1.61;2.42;0.91;-1.28;;
P/SR;2,61;2,31;1,95;2,40;2,19;2,03;1,60;-;-
P/Cap. Giro;7,56;8,29;5,74;6,93;5,74;4,64;4,19;-;-
P/Ativo Circ. Liq.;-1,77;-1,52;-1,26;-1,62;-1,28;-1,03;-0,77;-;-
Dív. líquida/PL;0,07;-0,02;-0,01;-0,08;-0,14;-0,11;-0,07;0,05;-
Dív. líquida/EBITDA;1,33;-0,17;-0,10;-0,74;-0,95;-1,42;-0,59;1,43;-
Dív. líquida/EBIT;12,07;-0,31;-0,19;-1,33;-1,44;-3,74;9,19;-0,54;-
PL/Ativos;0,60;0,58;0,58;0,59;0,60;0,58;0,58;0,69;-
Passivos/Ativos;0,40;0,41;0,41;0,40;0,39;0,41;0,42;0,31;-
Liq. corrente;1,58;1,45;1,56;1,56;1,63;1,73;1,64;1,73;-
M. Bruta;8,48%;43,64%;42,41%;40,21%;41,11%;40,16%;38,07%;30,37%;40,81%
M. EBITDA;7,71%;16,18%;14,73%;15,63%;23,12%;13,34%;20,17%;17,16%;28,82%
M. EBIT;0,85%;8,92%;7,70%;8,62%;15,18%;5,06%;-1,30%;-45,28%;-1,21%
M. Líquida;9,19%;5,36%;4,27%;6,57%;11,24%;4,79%;-6,93%;-35,45%;27,29%
ROE;6,36%;3,81%;2,94%;4,53%;6,93%;2,74%;-3,91%;-6,74%;-%
ROA;3,80%;2,22%;1,71%;2,69%;4,15%;1,60%;-2,26%;-4,66%;-%
ROIC;-1,58%;4,14%;4,27%;4,87%;6,99%;2,46%;-0,92%;-8,03%;-%
Giro ativos;0,41;0,41;0,40;0,41;0,37;0,33;0,33;0,13;-
CAGR Receitas 5 anos;4,08%;3,81%;10,32%;-%;-%;-%;-%;-%;-%
CAGR Lucros 5 anos;-%;-%;-17,02%;-%;-%;-%;-%;-%;-%
