;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;-%;-%;-%;-%;-%;-%;-%;-%;-%
Div;;;;;;;;;
P/L;95.65;129.06;13.44;-0.32;-154.41;-98.79;-40.39;-23.51;-4.89
PEG Ratio;0,03;-;-;-;-;-;-;-;-
P/VP;26,40;21,51;24,89;-0,97;68,12;43,62;47,20;16,37;2,44
EV/EBITDA;106,66;22,59;9,91;-3,86;4.270,31;-;-25,35;-9,07;-2,95
EV/EBIT;207,71;29,47;14,53;-3,40;-232,93;-55,29;-21,17;-8,05;-2,70
P/EBITDA;101,63;19,77;5,11;-0,24;3.474,15;-;-19,52;-6,40;-2,14
P/EBIT;197,90;25,79;7,49;-0,21;-189,50;-51,08;-16,30;-5,68;-1,96
VPA;16,11;9,45;2,13;-4,89;3,40;5,49;1,95;2,00;7,82
P/Ativo;6,11;3,19;0,86;0,06;2,97;5,57;2,25;1,32;0,48
LPA;4.45;1.58;3.94;-14.97;-1.5;-2.42;-2.28;-1.39;-3.91
P/SR;3,29;1,98;0,56;0,04;1,63;3,03;1,18;0,67;0,36
P/Cap. Giro;12,75;7,68;3,39;0,25;10,41;11,61;9,36;3,91;1,67
P/Ativo Circ. Liq.;-16,77;-7,50;-1,61;-0,12;-9,82;-15,21;-6,63;-3,97;-2,03
Dív. líquida/PL;1,31;3,07;23,37;-;15,61;3,59;14,09;6,84;0,92
Dív. líquida/EBITDA;5,04;2,82;4,80;-3,62;796,17;-;-5,83;-2,67;-0,80
Dív. líquida/EBIT;9,81;3,68;7,04;-3,19;-43,43;-4,21;-4,87;-2,37;-0,74
PL/Ativos;0,23;0,15;0,03;-0,06;0,04;0,13;0,05;0,08;0,20
Passivos/Ativos;0,77;0,85;0,97;1,06;0,96;0,87;0,95;0,92;0,80
Liq. corrente;4,05;3,64;2,16;1,77;1,69;4,12;1,57;2,01;1,60
M. Bruta;21,37%;21,03%;16,01%;9,16%;15,05%;14,21%;12,85%;10,06%;7,93%
M. EBITDA;3,24%;10,03%;10,98%;-15,58%;0,05%;-%;-6,02%;-10,43%;-16,70%
M. EBIT;1,66%;7,69%;7,49%;-17,69%;-0,86%;-5,92%;-7,21%;-11,75%;-18,24%
M. Líquida;3,44%;1,54%;4,18%;-11,67%;-1,05%;-3,06%;-2,91%;-2,84%;-7,32%
ROE;27,60%;16,67%;185,19%;-306,37%;-44,12%;-44,15%;-116,87%;-69,62%;-49,98%
ROA;6,38%;2,48%;6,36%;-18,25%;-1,92%;-5,64%;-5,57%;-5,60%;-9,80%
ROIC;4,00%;15,19%;12,00%;-30,91%;-1,94%;-15,70%;-17,77%;-32,21%;-36,59%
Giro ativos;1,85;1,61;1,52;1,56;1,83;1,84;1,91;1,97;1,34
CAGR Receitas 5 anos;28,26%;40,67%;73,76%;103,72%;112,02%;148,38%;-%;-%;-%
CAGR Lucros 5 anos;-%;-%;-%;-%;-%;-%;-%;-%;-%
