;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;4,17%;5,93%;3,06%;2,36%;1,94%;2,93%;2,69%;3,05%;2,76%
Div;3.33;2.66;2.42;2.2;2.0;2.0;2.0;2.0;2.0
P/L;215.59;12.26;12.19;28.1;17.24;12.45;14.57;-142.64;11.09
PEG Ratio;-2,56;-;-;-;-;-;-;-;-
P/VP;1,39;0,75;1,33;1,70;1,82;1,29;1,51;1,46;1,95
EV/EBITDA;26,56;11,02;10,26;15,17;11,82;9,75;10,82;25,08;9,23
EV/EBIT;68,97;16,59;13,50;23,05;15,95;13,17;14,76;42,01;11,68
P/EBITDA;13,50;4,13;5,59;9,81;7,82;5,22;5,89;12,57;6,22
P/EBIT;35,06;6,21;7,35;14,91;10,55;7,05;8,03;21,05;7,87
VPA;57,45;59,97;59,36;54,98;56,79;53,01;49,09;45,02;37,20
P/Ativo;0,40;0,22;0,41;0,53;0,59;0,39;0,43;0,43;0,77
LPA;0.37;3.66;6.48;3.32;5.98;5.48;5.1;-0.46;6.54
P/SR;0,26;0,15;0,28;0,38;0,47;0,33;0,38;0,44;0,40
P/Cap. Giro;-6,49;-3,54;-8,98;-31,98;-17,49;-15,83;-32,21;68,66;126,42
P/Ativo Circ. Liq.;-0,57;-0,31;-0,56;-0,74;-0,79;-0,51;-0,56;-0,56;-1,15
Dív. líquida/PL;1,34;1,25;1,11;0,92;0,93;1,12;1,27;1,45;0,94
Dív. líquida/EBITDA;13,06;6,90;4,68;5,35;4,00;4,53;4,93;12,51;3,01
Dív. líquida/EBIT;33,91;10,38;6,15;8,14;5,40;6,12;6,72;20,96;3,81
PL/Ativos;0,29;0,30;0,31;0,31;0,32;0,30;0,29;0,30;0,40
Passivos/Ativos;0,71;0,70;0,69;0,69;0,68;0,70;0,71;0,70;0,60
Liq. corrente;0,83;0,81;0,86;0,95;0,88;0,91;0,94;1,03;1,02
M. Bruta;10,77%;44,67%;39,32%;38,94%;17,82%;18,25%;17,73%;16,21%;15,44%
M. EBITDA;1,90%;3,68%;5,09%;3,83%;5,97%;6,37%;6,39%;3,47%;6,39%
M. EBIT;0,73%;2,44%;3,87%;2,52%;4,42%;4,72%;4,69%;2,07%;5,05%
M. Líquida;0,12%;1,24%;2,33%;1,34%;2,71%;2,67%;2,58%;-0,31%;3,58%
ROE;0,64%;6,11%;10,91%;6,03%;10,54%;10,35%;10,39%;-1,02%;17,57%
ROA;0,18%;1,82%;3,34%;1,89%;3,39%;3,11%;2,98%;-0,30%;6,96%
ROIC;0,22%;4,17%;6,37%;4,31%;6,61%;6,41%;6,32%;1,36%;10,25%
Giro ativos;1,54;1,47;1,43;1,41;1,25;1,16;1,15;0,99;1,94
CAGR Receitas 5 anos;7,74%;12,95%;11,78%;10,47%;11,88%;13,00%;8,95%;8,46%;10,64%
CAGR Lucros 5 anos;-7,00%;-%;-8,23%;8,27%;6,51%;7,39%;-%;11,38%;8,96%
