;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;4,14%;4,50%;4,05%;3,16%;4,52%;6,11%;3,95%;4,12%;3,45%
Div;6.31;6.52;6.04;5.67;5.31;5.16;4.77;4.48;4.32
P/L;23.86;14.51;12.92;9.62;14.49;-29.33;77.93;14.02;25.86
PEG Ratio;-1,02;-;-;-;-;-;-;-;-
P/VP;1,60;1,68;1,72;2,14;1,63;1,23;1,58;1,35;1,61
EV/EBITDA;13,28;6,04;6,10;5,21;6,26;15,78;7,01;5,72;9,41
EV/EBIT;54,08;9,75;9,61;6,91;11,28;-29,79;39,33;10,92;28,52
P/EBITDA;11,96;5,65;5,83;5,13;5,62;12,75;6,41;5,10;8,23
P/EBIT;48,68;9,12;9,19;6,80;10,13;-24,07;35,98;9,75;24,96
VPA;94,95;86,10;86,93;83,79;72,06;68,40;76,27;80,89;77,99
P/Ativo;0,93;1,00;1,06;1,32;0,95;0,68;0,96;0,82;0,94
LPA;6.39;9.98;11.54;18.66;8.1;-2.88;1.55;7.76;4.84
P/SR;1,60;1,32;1,40;1,45;1,46;1,72;1,63;1,31;1,77
P/Cap. Giro;56,47;108,89;31,13;21,15;32,60;41,74;126,66;30,35;288,92
P/Ativo Circ. Liq.;-1,07;-1,19;-1,25;-1,65;-1,10;-0,76;-1,09;-0,95;-1,06
Dív. líquida/PL;0,18;0,12;0,08;0,03;0,18;0,29;0,15;0,16;0,23
Dív. líquida/EBITDA;1,33;0,39;0,27;0,08;0,64;3,03;0,60;0,62;1,18
Dív. líquida/EBIT;5,40;0,63;0,42;0,11;1,15;-5,73;3,35;1,18;3,56
PL/Ativos;0,58;0,59;0,62;0,62;0,58;0,55;0,61;0,61;0,58
Passivos/Ativos;0,42;0,41;0,38;0,38;0,42;0,45;0,39;0,39;0,42
Liq. corrente;1,15;1,06;1,27;1,47;1,26;1,18;1,07;1,25;1,03
M. Bruta;5,55%;24,17%;26,83%;27,82%;29,25%;25,04%;27,43%;27,55%;29,54%
M. EBITDA;13,38%;23,46%;24,06%;28,22%;25,88%;13,50%;25,42%;25,64%;21,44%
M. EBIT;3,29%;14,53%;15,26%;21,29%;14,36%;-7,15%;4,53%;13,42%;7,07%
M. Líquida;6,70%;9,13%;10,85%;15,05%;10,04%;-5,87%;2,09%;9,33%;6,83%
ROE;6,73%;11,59%;13,28%;22,27%;11,24%;-4,21%;2,03%;9,59%;6,21%
ROA;3,91%;6,87%;8,17%;13,76%;6,52%;-2,31%;1,23%;5,84%;3,62%
ROIC;-0,88%;10,37%;12,04%;19,78%;9,62%;-4,91%;2,13%;8,26%;5,07%
Giro ativos;0,58;0,75;0,75;0,91;0,65;0,39;0,59;0,63;0,53
CAGR Receitas 5 anos;6,70%;4,38%;11,85%;7,14%;-7,36%;-7,98%;-7,04%;-11,05%;-15,36%
CAGR Lucros 5 anos;43,29%;7,59%;30,99%;-%;-%;-31,40%;-7,10%;-18,88%;-%
